 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =  79,   projectile: electron
 #  Kinetic energy = 5.00000E+06 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)        ERRF         ERRG 
 #-----------------------------------------------------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.08208E-06  1.72099E-07  0.00000E+00  0.00000E+00  3.62661E-09  0.00000E+00
  1.000E-04  7.61557E-13  1.08208E-06  1.72099E-07  8.56739E-13  1.36268E-13  3.62580E-09  1.57656E-07
  1.250E-04  1.18994E-12  1.08208E-06  1.72099E-07  1.07092E-12  1.70335E-13  3.62534E-09  1.57647E-07
  1.500E-04  1.71346E-12  1.08208E-06  1.72099E-07  1.28510E-12  2.04402E-13  3.62478E-09  1.57635E-07
  1.750E-04  2.33225E-12  1.08207E-06  1.72099E-07  1.49929E-12  2.38468E-13  3.62412E-09  1.57620E-07
  2.000E-04  3.04617E-12  1.08207E-06  1.72099E-07  1.71347E-12  2.72535E-13  3.62336E-09  1.57604E-07
  2.250E-04  3.85530E-12  1.08207E-06  1.72099E-07  1.92764E-12  3.06602E-13  3.62250E-09  1.57585E-07
  2.500E-04  4.75964E-12  1.08207E-06  1.72099E-07  2.14182E-12  3.40669E-13  3.62153E-09  1.57565E-07
  2.750E-04  5.75917E-12  1.08206E-06  1.72099E-07  2.35599E-12  3.74736E-13  3.62047E-09  1.57542E-07
  3.000E-04  6.85391E-12  1.08206E-06  1.72099E-07  2.57017E-12  4.08803E-13  3.61930E-09  1.57517E-07
  3.250E-04  8.04379E-12  1.08206E-06  1.72099E-07  2.78434E-12  4.42869E-13  3.61803E-09  1.57489E-07
  3.500E-04  9.32893E-12  1.08205E-06  1.72099E-07  2.99851E-12  4.76936E-13  3.61667E-09  1.57460E-07
  3.750E-04  1.07092E-11  1.08205E-06  1.72099E-07  3.21267E-12  5.11003E-13  3.61520E-09  1.57428E-07
  4.000E-04  1.21847E-11  1.08204E-06  1.72099E-07  3.42683E-12  5.45069E-13  3.61362E-09  1.57394E-07
  4.250E-04  1.37554E-11  1.08204E-06  1.72098E-07  3.64099E-12  5.79136E-13  3.61195E-09  1.57358E-07
  4.500E-04  1.54213E-11  1.08203E-06  1.72098E-07  3.85515E-12  6.13202E-13  3.61018E-09  1.57320E-07
  4.750E-04  1.71823E-11  1.08202E-06  1.72098E-07  4.06930E-12  6.47269E-13  3.60830E-09  1.57280E-07
  5.000E-04  1.90386E-11  1.08202E-06  1.72098E-07  4.28345E-12  6.81335E-13  3.60633E-09  1.57237E-07
  5.250E-04  2.09900E-11  1.08201E-06  1.72098E-07  4.49759E-12  7.15401E-13  3.60425E-09  1.57193E-07
  5.500E-04  2.30367E-11  1.08200E-06  1.72098E-07  4.71174E-12  7.49468E-13  3.60208E-09  1.57146E-07
  5.750E-04  2.51785E-11  1.08200E-06  1.72098E-07  4.92587E-12  7.83534E-13  3.59980E-09  1.57097E-07
