 #
 # Projectile: electron
 # Kinetic energy = 5.00000E+06 eV = 1.83747E+05 a.u.
 #
 # Element: Au,  Z =  79,  atomic weight = 1.96967E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #
 # Number of electrons = 79
 #
 # Electron density: Read from file z_079.den   
 #                   Number of data points =  777
 #                   Volume integral = 7.90000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 7.76907E-18 cm**2 = 2.77439E-01 a0**2
 # 1st transport cross section = 3.47070E-22 cm**2 = 1.23941E-05 a0**2
 # 2nd transport cross section = 9.32838E-22 cm**2 = 3.33123E-05 a0**2
 #
 #
 # Differential cross section:                    
 #
 #  THETA        MU          DCS          DCS     
 #  (deg)                 (cm**2/sr)   (a0**2/sr) 
 #------------------------------------------------
  0.000E+00  0.00000E+00  1.20052E-12  4.28714E+04
  1.000E-04  7.61557E-13  1.20052E-12  4.28712E+04
  1.250E-04  1.18994E-12  1.20051E-12  4.28711E+04
  1.500E-04  1.71346E-12  1.20051E-12  4.28709E+04
  1.750E-04  2.33225E-12  1.20050E-12  4.28708E+04
  2.000E-04  3.04617E-12  1.20050E-12  4.28706E+04
  2.250E-04  3.85530E-12  1.20049E-12  4.28704E+04
  2.500E-04  4.75964E-12  1.20049E-12  4.28701E+04
  2.750E-04  5.75917E-12  1.20048E-12  4.28699E+04
  3.000E-04  6.85391E-12  1.20047E-12  4.28696E+04
  3.250E-04  8.04379E-12  1.20046E-12  4.28693E+04
  3.500E-04  9.32893E-12  1.20045E-12  4.28689E+04
  3.750E-04  1.07092E-11  1.20044E-12  4.28686E+04
  4.000E-04  1.21847E-11  1.20043E-12  4.28682E+04
  4.250E-04  1.37554E-11  1.20042E-12  4.28678E+04
  4.500E-04  1.54213E-11  1.20041E-12  4.28674E+04
  4.750E-04  1.71823E-11  1.20040E-12  4.28669E+04
  5.000E-04  1.90386E-11  1.20038E-12  4.28664E+04
  5.250E-04  2.09900E-11  1.20037E-12  4.28659E+04
  5.500E-04  2.30367E-11  1.20035E-12  4.28654E+04
  5.750E-04  2.51785E-11  1.20034E-12  4.28648E+04
  6.000E-04  2.74156E-11  1.20032E-12  4.28642E+04
  6.250E-04  2.97478E-11  1.20030E-12  4.28636E+04
  6.500E-04  3.21752E-11  1.20029E-12  4.28630E+04
  6.750E-04  3.46979E-11  1.20027E-12  4.28623E+04
  7.000E-04  3.73157E-11  1.20025E-12  4.28616E+04
  7.250E-04  4.00286E-11  1.20023E-12  4.28609E+04
  7.500E-04  4.28368E-11  1.20021E-12  4.28602E+04
  7.750E-04  4.57402E-11  1.20019E-12  4.28594E+04
  8.000E-04  4.87388E-11  1.20016E-12  4.28586E+04
  8.250E-04  5.18325E-11  1.20014E-12  4.28578E+04
  8.500E-04  5.50215E-11  1.20012E-12  4.28570E+04
  8.750E-04  5.83057E-11  1.20009E-12  4.28561E+04
  9.000E-04  6.16850E-11  1.20007E-12  4.28553E+04
  9.250E-04  6.51595E-11  1.20004E-12  4.28543E+04
  9.500E-04  6.87293E-11  1.20002E-12  4.28534E+04
  9.750E-04  7.23943E-11  1.19999E-12  4.28525E+04
  1.000E-03  7.61544E-11  1.19996E-12  4.28515E+04
  1.250E-03  1.18991E-10  1.19965E-12  4.28403E+04
  1.500E-03  1.71347E-10  1.19927E-12  4.28266E+04
  1.750E-03  2.33223E-10  1.19881E-12  4.28105E+04
  2.000E-03  3.04617E-10  1.19829E-12  4.27918E+04
  2.250E-03  3.85531E-10  1.19770E-12  4.27707E+04
  2.500E-03  4.75965E-10  1.19704E-12  4.27472E+04
  2.750E-03  5.75917E-10  1.19632E-12  4.27212E+04
  3.000E-03  6.85389E-10  1.19552E-12  4.26928E+04
  3.250E-03  8.04380E-10  1.19465E-12  4.26619E+04
  3.500E-03  9.32891E-10  1.19372E-12  4.26286E+04
  3.750E-03  1.07092E-09  1.19272E-12  4.25929E+04
  4.000E-03  1.21847E-09  1.19166E-12  4.25548E+04
  4.250E-03  1.37554E-09  1.19052E-12  4.25143E+04
  4.500E-03  1.54213E-09  1.18932E-12  4.24714E+04
  4.750E-03  1.71823E-09  1.18806E-12  4.24262E+04
  5.000E-03  1.90386E-09  1.18672E-12  4.23786E+04
  5.250E-03  2.09900E-09  1.18533E-12  4.23287E+04
  5.500E-03  2.30367E-09  1.18386E-12  4.22765E+04
  5.750E-03  2.51785E-09  1.18234E-12  4.22220E+04
  6.000E-03  2.74156E-09  1.18075E-12  4.21652E+04
  6.250E-03  2.97478E-09  1.17909E-12  4.21061E+04
  6.500E-03  3.21752E-09  1.17737E-12  4.20448E+04
  6.750E-03  3.46978E-09  1.17560E-12  4.19813E+04
  7.000E-03  3.73156E-09  1.17375E-12  4.19155E+04
  7.250E-03  4.00286E-09  1.17185E-12  4.18476E+04
  7.500E-03  4.28368E-09  1.16989E-12  4.17775E+04
  7.750E-03  4.57402E-09  1.16787E-12  4.17052E+04
