 #
 # Projectile: electron
 # Kinetic energy = 8.10000E+06 eV = 2.97670E+05 a.u.
 #
 # Element: Ag,  Z =  47,  atomic weight = 1.07868E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #
 # Number of electrons = 47
 #
 # Electron density: Read from file z_047.den   
 #                   Number of data points =  813
 #                   Volume integral = 4.70000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 4.30911E-18 cm**2 = 1.53881E-01 a0**2
 # 1st transport cross section = 5.07566E-23 cm**2 = 1.81255E-06 a0**2
 # 2nd transport cross section = 1.42857E-22 cm**2 = 5.10151E-06 a0**2
 #
 #
 # Differential cross section:                    
 #
 #  THETA        MU          DCS          DCS     
 #  (deg)                 (cm**2/sr)   (a0**2/sr) 
 #------------------------------------------------
  0.000E+00  0.00000E+00  2.06610E-12  7.37817E+04
  1.000E-04  7.61557E-13  2.06607E-12  7.37806E+04
  1.250E-04  1.18994E-12  2.06605E-12  7.37799E+04
  1.500E-04  1.71346E-12  2.06603E-12  7.37791E+04
  1.750E-04  2.33225E-12  2.06600E-12  7.37782E+04
  2.000E-04  3.04617E-12  2.06597E-12  7.37771E+04
  2.250E-04  3.85530E-12  2.06593E-12  7.37758E+04
  2.500E-04  4.75964E-12  2.06589E-12  7.37744E+04
  2.750E-04  5.75917E-12  2.06585E-12  7.37729E+04
  3.000E-04  6.85391E-12  2.06581E-12  7.37712E+04
  3.250E-04  8.04379E-12  2.06575E-12  7.37694E+04
  3.500E-04  9.32893E-12  2.06570E-12  7.37675E+04
  3.750E-04  1.07092E-11  2.06564E-12  7.37654E+04
  4.000E-04  1.21847E-11  2.06558E-12  7.37631E+04
  4.250E-04  1.37554E-11  2.06551E-12  7.37607E+04
  4.500E-04  1.54213E-11  2.06544E-12  7.37582E+04
  4.750E-04  1.71823E-11  2.06536E-12  7.37555E+04
  5.000E-04  1.90386E-11  2.06528E-12  7.37526E+04
  5.250E-04  2.09900E-11  2.06520E-12  7.37496E+04
  5.500E-04  2.30367E-11  2.06511E-12  7.37465E+04
  5.750E-04  2.51785E-11  2.06502E-12  7.37432E+04
  6.000E-04  2.74156E-11  2.06493E-12  7.37398E+04
  6.250E-04  2.97478E-11  2.06483E-12  7.37363E+04
  6.500E-04  3.21752E-11  2.06472E-12  7.37326E+04
  6.750E-04  3.46979E-11  2.06461E-12  7.37287E+04
  7.000E-04  3.73157E-11  2.06450E-12  7.37247E+04
  7.250E-04  4.00286E-11  2.06439E-12  7.37206E+04
  7.500E-04  4.28368E-11  2.06427E-12  7.37163E+04
