 #
 # Projectile: electron
 # Kinetic energy = 4.90000E+06 eV = 1.80072E+05 a.u.
 #
 # Element: Ag,  Z =  47,  atomic weight = 1.07868E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #
 # Number of electrons = 47
 #
 # Electron density: Read from file z_047.den   
 #                   Number of data points =  813
 #                   Volume integral = 4.70000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 4.33025E-18 cm**2 = 1.54636E-01 a0**2
 # 1st transport cross section = 1.21112E-22 cm**2 = 4.32499E-06 a0**2
 # 2nd transport cross section = 3.38536E-22 cm**2 = 1.20894E-05 a0**2
 #
 #
 # Differential cross section:                    
 #
 #  THETA        MU          DCS          DCS     
 #  (deg)                 (cm**2/sr)   (a0**2/sr) 
 #------------------------------------------------
  0.000E+00  0.00000E+00  8.15778E-13  2.91320E+04
  1.000E-04  7.61557E-13  8.15773E-13  2.91318E+04
  1.250E-04  1.18994E-12  8.15770E-13  2.91317E+04
  1.500E-04  1.71346E-12  8.15767E-13  2.91316E+04
  1.750E-04  2.33225E-12  8.15763E-13  2.91314E+04
  2.000E-04  3.04617E-12  8.15758E-13  2.91312E+04
  2.250E-04  3.85530E-12  8.15752E-13  2.91310E+04
  2.500E-04  4.75964E-12  8.15746E-13  2.91308E+04
  2.750E-04  5.75917E-12  8.15740E-13  2.91306E+04
  3.000E-04  6.85391E-12  8.15733E-13  2.91303E+04
  3.250E-04  8.04379E-12  8.15725E-13  2.91301E+04
  3.500E-04  9.32893E-12  8.15716E-13  2.91298E+04
  3.750E-04  1.07092E-11  8.15707E-13  2.91294E+04
  4.000E-04  1.21847E-11  8.15697E-13  2.91291E+04
  4.250E-04  1.37554E-11  8.15687E-13  2.91287E+04
  4.500E-04  1.54213E-11  8.15676E-13  2.91283E+04
  4.750E-04  1.71823E-11  8.15664E-13  2.91279E+04
  5.000E-04  1.90386E-11  8.15652E-13  2.91274E+04
  5.250E-04  2.09900E-11  8.15639E-13  2.91270E+04
  5.500E-04  2.30367E-11  8.15625E-13  2.91265E+04
  5.750E-04  2.51785E-11  8.15611E-13  2.91260E+04
  6.000E-04  2.74156E-11  8.15596E-13  2.91255E+04
  6.250E-04  2.97478E-11  8.15580E-13  2.91249E+04
  6.500E-04  3.21752E-11  8.15564E-13  2.91243E+04
  6.750E-04  3.46979E-11  8.15548E-13  2.91237E+04
  7.000E-04  3.73157E-11  8.15530E-13  2.91231E+04
  7.250E-04  4.00286E-11  8.15512E-13  2.91225E+04
  7.500E-04  4.28368E-11  8.15494E-13  2.91218E+04
  7.750E-04  4.57402E-11  8.15474E-13  2.91211E+04
  8.000E-04  4.87388E-11  8.15454E-13  2.91204E+04
  8.250E-04  5.18325E-11  8.15434E-13  2.91197E+04
  8.500E-04  5.50215E-11  8.15413E-13  2.91189E+04
  8.750E-04  5.83057E-11  8.15391E-13  2.91181E+04
  9.000E-04  6.16850E-11  8.15368E-13  2.91173E+04
  9.250E-04  6.51595E-11  8.15345E-13  2.91165E+04
  9.500E-04  6.87293E-11  8.15322E-13  2.91157E+04
  9.750E-04  7.23943E-11  8.15297E-13  2.91148E+04
  1.000E-03  7.61544E-11  8.15272E-13  2.91139E+04
  1.250E-03  1.18991E-10  8.14988E-13  2.91038E+04
  1.500E-03  1.71347E-10  8.14641E-13  2.90914E+04
  1.750E-03  2.33223E-10  8.14232E-13  2.90767E+04
  2.000E-03  3.04617E-10  8.13760E-13  2.90599E+04
  2.250E-03  3.85531E-10  8.13225E-13  2.90408E+04
  2.500E-03  4.75965E-10  8.12628E-13  2.90195E+04
  2.750E-03  5.75917E-10  8.11970E-13  2.89960E+04
  3.000E-03  6.85389E-10  8.11250E-13  2.89703E+04
  3.250E-03  8.04380E-10  8.10469E-13  2.89424E+04
  3.500E-03  9.32891E-10  8.09628E-13  2.89123E+04
  3.750E-03  1.07092E-09  8.08726E-13  2.88801E+04
  4.000E-03  1.21847E-09  8.07763E-13  2.88458E+04
  4.250E-03  1.37554E-09  8.06742E-13  2.88093E+04
  4.500E-03  1.54213E-09  8.05661E-13  2.87707E+04
  4.750E-03  1.71823E-09  8.04522E-13  2.87300E+04
  5.000E-03  1.90386E-09  8.03324E-13  2.86872E+04
  5.250E-03  2.09900E-09  8.02069E-13  2.86424E+04
  5.500E-03  2.30367E-09  8.00757E-13  2.85956E+04
  5.750E-03  2.51785E-09  7.99388E-13  2.85467E+04
  6.000E-03  2.74156E-09  7.97964E-13  2.84958E+04
  6.250E-03  2.97478E-09  7.96485E-13  2.84430E+04
  6.500E-03  3.21752E-09  7.94951E-13  2.83882E+04
  6.750E-03  3.46978E-09  7.93363E-13  2.83315E+04
  7.000E-03  3.73156E-09  7.91721E-13  2.82729E+04
  7.250E-03  4.00286E-09  7.90028E-13  2.82124E+04
  7.500E-03  4.28368E-09  7.88282E-13  2.81501E+04
  7.750E-03  4.57402E-09  7.86486E-13  2.80859E+04
  8.000E-03  4.87388E-09  7.84639E-13  2.80200E+04
  8.250E-03  5.18326E-09  7.82743E-13  2.79522E+04
  8.500E-03  5.50215E-09  7.80798E-13  2.78828E+04
  8.750E-03  5.83057E-09  7.78805E-13  2.78116E+04
  9.000E-03  6.16850E-09  7.76764E-13  2.77388E+04
  9.250E-03  6.51596E-09  7.74678E-13  2.76643E+04
  9.500E-03  6.87293E-09  7.72546E-13  2.75881E+04
  9.750E-03  7.23942E-09  7.70370E-13  2.75104E+04
  1.000E-02  7.61544E-09  7.68149E-13  2.74311E+04
  1.250E-02  1.18991E-08  7.43737E-13  2.65593E+04
  1.500E-02  1.71347E-08  7.15945E-13  2.55669E+04
  1.750E-02  2.33223E-08  6.85693E-13  2.44866E+04
  2.000E-02  3.04617E-08  6.53858E-13  2.33497E+04
  2.250E-02  3.85531E-08  6.21223E-13  2.21843E+04
  2.500E-02  4.75965E-08  5.88458E-13  2.10142E+04
  2.750E-02  5.75917E-08  5.56102E-13  1.98588E+04
  3.000E-02  6.85389E-08  5.24570E-13  1.87327E+04
  3.250E-02  8.04380E-08  4.94159E-13  1.76467E+04
  3.500E-02  9.32891E-08  4.65068E-13  1.66079E+04
  3.750E-02  1.07092E-07  4.37415E-13  1.56204E+04
  4.000E-02  1.21847E-07  4.11255E-13  1.46862E+04
  4.250E-02  1.37554E-07  3.86593E-13  1.38055E+04
  4.500E-02  1.54213E-07  3.63404E-13  1.29774E+04
  4.750E-02  1.71823E-07  3.41638E-13  1.22001E+04
  5.000E-02  1.90386E-07  3.21230E-13  1.14713E+04
  5.250E-02  2.09900E-07  3.02109E-13  1.07885E+04
  5.500E-02  2.30367E-07  2.84200E-13  1.01490E+04
  5.750E-02  2.51785E-07  2.67427E-13  9.55000E+03
  6.000E-02  2.74156E-07  2.51717E-13  8.98899E+03
  6.250E-02  2.97478E-07  2.37000E-13  8.46343E+03
  6.500E-02  3.21752E-07  2.23209E-13  7.97095E+03
  6.750E-02  3.46978E-07  2.10282E-13  7.50931E+03
  7.000E-02  3.73156E-07  1.98161E-13  7.07644E+03
  7.250E-02  4.00286E-07  1.86791E-13  6.67042E+03
  7.500E-02  4.28368E-07  1.76123E-13  6.28946E+03
  7.750E-02  4.57402E-07  1.66110E-13  5.93189E+03
  8.000E-02  4.87388E-07  1.56710E-13  5.59620E+03
  8.250E-02  5.18325E-07  1.47882E-13  5.28095E+03
  8.500E-02  5.50215E-07  1.39590E-13  4.98484E+03
  8.750E-02  5.83057E-07  1.31799E-13  4.70662E+03
  9.000E-02  6.16850E-07  1.24477E-13  4.44517E+03
  9.250E-02  6.51596E-07  1.17596E-13  4.19942E+03
  9.500E-02  6.87293E-07  1.11126E-13  3.96840E+03
  9.750E-02  7.23942E-07  1.05044E-13  3.75117E+03
  1.000E-01  7.61543E-07  9.93229E-14  3.54689E+03
  1.250E-01  1.18991E-06  5.77482E-14  2.06223E+03
  1.500E-01  1.71347E-06  3.48416E-14  1.24422E+03
  1.750E-01  2.33223E-06  2.19340E-14  7.83278E+02
  2.000E-01  3.04617E-06  1.44390E-14  5.15628E+02
  2.250E-01  3.85531E-06  9.92458E-15  3.54413E+02
  2.500E-01  4.75964E-06  7.09216E-15  2.53265E+02
  2.750E-01  5.75916E-06  5.23889E-15  1.87084E+02
  3.000E-01  6.85388E-06  3.97643E-15  1.42001E+02
  3.250E-01  8.04378E-06  3.08450E-15  1.10150E+02
  3.500E-01  9.32888E-06  2.43428E-15  8.69298E+01
  3.750E-01  1.07092E-05  1.94782E-15  6.95579E+01
  4.000E-01  1.21846E-05  1.57620E-15  5.62873E+01
  4.250E-01  1.37553E-05  1.28759E-15  4.59808E+01
  4.500E-01  1.54212E-05  1.06050E-15  3.78710E+01
  4.750E-01  1.71822E-05  8.79904E-16  3.14220E+01
  5.000E-01  1.90385E-05  7.35038E-16  2.62487E+01
  5.250E-01  2.09899E-05  6.17957E-16  2.20676E+01
  5.500E-01  2.30365E-05  5.22699E-16  1.86659E+01
  5.750E-01  2.51783E-05  4.44717E-16  1.58811E+01
  6.000E-01  2.74153E-05  3.80506E-16  1.35881E+01
  6.250E-01  2.97475E-05  3.27336E-16  1.16894E+01
  6.500E-01  3.21749E-05  2.83066E-16  1.01085E+01
  6.750E-01  3.46974E-05  2.46007E-16  8.78507E+00
  7.000E-01  3.73152E-05  2.14822E-16  7.67142E+00
  7.250E-01  4.00281E-05  1.88443E-16  6.72941E+00
  7.500E-01  4.28362E-05  1.66017E-16  5.92856E+00
  7.750E-01  4.57395E-05  1.46858E-16  5.24439E+00
  8.000E-01  4.87380E-05  1.30412E-16  4.65711E+00
  8.250E-01  5.18317E-05  1.16232E-16  4.15070E+00
  8.500E-01  5.50205E-05  1.03949E-16  3.71210E+00
  8.750E-01  5.83045E-05  9.32669E-17  3.33062E+00
  9.000E-01  6.16838E-05  8.39382E-17  2.99749E+00
  9.250E-01  6.51582E-05  7.57605E-17  2.70546E+00
  9.500E-01  6.87277E-05  6.85656E-17  2.44852E+00
  9.750E-01  7.23925E-05  6.22133E-17  2.22168E+00
  1.000E+00  7.61524E-05  5.65865E-17  2.02074E+00
  1.100E+00  9.21439E-05  3.95801E-17  1.41343E+00
  1.200E+00  1.09658E-04  2.85244E-17  1.01863E+00
  1.300E+00  1.28695E-04  2.10724E-17  7.52509E-01
  1.400E+00  1.49255E-04  1.58972E-17  5.67700E-01
  1.500E+00  1.71338E-04  1.22122E-17  4.36105E-01
  1.600E+00  1.94942E-04  9.53142E-18  3.40373E-01
  1.700E+00  2.20070E-04  7.54459E-18  2.69422E-01
  1.800E+00  2.46720E-04  6.04766E-18  2.15966E-01
  1.900E+00  2.74892E-04  4.90313E-18  1.75094E-01
  2.000E+00  3.04586E-04  4.01639E-18  1.43428E-01
  2.100E+00  3.35803E-04  3.32106E-18  1.18597E-01
  2.200E+00  3.68542E-04  2.76978E-18  9.89107E-02
  2.300E+00  4.02802E-04  2.32829E-18  8.31447E-02
  2.400E+00  4.38585E-04  1.97142E-18  7.04005E-02
  2.500E+00  4.75889E-04  1.68045E-18  6.00101E-02
  2.600E+00  5.14715E-04  1.44133E-18  5.14709E-02
  2.700E+00  5.55063E-04  1.24336E-18  4.44012E-02
  2.800E+00  5.96931E-04  1.07832E-18  3.85076E-02
  2.900E+00  6.40321E-04  9.39854E-19  3.35628E-02
  3.000E+00  6.85233E-04  8.22980E-19  2.93892E-02
  3.100E+00  7.31665E-04  7.23778E-19  2.58466E-02
  3.200E+00  7.79618E-04  6.39131E-19  2.28238E-02
  3.300E+00  8.29092E-04  5.66545E-19  2.02317E-02
  3.400E+00  8.80086E-04  5.04012E-19  1.79986E-02
  3.500E+00  9.32601E-04  4.49904E-19  1.60664E-02
  3.600E+00  9.86636E-04  4.02890E-19  1.43875E-02
  3.700E+00  1.04219E-03  3.61882E-19  1.29231E-02
  3.800E+00  1.09927E-03  3.25980E-19  1.16409E-02
  3.900E+00  1.15786E-03  2.94437E-19  1.05145E-02
  4.000E+00  1.21797E-03  2.66632E-19  9.52159E-03
  4.100E+00  1.27961E-03  2.42044E-19  8.64356E-03
  4.200E+00  1.34276E-03  2.20237E-19  7.86479E-03
  4.300E+00  1.40743E-03  2.00839E-19  7.17210E-03
  4.400E+00  1.47362E-03  1.83539E-19  6.55428E-03
  4.500E+00  1.54133E-03  1.68068E-19  6.00181E-03
  4.600E+00  1.61056E-03  1.54199E-19  5.50655E-03
  4.700E+00  1.68131E-03  1.41737E-19  5.06152E-03
  4.800E+00  1.75357E-03  1.30513E-19  4.66070E-03
  4.900E+00  1.82735E-03  1.20382E-19  4.29893E-03
  5.000E+00  1.90265E-03  1.11219E-19  3.97171E-03
  5.100E+00  1.97947E-03  1.02915E-19  3.67515E-03
  5.200E+00  2.05780E-03  9.53740E-20  3.40587E-03
  5.300E+00  2.13765E-03  8.85138E-20  3.16089E-03
  5.400E+00  2.21902E-03  8.22618E-20  2.93762E-03
  5.500E+00  2.30190E-03  7.65542E-20  2.73380E-03
  5.600E+00  2.38630E-03  7.13351E-20  2.54742E-03
  5.700E+00  2.47222E-03  6.65549E-20  2.37672E-03
  5.800E+00  2.55965E-03  6.21700E-20  2.22013E-03
  5.900E+00  2.64859E-03  5.81418E-20  2.07628E-03
  6.000E+00  2.73905E-03  5.44360E-20  1.94394E-03
  6.100E+00  2.83103E-03  5.10219E-20  1.82203E-03
  6.200E+00  2.92452E-03  4.78725E-20  1.70956E-03
  6.300E+00  3.01952E-03  4.49634E-20  1.60567E-03
  6.400E+00  3.11604E-03  4.22728E-20  1.50959E-03
  6.500E+00  3.21407E-03  3.97815E-20  1.42062E-03
