 #
 # Projectile: electron
 # Kinetic energy = 7.90000E+06 eV = 2.90320E+05 a.u.
 #
 # Element: Au,  Z =  79,  atomic weight = 1.96967E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #
 # Number of electrons = 79
 #
 # Electron density: Read from file z_079.den   
 #                   Number of data points =  777
 #                   Volume integral = 7.90000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 7.73403E-18 cm**2 = 2.76187E-01 a0**2
 # 1st transport cross section = 1.55677E-22 cm**2 = 5.55932E-06 a0**2
 # 2nd transport cross section = 4.23707E-22 cm**2 = 1.51309E-05 a0**2
 #
 #
 # Differential cross section:                    
 #
 #  THETA        MU          DCS          DCS     
 #  (deg)                 (cm**2/sr)   (a0**2/sr) 
 #------------------------------------------------
  4.500E-02  1.54213E-07  7.97334E-13  2.84733E+04
  4.750E-02  1.71823E-07  7.29083E-13  2.60360E+04
  5.000E-02  1.90386E-07  6.67190E-13  2.38258E+04
  5.250E-02  2.09900E-07  6.11081E-13  2.18221E+04
  5.500E-02  2.30367E-07  5.60217E-13  2.00057E+04
  5.750E-02  2.51785E-07  5.14100E-13  1.83588E+04
  6.000E-02  2.74156E-07  4.72272E-13  1.68652E+04
  6.250E-02  2.97478E-07  4.34318E-13  1.55098E+04
  6.500E-02  3.21752E-07  3.99859E-13  1.42792E+04
  6.750E-02  3.46978E-07  3.68551E-13  1.31612E+04
  7.000E-02  3.73156E-07  3.40087E-13  1.21447E+04
  7.250E-02  4.00286E-07  3.14188E-13  1.12199E+04
  7.500E-02  4.28368E-07  2.90603E-13  1.03776E+04
  7.750E-02  4.57402E-07  2.69106E-13  9.60997E+03
  8.000E-02  4.87388E-07  2.49496E-13  8.90965E+03
  8.250E-02  5.18325E-07  2.31588E-13  8.27017E+03
  8.500E-02  5.50215E-07  2.15221E-13  7.68568E+03
  8.750E-02  5.83057E-07  2.00246E-13  7.15091E+03
  9.000E-02  6.16850E-07  1.86531E-13  6.66116E+03
  9.250E-02  6.51596E-07  1.73958E-13  6.21216E+03
  9.500E-02  6.87293E-07  1.62419E-13  5.80009E+03
  9.750E-02  7.23942E-07  1.51818E-13  5.42152E+03
  1.000E-01  7.61543E-07  1.42068E-13  5.07335E+03
  1.250E-01  1.18991E-06  7.74825E-14  2.76695E+03
  1.500E-01  1.71347E-06  4.61502E-14  1.64805E+03
  1.750E-01  2.33223E-06  2.93142E-14  1.04683E+03
  2.000E-01  3.04617E-06  1.94902E-14  6.96007E+02
  2.250E-01  3.85531E-06  1.34052E-14  4.78707E+02
  2.500E-01  4.75964E-06  9.47663E-15  3.38417E+02
  2.750E-01  5.75916E-06  6.86312E-15  2.45087E+02
  3.000E-01  6.85388E-06  5.08192E-15  1.81479E+02
  3.250E-01  8.04378E-06  3.84129E-15  1.37175E+02
  3.500E-01  9.32888E-06  2.95899E-15  1.05667E+02
  3.750E-01  1.07092E-05  2.31868E-15  8.28015E+01
  4.000E-01  1.21846E-05  1.84488E-15  6.58820E+01
  4.250E-01  1.37553E-05  1.48786E-15  5.31324E+01
  4.500E-01  1.54212E-05  1.21429E-15  4.33632E+01
  4.750E-01  1.71822E-05  1.00150E-15  3.57641E+01
  5.000E-01  1.90385E-05  8.33734E-16  2.97732E+01
  5.250E-01  2.09899E-05  6.99887E-16  2.49934E+01
  5.500E-01  2.30365E-05  5.91961E-16  2.11393E+01
  5.750E-01  2.51783E-05  5.04108E-16  1.80020E+01
  6.000E-01  2.74153E-05  4.31987E-16  1.54265E+01
  6.250E-01  2.97475E-05  3.72321E-16  1.32958E+01
  6.500E-01  3.21749E-05  3.22612E-16  1.15207E+01
  6.750E-01  3.46974E-05  2.80930E-16  1.00322E+01
  7.000E-01  3.73152E-05  2.45768E-16  8.77654E+00
  7.250E-01  4.00281E-05  2.15941E-16  7.71138E+00
  7.500E-01  4.28362E-05  1.90505E-16  6.80307E+00
  7.750E-01  4.57395E-05  1.68709E-16  6.02471E+00
  8.000E-01  4.87380E-05  1.49944E-16  5.35459E+00
  8.250E-01  5.18317E-05  1.33718E-16  4.77515E+00
  8.500E-01  5.50205E-05  1.19629E-16  4.27203E+00
  8.750E-01  5.83045E-05  1.07348E-16  3.83348E+00
  9.000E-01  6.16838E-05  9.66041E-17  3.44979E+00
  9.250E-01  6.51582E-05  8.71708E-17  3.11292E+00
  9.500E-01  6.87277E-05  7.88610E-17  2.81618E+00
  9.750E-01  7.23925E-05  7.15178E-17  2.55395E+00
  1.000E+00  7.61524E-05  6.50093E-17  2.32153E+00
  1.100E+00  9.21439E-05  4.53334E-17  1.61889E+00
  1.200E+00  1.09658E-04  3.25670E-17  1.16299E+00
  1.300E+00  1.28695E-04  2.39949E-17  8.56875E-01
  1.400E+00  1.49255E-04  1.80686E-17  6.45243E-01
  1.500E+00  1.71338E-04  1.38665E-17  4.95183E-01
  1.600E+00  1.94942E-04  1.08201E-17  3.86393E-01
  1.700E+00  2.20070E-04  8.56780E-18  3.05962E-01
  1.800E+00  2.46720E-04  6.87330E-18  2.45450E-01
  1.900E+00  2.74892E-04  5.57844E-18  1.99210E-01
  2.000E+00  3.04586E-04  4.57506E-18  1.63378E-01
  2.100E+00  3.35803E-04  3.78768E-18  1.35261E-01
  2.200E+00  3.68542E-04  3.16275E-18  1.12944E-01
  2.300E+00  4.02802E-04  2.66161E-18  9.50477E-02
  2.400E+00  4.38585E-04  2.25592E-18  8.05603E-02
  2.500E+00  4.75889E-04  1.92467E-18  6.87312E-02
  2.600E+00  5.14715E-04  1.65205E-18  5.89957E-02
  2.700E+00  5.55063E-04  1.42603E-18  5.09245E-02
  2.800E+00  5.96931E-04  1.23738E-18  4.41876E-02
  2.900E+00  6.40321E-04  1.07892E-18  3.85291E-02
  3.000E+00  6.85233E-04  9.45050E-19  3.37483E-02
  3.100E+00  7.31665E-04  8.31320E-19  2.96870E-02
  3.200E+00  7.79618E-04  7.34209E-19  2.62191E-02
  3.300E+00  8.29092E-04  6.50885E-19  2.32435E-02
