 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =  79,   projectile: electron
 #  Kinetic energy = 8.10000E+06 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)        ERRF         ERRG 
 #-----------------------------------------------------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.69109E-06  2.68266E-07  0.00000E+00  0.00000E+00  1.09015E-08  0.00000E+00
  1.000E-04  7.61557E-13  1.69108E-06  2.68265E-07  1.38817E-12  2.20219E-13  1.08964E-08  1.62151E-07
  1.250E-04  1.18994E-12  1.69108E-06  2.68265E-07  1.73521E-12  2.75273E-13  1.08936E-08  1.62130E-07
  1.500E-04  1.71346E-12  1.69107E-06  2.68265E-07  2.08224E-12  3.30328E-13  1.08900E-08  1.62104E-07
  1.750E-04  2.33225E-12  1.69106E-06  2.68265E-07  2.42927E-12  3.85383E-13  1.08859E-08  1.62073E-07
  2.000E-04  3.04617E-12  1.69105E-06  2.68265E-07  2.77629E-12  4.40437E-13  1.08811E-08  1.62038E-07
  2.250E-04  3.85530E-12  1.69104E-06  2.68265E-07  3.12331E-12  4.95491E-13  1.08757E-08  1.61998E-07
  2.500E-04  4.75964E-12  1.69103E-06  2.68265E-07  3.47032E-12  5.50546E-13  1.08696E-08  1.61954E-07
  2.750E-04  5.75917E-12  1.69102E-06  2.68264E-07  3.81732E-12  6.05600E-13  1.08629E-08  1.61905E-07
  3.000E-04  6.85391E-12  1.69100E-06  2.68264E-07  4.16431E-12  6.60654E-13  1.08556E-08  1.61851E-07
  3.250E-04  8.04379E-12  1.69099E-06  2.68264E-07  4.51130E-12  7.15707E-13  1.08476E-08  1.61792E-07
  3.500E-04  9.32893E-12  1.69097E-06  2.68264E-07  4.85827E-12  7.70761E-13  1.08390E-08  1.61729E-07
  3.750E-04  1.07092E-11  1.69095E-06  2.68263E-07  5.20524E-12  8.25815E-13  1.08298E-08  1.61661E-07
  4.000E-04  1.21847E-11  1.69093E-06  2.68263E-07  5.55219E-12  8.80868E-13  1.08199E-08  1.61588E-07
  4.250E-04  1.37554E-11  1.69091E-06  2.68263E-07  5.89913E-12  9.35921E-13  1.08094E-08  1.61511E-07
  4.500E-04  1.54213E-11  1.69089E-06  2.68263E-07  6.24606E-12  9.90974E-13  1.07983E-08  1.61429E-07
  4.750E-04  1.71823E-11  1.69087E-06  2.68262E-07  6.59297E-12  1.04603E-12  1.07865E-08  1.61342E-07
  5.000E-04  1.90386E-11  1.69084E-06  2.68262E-07  6.93987E-12  1.10108E-12  1.07741E-08  1.61251E-07
  5.250E-04  2.09900E-11  1.69082E-06  2.68261E-07  7.28676E-12  1.15613E-12  1.07611E-08  1.61155E-07
  5.500E-04  2.30367E-11  1.69079E-06  2.68261E-07  7.63363E-12  1.21118E-12  1.07475E-08  1.61055E-07
  5.750E-04  2.51785E-11  1.69077E-06  2.68261E-07  7.98048E-12  1.26624E-12  1.07332E-08  1.60950E-07
  6.000E-04  2.74156E-11  1.69074E-06  2.68260E-07  8.32731E-12  1.32129E-12  1.07183E-08  1.60840E-07
  6.250E-04  2.97478E-11  1.69071E-06  2.68260E-07  8.67413E-12  1.37634E-12  1.07028E-08  1.60726E-07
  6.500E-04  3.21752E-11  1.69067E-06  2.68259E-07  9.02093E-12  1.43139E-12  1.06866E-08  1.60607E-07
  6.750E-04  3.46979E-11  1.69064E-06  2.68259E-07  9.36771E-12  1.48644E-12  1.06699E-08  1.60483E-07
  7.000E-04  3.73157E-11  1.69061E-06  2.68258E-07  9.71446E-12  1.54149E-12  1.06525E-08  1.60355E-07
  7.250E-04  4.00286E-11  1.69057E-06  2.68258E-07  1.00612E-11  1.59654E-12  1.06345E-08  1.60222E-07
  7.500E-04  4.28368E-11  1.69054E-06  2.68257E-07  1.04079E-11  1.65159E-12  1.06159E-08  1.60085E-07
  7.750E-04  4.57402E-11  1.69050E-06  2.68257E-07  1.07546E-11  1.70664E-12  1.05966E-08  1.59943E-07
  8.000E-04  4.87388E-11  1.69046E-06  2.68256E-07  1.11013E-11  1.76169E-12  1.05768E-08  1.59796E-07
  8.250E-04  5.18325E-11  1.69042E-06  2.68255E-07  1.14479E-11  1.81674E-12  1.05563E-08  1.59645E-07
  8.500E-04  5.50215E-11  1.69038E-06  2.68255E-07  1.17945E-11  1.87179E-12  1.05353E-08  1.59489E-07
  8.750E-04  5.83057E-11  1.69034E-06  2.68254E-07  1.21411E-11  1.92683E-12  1.05136E-08  1.59329E-07
  9.000E-04  6.16850E-11  1.69029E-06  2.68253E-07  1.24877E-11  1.98188E-12  1.04913E-08  1.59165E-07
  9.250E-04  6.51595E-11  1.69025E-06  2.68253E-07  1.28342E-11  2.03693E-12  1.04685E-08  1.58995E-07
  9.500E-04  6.87293E-11  1.69020E-06  2.68252E-07  1.31807E-11  2.09197E-12  1.04450E-08  1.58822E-07
  9.750E-04  7.23943E-11  1.69015E-06  2.68251E-07  1.35272E-11  2.14702E-12  1.04209E-08  1.58643E-07
  1.000E-03  7.61544E-11  1.69011E-06  2.68250E-07  1.38737E-11  2.20207E-12  1.03962E-08  1.58461E-07
  1.250E-03  1.18991E-10  1.68955E-06  2.68242E-07  1.73364E-11  2.75249E-12  1.01170E-08  1.56388E-07
  1.500E-03  1.71347E-10  1.68888E-06  2.68232E-07  2.07954E-11  3.30287E-12  9.78072E-09  1.53879E-07
  1.750E-03  2.33223E-10  1.68808E-06  2.68219E-07  2.42498E-11  3.85317E-12  9.39013E-09  1.50947E-07
  2.000E-03  3.04617E-10  1.68716E-06  2.68205E-07  2.76990E-11  4.40339E-12  8.94861E-09  1.47609E-07
  2.250E-03  3.85531E-10  1.68612E-06  2.68189E-07  3.11422E-11  4.95351E-12  8.45991E-09  1.43883E-07
  2.500E-03  4.75965E-10  1.68496E-06  2.68171E-07  3.45786E-11  5.50353E-12  7.92818E-09  1.39791E-07
  2.750E-03  5.75917E-10  1.68368E-06  2.68151E-07  3.80075E-11  6.05344E-12  7.35791E-09  1.35354E-07
  3.000E-03  6.85389E-10  1.68228E-06  2.68130E-07  4.14283E-11  6.60322E-12  6.75394E-09  1.30597E-07
  3.250E-03  8.04380E-10  1.68076E-06  2.68106E-07  4.48402E-11  7.15286E-12  6.12134E-09  1.25546E-07
  3.500E-03  9.32891E-10  1.67913E-06  2.68080E-07  4.82425E-11  7.70234E-12  5.46542E-09  1.20228E-07
  3.750E-03  1.07092E-09  1.67738E-06  2.68053E-07  5.16345E-11  8.25167E-12  4.79167E-09  1.14673E-07
  4.000E-03  1.21847E-09  1.67551E-06  2.68024E-07  5.50155E-11  8.80082E-12  4.10568E-09  1.08911E-07
  4.250E-03  1.37554E-09  1.67353E-06  2.67993E-07  5.83849E-11  9.34979E-12  3.41314E-09  1.02971E-07
  4.500E-03  1.54213E-09  1.67143E-06  2.67960E-07  6.17419E-11  9.89856E-12  2.71972E-09  9.68856E-08
  4.750E-03  1.71823E-09  1.66923E-06  2.67925E-07  6.50860E-11  1.04471E-11  2.03111E-09  9.06866E-08
  5.000E-03  1.90386E-09  1.66691E-06  2.67888E-07  6.84165E-11  1.09955E-11  1.35286E-09  8.44061E-08
  5.250E-03  2.09900E-09  1.66448E-06  2.67850E-07  7.17328E-11  1.15436E-11  6.90426E-10  7.80762E-08
  5.500E-03  2.30367E-09  1.66195E-06  2.67809E-07  7.50342E-11  1.20914E-11  4.90536E-11  7.17289E-08
  5.750E-03  2.51785E-09  1.65931E-06  2.67767E-07  7.83202E-11  1.26390E-11  5.66236E-10  6.53958E-08
  6.000E-03  2.74156E-09  1.65656E-06  2.67723E-07  8.15901E-11  1.31864E-11  1.15070E-09  5.91082E-08
  6.250E-03  2.97478E-09  1.65371E-06  2.67677E-07  8.48434E-11  1.37335E-11  1.69992E-09  5.28962E-08
  6.500E-03  3.21752E-09  1.65076E-06  2.67629E-07  8.80796E-11  1.42803E-11  2.20983E-09  4.67892E-08
  6.750E-03  3.46978E-09  1.64770E-06  2.67579E-07  9.12980E-11  1.48267E-11  2.67677E-09  4.08153E-08
  7.000E-03  3.73156E-09  1.64455E-06  2.67528E-07  9.44982E-11  1.53729E-11  3.09752E-09  3.50015E-08
  7.250E-03  4.00286E-09  1.64129E-06  2.67474E-07  9.76796E-11  1.59188E-11  3.46928E-09  2.93730E-08
  7.500E-03  4.28368E-09  1.63795E-06  2.67419E-07  1.00842E-10  1.64643E-11  3.78978E-09  2.39537E-08
  7.750E-03  4.57402E-09  1.63450E-06  2.67362E-07  1.03984E-10  1.70095E-11  4.05720E-09  1.87655E-08
  8.000E-03  4.87388E-09  1.63097E-06  2.67303E-07  1.07106E-10  1.75543E-11  4.27028E-09  1.38284E-08
  8.250E-03  5.18326E-09  1.62734E-06  2.67242E-07  1.10208E-10  1.80988E-11  4.42825E-09  9.16044E-09
  8.500E-03  5.50215E-09  1.62363E-06  2.67180E-07  1.13288E-10  1.86428E-11  4.53088E-09  4.77766E-09
  8.750E-03  5.83057E-09  1.61983E-06  2.67115E-07  1.16347E-10  1.91865E-11  4.57848E-09  6.93781E-10
  9.000E-03  6.16850E-09  1.61594E-06  2.67049E-07  1.19384E-10  1.97298E-11  4.57185E-09  3.07968E-09
  9.250E-03  6.51596E-09  1.61197E-06  2.66981E-07  1.22399E-10  2.02727E-11  4.51231E-09  6.53347E-09
  9.500E-03  6.87293E-09  1.60791E-06  2.66912E-07  1.25391E-10  2.08152E-11  4.40170E-09  9.66067E-09
  9.750E-03  7.23942E-09  1.60378E-06  2.66840E-07  1.28360E-10  2.13573E-11  4.24229E-09  1.24567E-08
  1.000E-02  7.61544E-09  1.59957E-06  2.66767E-07  1.31305E-10  2.18989E-11  4.03682E-09  1.49192E-08
  1.250E-02  1.18991E-08  1.55357E-06  2.65936E-07  1.59412E-10  2.72884E-11  2.99522E-10  2.22537E-08
  1.500E-02  1.71347E-08  1.50186E-06  2.64933E-07  1.84927E-10  3.26225E-11  3.24795E-09  8.00875E-09
  1.750E-02  2.33223E-08  1.44624E-06  2.63764E-07  2.07759E-10  3.78916E-11  3.14389E-09  8.16830E-09
  2.000E-02  3.04617E-08  1.38833E-06  2.62436E-07  2.27930E-10  4.30868E-11  2.14866E-10  1.21388E-08
  2.250E-02  3.85531E-08  1.32946E-06  2.60959E-07  2.45549E-10  4.81997E-11  3.20412E-09  3.85031E-09
  2.500E-02  4.75965E-08  1.27071E-06  2.59340E-07  2.60775E-10  5.32229E-11  2.72428E-09  6.25249E-09
  2.750E-02  5.75917E-08  1.21287E-06  2.57588E-07  2.73796E-10  5.81499E-11  6.55846E-10  8.39771E-09
  3.000E-02  6.85389E-08  1.15652E-06  2.55714E-07  2.84810E-10  6.29747E-11  3.33101E-09  1.97825E-09
  3.250E-02  8.04380E-08  1.10206E-06  2.53726E-07  2.94014E-10  6.76923E-11  2.43881E-09  5.45556E-09
  3.500E-02  9.32891E-08  1.04972E-06  2.51635E-07  3.01593E-10  7.22985E-11  1.10627E-09  6.47791E-09
  3.750E-02  1.07092E-07  9.99648E-07  2.49449E-07  3.07722E-10  7.67897E-11  3.52825E-09  8.56713E-10
  4.000E-02  1.21847E-07  9.51899E-07  2.47177E-07  3.12558E-10  8.11632E-11  2.17617E-09  5.06226E-09
  4.250E-02  1.37554E-07  9.06476E-07  2.44829E-07  3.16246E-10  8.54168E-11  1.59008E-09  5.27510E-09
  4.500E-02  1.54213E-07  8.63342E-07  2.42414E-07  3.18916E-10  8.95489E-11  3.74790E-09  5.41879E-11
  4.750E-02  1.71823E-07  8.22436E-07  2.39938E-07  3.20683E-10  9.35587E-11  1.88615E-09  4.84426E-09
  5.000E-02  1.90386E-07  7.83677E-07  2.37411E-07  3.21653E-10  9.74457E-11  2.11315E-09  4.40570E-09
  5.250E-02  2.09900E-07  7.46975E-07  2.34840E-07  3.21919E-10  1.01210E-10  3.95957E-09  5.88107E-10
  5.500E-02  2.30367E-07  7.12238E-07  2.32231E-07  3.21565E-10  1.04852E-10  1.54143E-09  4.70580E-09
  5.750E-02  2.51785E-07  6.79368E-07  2.29592E-07  3.20666E-10  1.08372E-10  2.67305E-09  3.70552E-09
  6.000E-02  2.74156E-07  6.48269E-07  2.26928E-07  3.19291E-10  1.11772E-10  4.13946E-09  1.13821E-09
  6.250E-02  2.97478E-07  6.18847E-07  2.24246E-07  3.17500E-10  1.15052E-10  1.12556E-09  4.59836E-09
  6.500E-02  3.21752E-07  5.91010E-07  2.21550E-07  3.15347E-10  1.18216E-10  3.26201E-09  3.09423E-09
  6.750E-02  3.46978E-07  5.64669E-07  2.18845E-07  3.12881E-10  1.21264E-10  4.26662E-09  1.62737E-09
  7.000E-02  3.73156E-07  5.39742E-07  2.16136E-07  3.10145E-10  1.24199E-10  6.28898E-10  4.49374E-09
  7.250E-02  4.00286E-07  5.16146E-07  2.13428E-07  3.07179E-10  1.27023E-10  3.86803E-09  2.52924E-09
  7.500E-02  4.28368E-07  4.93807E-07  2.10724E-07  3.04018E-10  1.29738E-10  4.32184E-09  2.06958E-09
  7.750E-02  4.57402E-07  4.72650E-07  2.08027E-07  3.00692E-10  1.32347E-10  4.71778E-11  4.37397E-09
  8.000E-02  4.87388E-07  4.52608E-07  2.05341E-07  2.97231E-10  1.34852E-10  4.47567E-09  1.98739E-09
  8.250E-02  5.18325E-07  4.33617E-07  2.02668E-07  2.93657E-10  1.37256E-10  4.28772E-09  2.47001E-09
  8.500E-02  5.50215E-07  4.15614E-07  2.00011E-07  2.89995E-10  1.39562E-10  6.18980E-10  4.22709E-09
  8.750E-02  5.83057E-07  3.98542E-07  1.97373E-07  2.86262E-10  1.41771E-10  5.06676E-09  1.45658E-09
  9.000E-02  6.16850E-07  3.82348E-07  1.94755E-07  2.82476E-10  1.43888E-10  4.14910E-09  2.82906E-09
  9.250E-02  6.51596E-07  3.66979E-07  1.92160E-07  2.78653E-10  1.45914E-10  1.36432E-09  4.04524E-09
  9.500E-02  6.87293E-07  3.52388E-07  1.89589E-07  2.74806E-10  1.47853E-10  5.62126E-09  9.31506E-10
  9.750E-02  7.23942E-07  3.38529E-07  1.87042E-07  2.70946E-10  1.49706E-10  3.89371E-09  3.14463E-09
  1.000E-01  7.61543E-07  3.25361E-07  1.84523E-07  2.67083E-10  1.51476E-10  2.17926E-09  3.82371E-09
  1.250E-01  1.18991E-06  2.23871E-07  1.60962E-07  2.29715E-10  1.65169E-10  7.05877E-09  1.09136E-09
  1.500E-01  1.71347E-06  1.59462E-07  1.40514E-07  1.96349E-10  1.73025E-10  1.41660E-09  3.88750E-09
