 #
 # Projectile: electron
 # Kinetic energy = 8.10000E+06 eV = 2.97670E+05 a.u.
 #
 # Element: Au,  Z =  79,  atomic weight = 1.96967E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #
 # Number of electrons = 79
 #
 # Electron density: Read from file z_079.den   
 #                   Number of data points =  777
 #                   Volume integral = 7.90000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 7.73273E-18 cm**2 = 2.76141E-01 a0**2
 # 1st transport cross section = 1.48875E-22 cm**2 = 5.31643E-06 a0**2
 # 2nd transport cross section = 4.05495E-22 cm**2 = 1.44805E-05 a0**2
 #
 #
 # Differential cross section:                    
 #
 #  THETA        MU          DCS          DCS     
 #  (deg)                 (cm**2/sr)   (a0**2/sr) 
 #------------------------------------------------
  0.000E+00  0.00000E+00  2.93176E-12  1.04695E+05
  1.000E-04  7.61557E-13  2.93172E-12  1.04694E+05
  1.250E-04  1.18994E-12  2.93170E-12  1.04693E+05
  1.500E-04  1.71346E-12  2.93168E-12  1.04692E+05
  1.750E-04  2.33225E-12  2.93165E-12  1.04691E+05
  2.000E-04  3.04617E-12  2.93162E-12  1.04690E+05
  2.250E-04  3.85530E-12  2.93159E-12  1.04689E+05
  2.500E-04  4.75964E-12  2.93155E-12  1.04687E+05
  2.750E-04  5.75917E-12  2.93150E-12  1.04686E+05
  3.000E-04  6.85391E-12  2.93145E-12  1.04684E+05
  3.250E-04  8.04379E-12  2.93140E-12  1.04682E+05
  3.500E-04  9.32893E-12  2.93135E-12  1.04680E+05
  3.750E-04  1.07092E-11  2.93129E-12  1.04678E+05
  4.000E-04  1.21847E-11  2.93122E-12  1.04676E+05
  4.250E-04  1.37554E-11  2.93115E-12  1.04673E+05
  4.500E-04  1.54213E-11  2.93108E-12  1.04671E+05
  4.750E-04  1.71823E-11  2.93100E-12  1.04668E+05
  5.000E-04  1.90386E-11  2.93092E-12  1.04665E+05
  5.250E-04  2.09900E-11  2.93083E-12  1.04662E+05
  5.500E-04  2.30367E-11  2.93074E-12  1.04659E+05
