 #
 # Projectile: electron
 # Kinetic energy = 5.95000E+06 eV = 2.18658E+05 a.u.
 #
 # Element: Ag,  Z =  47,  atomic weight = 1.07868E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #
 # Number of electrons = 47
 #
 # Electron density: Read from file z_047.den   
 #                   Number of data points =  813
 #                   Volume integral = 4.70000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 4.31968E-18 cm**2 = 1.54259E-01 a0**2
 # 1st transport cross section = 8.68828E-23 cm**2 = 3.10264E-06 a0**2
 # 2nd transport cross section = 2.43499E-22 cm**2 = 8.69552E-06 a0**2
 #
 #
 # Differential cross section:                    
 #
 #  THETA        MU          DCS          DCS     
 #  (deg)                 (cm**2/sr)   (a0**2/sr) 
 #------------------------------------------------
  0.000E+00  0.00000E+00  1.16315E-12  4.15368E+04
  1.000E-04  7.61557E-13  1.16314E-12  4.15364E+04
  1.250E-04  1.18994E-12  1.16313E-12  4.15362E+04
  1.500E-04  1.71346E-12  1.16313E-12  4.15360E+04
  1.750E-04  2.33225E-12  1.16312E-12  4.15357E+04
  2.000E-04  3.04617E-12  1.16311E-12  4.15353E+04
  2.250E-04  3.85530E-12  1.16310E-12  4.15349E+04
  2.500E-04  4.75964E-12  1.16308E-12  4.15345E+04
  2.750E-04  5.75917E-12  1.16307E-12  4.15340E+04
  3.000E-04  6.85391E-12  1.16306E-12  4.15335E+04
  3.250E-04  8.04379E-12  1.16304E-12  4.15329E+04
  3.500E-04  9.32893E-12  1.16302E-12  4.15323E+04
  3.750E-04  1.07092E-11  1.16300E-12  4.15316E+04
  4.000E-04  1.21847E-11  1.16298E-12  4.15309E+04
  4.250E-04  1.37554E-11  1.16296E-12  4.15301E+04
  4.500E-04  1.54213E-11  1.16294E-12  4.15293E+04
  4.750E-04  1.71823E-11  1.16292E-12  4.15285E+04
  5.000E-04  1.90386E-11  1.16289E-12  4.15276E+04
  5.250E-04  2.09900E-11  1.16286E-12  4.15266E+04
  5.500E-04  2.30367E-11  1.16284E-12  4.15257E+04
  5.750E-04  2.51785E-11  1.16281E-12  4.15246E+04
  6.000E-04  2.74156E-11  1.16278E-12  4.15235E+04
  6.250E-04  2.97478E-11  1.16275E-12  4.15224E+04
  6.500E-04  3.21752E-11  1.16271E-12  4.15212E+04
  6.750E-04  3.46979E-11  1.16268E-12  4.15200E+04
  7.000E-04  3.73157E-11  1.16264E-12  4.15188E+04
  7.250E-04  4.00286E-11  1.16261E-12  4.15174E+04
  7.500E-04  4.28368E-11  1.16257E-12  4.15161E+04
  7.750E-04  4.57402E-11  1.16253E-12  4.15147E+04
  8.000E-04  4.87388E-11  1.16249E-12  4.15132E+04
  8.250E-04  5.18325E-11  1.16245E-12  4.15117E+04
  8.500E-04  5.50215E-11  1.16240E-12  4.15102E+04
  8.750E-04  5.83057E-11  1.16236E-12  4.15086E+04
  9.000E-04  6.16850E-11  1.16231E-12  4.15070E+04
  9.250E-04  6.51595E-11  1.16227E-12  4.15053E+04
  9.500E-04  6.87293E-11  1.16222E-12  4.15036E+04
  9.750E-04  7.23943E-11  1.16217E-12  4.15018E+04
  1.000E-03  7.61544E-11  1.16212E-12  4.15000E+04
  1.250E-03  1.18991E-10  1.16154E-12  4.14793E+04
  1.500E-03  1.71347E-10  1.16083E-12  4.14541E+04
  1.750E-03  2.33223E-10  1.16000E-12  4.14243E+04
  2.000E-03  3.04617E-10  1.15904E-12  4.13900E+04
  2.250E-03  3.85531E-10  1.15795E-12  4.13512E+04
  2.500E-03  4.75965E-10  1.15674E-12  4.13079E+04
  2.750E-03  5.75917E-10  1.15540E-12  4.12602E+04
  3.000E-03  6.85389E-10  1.15394E-12  4.12080E+04
  3.250E-03  8.04380E-10  1.15236E-12  4.11515E+04
  3.500E-03  9.32891E-10  1.15065E-12  4.10906E+04
  3.750E-03  1.07092E-09  1.14883E-12  4.10254E+04
  4.000E-03  1.21847E-09  1.14688E-12  4.09559E+04
  4.250E-03  1.37554E-09  1.14482E-12  4.08822E+04
  4.500E-03  1.54213E-09  1.14264E-12  4.08043E+04
  4.750E-03  1.71823E-09  1.14034E-12  4.07223E+04
  5.000E-03  1.90386E-09  1.13793E-12  4.06362E+04
  5.250E-03  2.09900E-09  1.13541E-12  4.05461E+04
  5.500E-03  2.30367E-09  1.13277E-12  4.04520E+04
  5.750E-03  2.51785E-09  1.13003E-12  4.03541E+04
  6.000E-03  2.74156E-09  1.12718E-12  4.02522E+04
  6.250E-03  2.97478E-09  1.12422E-12  4.01466E+04
  6.500E-03  3.21752E-09  1.12116E-12  4.00373E+04
  6.750E-03  3.46978E-09  1.11799E-12  3.99243E+04
  7.000E-03  3.73156E-09  1.11473E-12  3.98077E+04
  7.250E-03  4.00286E-09  1.11137E-12  3.96876E+04
  7.500E-03  4.28368E-09  1.10791E-12  3.95641E+04
  7.750E-03  4.57402E-09  1.10435E-12  3.94372E+04
  8.000E-03  4.87388E-09  1.10071E-12  3.93069E+04
  8.250E-03  5.18326E-09  1.09697E-12  3.91735E+04
  8.500E-03  5.50215E-09  1.09314E-12  3.90369E+04
  8.750E-03  5.83057E-09  1.08923E-12  3.88972E+04
  9.000E-03  6.16850E-09  1.08524E-12  3.87545E+04
  9.250E-03  6.51596E-09  1.08116E-12  3.86089E+04
  9.500E-03  6.87293E-09  1.07700E-12  3.84604E+04
  9.750E-03  7.23942E-09  1.07277E-12  3.83092E+04
  1.000E-02  7.61544E-09  1.06846E-12  3.81552E+04
  1.250E-02  1.18991E-08  1.02171E-12  3.64860E+04
  1.500E-02  1.71347E-08  9.69909E-13  3.46361E+04
  1.750E-02  2.33223E-08  9.15165E-13  3.26811E+04
  2.000E-02  3.04617E-08  8.59316E-13  3.06867E+04
  2.250E-02  3.85531E-08  8.03847E-13  2.87059E+04
  2.500E-02  4.75965E-08  7.49868E-13  2.67783E+04
  2.750E-02  5.75917E-08  6.98145E-13  2.49312E+04
  3.000E-02  6.85389E-08  6.49153E-13  2.31817E+04
  3.250E-02  8.04380E-08  6.03139E-13  2.15385E+04
  3.500E-02  9.32891E-08  5.60183E-13  2.00045E+04
  3.750E-02  1.07092E-07  5.20245E-13  1.85783E+04
  4.000E-02  1.21847E-07  4.83213E-13  1.72559E+04
  4.250E-02  1.37554E-07  4.48932E-13  1.60316E+04
  4.500E-02  1.54213E-07  4.17224E-13  1.48993E+04
  4.750E-02  1.71823E-07  3.87906E-13  1.38524E+04
  5.000E-02  1.90386E-07  3.60796E-13  1.28843E+04
  5.250E-02  2.09900E-07  3.35722E-13  1.19889E+04
  5.500E-02  2.30367E-07  3.12522E-13  1.11604E+04
  5.750E-02  2.51785E-07  2.91046E-13  1.03935E+04
  6.000E-02  2.74156E-07  2.71157E-13  9.68318E+03
  6.250E-02  2.97478E-07  2.52728E-13  9.02508E+03
  6.500E-02  3.21752E-07  2.35645E-13  8.41504E+03
  6.750E-02  3.46978E-07  2.19804E-13  7.84933E+03
  7.000E-02  3.73156E-07  2.05107E-13  7.32452E+03
  7.250E-02  4.00286E-07  1.91469E-13  6.83749E+03
  7.500E-02  4.28368E-07  1.78809E-13  6.38538E+03
  7.750E-02  4.57402E-07  1.67053E-13  5.96555E+03
  8.000E-02  4.87388E-07  1.56133E-13  5.57561E+03
  8.250E-02  5.18325E-07  1.45988E-13  5.21333E+03
  8.500E-02  5.50215E-07  1.36561E-13  4.87667E+03
  8.750E-02  5.83057E-07  1.27798E-13  4.56375E+03
  9.000E-02  6.16850E-07  1.19651E-13  4.27282E+03
  9.250E-02  6.51596E-07  1.12075E-13  4.00227E+03
  9.500E-02  6.87293E-07  1.05028E-13  3.75063E+03
  9.750E-02  7.23942E-07  9.84721E-14  3.51650E+03
  1.000E-01  7.61543E-07  9.23711E-14  3.29863E+03
  1.250E-01  1.18991E-06  5.02039E-14  1.79281E+03
  1.500E-01  1.71347E-06  2.89862E-14  1.03512E+03
  1.750E-01  2.33223E-06  1.78357E-14  6.36925E+02
  2.000E-01  3.04617E-06  1.16499E-14  4.16026E+02
  2.250E-01  3.85531E-06  8.00809E-15  2.85974E+02
  2.500E-01  4.75964E-06  5.73426E-15  2.04774E+02
  2.750E-01  5.75916E-06  4.23716E-15  1.51312E+02
  3.000E-01  6.85388E-06  3.20658E-15  1.14509E+02
  3.250E-01  8.04378E-06  2.47164E-15  8.82640E+01
  3.500E-01  9.32888E-06  1.93317E-15  6.90347E+01
  3.750E-01  1.07092E-05  1.53049E-15  5.46547E+01
  4.000E-01  1.21846E-05  1.22460E-15  4.37312E+01
  4.250E-01  1.37553E-05  9.89319E-16  3.53292E+01
  4.500E-01  1.54212E-05  8.06455E-16  2.87990E+01
  4.750E-01  1.71822E-05  6.63016E-16  2.36767E+01
  5.000E-01  1.90385E-05  5.49541E-16  1.96245E+01
  5.250E-01  2.09899E-05  4.59042E-16  1.63927E+01
  5.500E-01  2.30365E-05  3.86298E-16  1.37950E+01
  5.750E-01  2.51783E-05  3.27378E-16  1.16909E+01
  6.000E-01  2.74153E-05  2.79296E-16  9.97383E+00
  6.250E-01  2.97475E-05  2.39772E-16  8.56241E+00
  6.500E-01  3.21749E-05  2.07053E-16  7.39401E+00
  6.750E-01  3.46974E-05  1.79784E-16  6.42021E+00
  7.000E-01  3.73152E-05  1.56909E-16  5.60331E+00
  7.250E-01  4.00281E-05  1.37600E-16  4.91378E+00
  7.500E-01  4.28362E-05  1.21206E-16  4.32834E+00
  7.750E-01  4.57395E-05  1.07209E-16  3.82851E+00
  8.000E-01  4.87380E-05  9.51965E-17  3.39953E+00
  8.250E-01  5.18317E-05  8.48359E-17  3.02954E+00
  8.500E-01  5.50205E-05  7.58586E-17  2.70896E+00
  8.750E-01  5.83045E-05  6.80461E-17  2.42997E+00
  9.000E-01  6.16838E-05  6.12196E-17  2.18619E+00
  9.250E-01  6.51582E-05  5.52317E-17  1.97236E+00
  9.500E-01  6.87277E-05  4.99605E-17  1.78412E+00
  9.750E-01  7.23925E-05  4.53045E-17  1.61785E+00
  1.000E+00  7.61524E-05  4.11789E-17  1.47052E+00
  1.100E+00  9.21439E-05  2.87067E-17  1.02513E+00
  1.200E+00  1.09658E-04  2.06078E-17  7.35918E-01
  1.300E+00  1.28695E-04  1.51640E-17  5.41515E-01
  1.400E+00  1.49255E-04  1.13978E-17  4.07023E-01
  1.500E+00  1.71338E-04  8.72734E-18  3.11659E-01
  1.600E+00  1.94942E-04  6.79279E-18  2.42575E-01
  1.700E+00  2.20070E-04  5.36458E-18  1.91573E-01
  1.800E+00  2.46720E-04  4.29225E-18  1.53279E-01
  1.900E+00  2.74892E-04  3.47482E-18  1.24088E-01
  2.000E+00  3.04586E-04  2.84307E-18  1.01528E-01
  2.100E+00  3.35803E-04  2.34871E-18  8.38740E-02
  2.200E+00  3.68542E-04  1.95743E-18  6.99009E-02
  2.300E+00  4.02802E-04  1.64448E-18  5.87255E-02
  2.400E+00  4.38585E-04  1.39179E-18  4.97016E-02
  2.500E+00  4.75889E-04  1.18593E-18  4.23504E-02
  2.600E+00  5.14715E-04  1.01687E-18  3.63130E-02
  2.700E+00  5.55063E-04  8.76968E-19  3.13171E-02
  2.800E+00  5.96931E-04  7.60389E-19  2.71540E-02
  2.900E+00  6.40321E-04  6.62610E-19  2.36622E-02
  3.000E+00  6.85233E-04  5.80101E-19  2.07158E-02
  3.100E+00  7.31665E-04  5.10081E-19  1.82153E-02
  3.200E+00  7.79618E-04  4.50345E-19  1.60821E-02
  3.300E+00  8.29092E-04  3.99129E-19  1.42532E-02
  3.400E+00  8.80086E-04  3.55012E-19  1.26777E-02
  3.500E+00  9.32601E-04  3.16844E-19  1.13147E-02
  3.600E+00  9.86636E-04  2.83684E-19  1.01305E-02
  3.700E+00  1.04219E-03  2.54763E-19  9.09776E-03
  3.800E+00  1.09927E-03  2.29446E-19  8.19368E-03
  3.900E+00  1.15786E-03  2.07206E-19  7.39947E-03
  4.000E+00  1.21797E-03  1.87604E-19  6.69947E-03
  4.100E+00  1.27961E-03  1.70273E-19  6.08056E-03
  4.200E+00  1.34276E-03  1.54903E-19  5.53169E-03
  4.300E+00  1.40743E-03  1.41234E-19  5.04356E-03
  4.400E+00  1.47362E-03  1.29044E-19  4.60825E-03
  4.500E+00  1.54133E-03  1.18145E-19  4.21904E-03
  4.600E+00  1.61056E-03  1.08376E-19  3.87019E-03
  4.700E+00  1.68131E-03  9.95996E-20  3.55677E-03
  4.800E+00  1.75357E-03  9.16962E-20  3.27453E-03
  4.900E+00  1.82735E-03  8.45638E-20  3.01983E-03
  5.000E+00  1.90265E-03  7.81137E-20  2.78949E-03
  5.100E+00  1.97947E-03  7.22690E-20  2.58077E-03
  5.200E+00  2.05780E-03  6.69626E-20  2.39128E-03
  5.300E+00  2.13765E-03  6.21360E-20  2.21892E-03
  5.400E+00  2.21902E-03  5.77379E-20  2.06186E-03
  5.500E+00  2.30190E-03  5.37236E-20  1.91850E-03
  5.600E+00  2.38630E-03  5.00533E-20  1.78744E-03
  5.700E+00  2.47222E-03  4.66923E-20  1.66741E-03
  5.800E+00  2.55965E-03  4.36098E-20  1.55733E-03
  5.900E+00  2.64859E-03  4.07785E-20  1.45623E-03
  6.000E+00  2.73905E-03  3.81741E-20  1.36322E-03
  6.100E+00  2.83103E-03  3.57752E-20  1.27755E-03
  6.200E+00  2.92452E-03  3.35625E-20  1.19854E-03
  6.300E+00  3.01952E-03  3.15190E-20  1.12556E-03
  6.400E+00  3.11604E-03  2.96294E-20  1.05808E-03
  6.500E+00  3.21407E-03  2.78798E-20  9.95607E-04
  6.600E+00  3.31362E-03  2.62581E-20  9.37694E-04
  6.700E+00  3.41468E-03  2.47531E-20  8.83950E-04
  6.800E+00  3.51725E-03  2.33550E-20  8.34021E-04
  6.900E+00  3.62133E-03  2.20546E-20  7.87582E-04
  7.000E+00  3.72692E-03  2.08439E-20  7.44348E-04
  7.100E+00  3.83403E-03  1.97155E-20  7.04055E-04
  7.200E+00  3.94265E-03  1.86629E-20  6.66465E-04
  7.300E+00  4.05278E-03  1.76800E-20  6.31363E-04
  7.400E+00  4.16442E-03  1.67612E-20  5.98555E-04
  7.500E+00  4.27757E-03  1.59017E-20  5.67861E-04
  7.600E+00  4.39223E-03  1.50969E-20  5.39120E-04
  7.700E+00  4.50840E-03  1.43426E-20  5.12185E-04
  7.800E+00  4.62608E-03  1.36352E-20  4.86921E-04
  7.900E+00  4.74527E-03  1.29710E-20  4.63204E-04
  8.000E+00  4.86597E-03  1.23471E-20  4.40922E-04
  8.100E+00  4.98817E-03  1.17604E-20  4.19972E-04
  8.200E+00  5.11188E-03  1.12084E-20  4.00260E-04
  8.300E+00  5.23711E-03  1.06886E-20  3.81697E-04
  8.400E+00  5.36383E-03  1.01988E-20  3.64205E-04
  8.500E+00  5.49207E-03  9.73686E-21  3.47710E-04
  8.600E+00  5.62181E-03  9.30097E-21  3.32144E-04
  8.700E+00  5.75306E-03  8.88936E-21  3.17445E-04
  8.800E+00  5.88581E-03  8.50043E-21  3.03556E-04
  8.900E+00  6.02007E-03  8.13268E-21  2.90423E-04
  9.000E+00  6.15583E-03  7.78473E-21  2.77998E-04
  9.100E+00  6.29310E-03  7.45533E-21  2.66235E-04
  9.200E+00  6.43187E-03  7.14329E-21  2.55092E-04
  9.300E+00  6.57214E-03  6.84752E-21  2.44529E-04
  9.400E+00  6.71392E-03  6.56701E-21  2.34512E-04
  9.500E+00  6.85720E-03  6.30083E-21  2.25007E-04
  9.600E+00  7.00198E-03  6.04810E-21  2.15982E-04
  9.700E+00  7.14827E-03  5.80801E-21  2.07408E-04
  9.800E+00  7.29605E-03  5.57980E-21  1.99258E-04
  9.900E+00  7.44534E-03  5.36278E-21  1.91508E-04
  1.000E+01  7.59612E-03  5.15629E-21  1.84135E-04
  1.025E+01  7.97965E-03  4.68225E-21  1.67206E-04
  1.050E+01  8.37255E-03  4.26186E-21  1.52194E-04
  1.075E+01  8.77480E-03  3.88797E-21  1.38842E-04
  1.100E+01  9.18641E-03  3.55452E-21  1.26934E-04
  1.125E+01  9.60736E-03  3.25636E-21  1.16287E-04
  1.150E+01  1.00376E-02  2.98907E-21  1.06742E-04
  1.175E+01  1.04773E-02  2.74889E-21  9.81648E-05
  1.200E+01  1.09262E-02  2.53257E-21  9.04398E-05
  1.225E+01  1.13844E-02  2.33731E-21  8.34669E-05
  1.250E+01  1.18520E-02  2.16068E-21  7.71594E-05
  1.275E+01  1.23288E-02  2.00059E-21  7.14422E-05
  1.300E+01  1.28150E-02  1.85519E-21  6.62500E-05
  1.325E+01  1.33104E-02  1.72289E-21  6.15256E-05
  1.350E+01  1.38150E-02  1.60230E-21  5.72192E-05
  1.375E+01  1.43290E-02  1.49218E-21  5.32869E-05
  1.400E+01  1.48521E-02  1.39147E-21  4.96901E-05
  1.425E+01  1.53845E-02  1.29919E-21  4.63950E-05
  1.450E+01  1.59262E-02  1.21453E-21  4.33715E-05
  1.475E+01  1.64770E-02  1.13672E-21  4.05930E-05
  1.500E+01  1.70371E-02  1.06511E-21  3.80359E-05
  1.525E+01  1.76063E-02  9.99123E-22  3.56793E-05
  1.550E+01  1.81848E-02  9.38223E-22  3.35046E-05
  1.575E+01  1.87724E-02  8.81947E-22  3.14949E-05
  1.600E+01  1.93692E-02  8.29877E-22  2.96354E-05
  1.625E+01  1.99751E-02  7.81639E-22  2.79129E-05
  1.650E+01  2.05901E-02  7.36899E-22  2.63151E-05
  1.675E+01  2.12143E-02  6.95353E-22  2.48315E-05
  1.700E+01  2.18476E-02  6.56730E-22  2.34522E-05
  1.725E+01  2.24900E-02  6.20785E-22  2.21686E-05
  1.750E+01  2.31415E-02  5.87297E-22  2.09728E-05
  1.775E+01  2.38021E-02  5.56067E-22  1.98575E-05
  1.800E+01  2.44717E-02  5.26910E-22  1.88163E-05
  1.825E+01  2.51504E-02  4.99666E-22  1.78434E-05
  1.850E+01  2.58382E-02  4.74181E-22  1.69333E-05
  1.875E+01  2.65349E-02  4.50324E-22  1.60814E-05
  1.900E+01  2.72407E-02  4.27967E-22  1.52830E-05
  1.925E+01  2.79555E-02  4.07000E-22  1.45342E-05
  1.950E+01  2.86793E-02  3.87318E-22  1.38314E-05
  1.975E+01  2.94120E-02  3.68828E-22  1.31711E-05
  2.000E+01  3.01537E-02  3.51444E-22  1.25503E-05
  2.025E+01  3.09043E-02  3.35086E-22  1.19661E-05
  2.050E+01  3.16639E-02  3.19682E-22  1.14160E-05
  2.075E+01  3.24324E-02  3.05165E-22  1.08977E-05
  2.100E+01  3.32098E-02  2.91475E-22  1.04088E-05
  2.125E+01  3.39961E-02  2.78555E-22  9.94738E-06
  2.150E+01  3.47912E-02  2.66353E-22  9.51163E-06
  2.175E+01  3.55952E-02  2.54821E-22  9.09982E-06
  2.200E+01  3.64081E-02  2.43916E-22  8.71038E-06
  2.225E+01  3.72297E-02  2.33596E-22  8.34186E-06
  2.250E+01  3.80602E-02  2.23824E-22  7.99290E-06
  2.275E+01  3.88995E-02  2.14565E-22  7.66226E-06
  2.300E+01  3.97476E-02  2.05787E-22  7.34879E-06
  2.325E+01  4.06044E-02  1.97460E-22  7.05142E-06
  2.350E+01  4.14700E-02  1.89556E-22  6.76917E-06
  2.375E+01  4.23443E-02  1.82049E-22  6.50110E-06
  2.400E+01  4.32273E-02  1.74916E-22  6.24637E-06
  2.425E+01  4.41190E-02  1.68134E-22  6.00418E-06
  2.450E+01  4.50194E-02  1.61682E-22  5.77378E-06
  2.475E+01  4.59284E-02  1.55542E-22  5.55450E-06
  2.500E+01  4.68461E-02  1.49694E-22  5.34568E-06
  2.550E+01  4.87074E-02  1.38812E-22  4.95707E-06
  2.600E+01  5.06030E-02  1.28915E-22  4.60365E-06
  2.650E+01  5.25328E-02  1.19897E-22  4.28160E-06
  2.700E+01  5.44967E-02  1.11665E-22  3.98763E-06
  2.750E+01  5.64946E-02  1.04137E-22  3.71881E-06
  2.800E+01  5.85262E-02  9.72422E-23  3.47258E-06
  2.850E+01  6.05914E-02  9.09164E-23  3.24669E-06
  2.900E+01  6.26901E-02  8.51038E-23  3.03911E-06
  2.950E+01  6.48222E-02  7.97547E-23  2.84809E-06
  3.000E+01  6.69873E-02  7.48251E-23  2.67205E-06
  3.050E+01  6.91854E-02  7.02758E-23  2.50959E-06
  3.100E+01  7.14163E-02  6.60717E-23  2.35946E-06
  3.150E+01  7.36799E-02  6.21815E-23  2.22054E-06
  3.200E+01  7.59760E-02  5.85772E-23  2.09183E-06
  3.250E+01  7.83043E-02  5.52336E-23  1.97243E-06
  3.300E+01  8.06647E-02  5.21282E-23  1.86153E-06
  3.350E+01  8.30571E-02  4.92409E-23  1.75842E-06
  3.400E+01  8.54812E-02  4.65531E-23  1.66244E-06
  3.450E+01  8.79369E-02  4.40486E-23  1.57300E-06
  3.500E+01  9.04240E-02  4.17121E-23  1.48957E-06
  3.550E+01  9.29422E-02  3.95305E-23  1.41166E-06
  3.600E+01  9.54915E-02  3.74911E-23  1.33883E-06
  3.650E+01  9.80716E-02  3.55830E-23  1.27069E-06
  3.700E+01  1.00682E-01  3.37961E-23  1.20688E-06
  3.750E+01  1.03323E-01  3.21212E-23  1.14707E-06
  3.800E+01  1.05995E-01  3.05498E-23  1.09095E-06
  3.850E+01  1.08696E-01  2.90743E-23  1.03826E-06
  3.900E+01  1.11427E-01  2.76876E-23  9.88741E-07
  3.950E+01  1.14188E-01  2.63833E-23  9.42164E-07
  4.000E+01  1.16978E-01  2.51556E-23  8.98322E-07
  4.050E+01  1.19797E-01  2.39990E-23  8.57021E-07
  4.100E+01  1.22645E-01  2.29087E-23  8.18086E-07
  4.150E+01  1.25522E-01  2.18801E-23  7.81353E-07
  4.200E+01  1.28428E-01  2.09090E-23  7.46674E-07
  4.250E+01  1.31361E-01  1.99915E-23  7.13910E-07
  4.300E+01  1.34323E-01  1.91241E-23  6.82932E-07
  4.350E+01  1.37313E-01  1.83034E-23  6.53626E-07
  4.400E+01  1.40330E-01  1.75265E-23  6.25883E-07
  4.450E+01  1.43375E-01  1.67906E-23  5.99603E-07
  4.500E+01  1.46447E-01  1.60931E-23  5.74694E-07
  4.550E+01  1.49545E-01  1.54315E-23  5.51070E-07
  4.600E+01  1.52671E-01  1.48037E-23  5.28650E-07
  4.650E+01  1.55823E-01  1.42075E-23  5.07361E-07
  4.700E+01  1.59001E-01  1.36411E-23  4.87134E-07
  4.750E+01  1.62205E-01  1.31027E-23  4.67906E-07
