 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =  47,   projectile: electron
 #  Kinetic energy = 5.95000E+06 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)        ERRF         ERRG 
 #-----------------------------------------------------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.07263E-06  1.12319E-07  0.00000E+00  0.00000E+00  2.27018E-09  0.00000E+00
  1.000E-04  7.61557E-13  1.07262E-06  1.12319E-07  8.62014E-13  9.02677E-14  2.26932E-09  4.26179E-07
  1.250E-04  1.18994E-12  1.07262E-06  1.12319E-07  1.07752E-12  1.12835E-13  2.26883E-09  4.26134E-07
  1.500E-04  1.71346E-12  1.07262E-06  1.12319E-07  1.29301E-12  1.35402E-13  2.26824E-09  4.26079E-07
  1.750E-04  2.33225E-12  1.07261E-06  1.12319E-07  1.50851E-12  1.57968E-13  2.26753E-09  4.26014E-07
  2.000E-04  3.04617E-12  1.07261E-06  1.12318E-07  1.72401E-12  1.80535E-13  2.26672E-09  4.25939E-07
  2.250E-04  3.85530E-12  1.07260E-06  1.12318E-07  1.93950E-12  2.03102E-13  2.26581E-09  4.25854E-07
  2.500E-04  4.75964E-12  1.07260E-06  1.12318E-07  2.15498E-12  2.25669E-13  2.26478E-09  4.25759E-07
  2.750E-04  5.75917E-12  1.07259E-06  1.12318E-07  2.37047E-12  2.48236E-13  2.26365E-09  4.25653E-07
  3.000E-04  6.85391E-12  1.07259E-06  1.12318E-07  2.58595E-12  2.70802E-13  2.26241E-09  4.25538E-07
  3.250E-04  8.04379E-12  1.07258E-06  1.12318E-07  2.80143E-12  2.93369E-13  2.26106E-09  4.25413E-07
  3.500E-04  9.32893E-12  1.07257E-06  1.12318E-07  3.01690E-12  3.15936E-13  2.25960E-09  4.25278E-07
  3.750E-04  1.07092E-11  1.07256E-06  1.12318E-07  3.23236E-12  3.38502E-13  2.25804E-09  4.25133E-07
  4.000E-04  1.21847E-11  1.07255E-06  1.12318E-07  3.44783E-12  3.61069E-13  2.25637E-09  4.24978E-07
  4.250E-04  1.37554E-11  1.07254E-06  1.12318E-07  3.66328E-12  3.83635E-13  2.25459E-09  4.24813E-07
  4.500E-04  1.54213E-11  1.07253E-06  1.12318E-07  3.87873E-12  4.06202E-13  2.25271E-09  4.24638E-07
  4.750E-04  1.71823E-11  1.07252E-06  1.12318E-07  4.09417E-12  4.28768E-13  2.25072E-09  4.24453E-07
  5.000E-04  1.90386E-11  1.07251E-06  1.12318E-07  4.30961E-12  4.51334E-13  2.24862E-09  4.24258E-07
  5.250E-04  2.09900E-11  1.07250E-06  1.12317E-07  4.52504E-12  4.73901E-13  2.24642E-09  4.24053E-07
  5.500E-04  2.30367E-11  1.07248E-06  1.12317E-07  4.74046E-12  4.96467E-13  2.24411E-09  4.23838E-07
  5.750E-04  2.51785E-11  1.07247E-06  1.12317E-07  4.95587E-12  5.19033E-13  2.24169E-09  4.23614E-07
  6.000E-04  2.74156E-11  1.07246E-06  1.12317E-07  5.17127E-12  5.41599E-13  2.23917E-09  4.23379E-07
  6.250E-04  2.97478E-11  1.07244E-06  1.12317E-07  5.38667E-12  5.64165E-13  2.23654E-09  4.23135E-07
  6.500E-04  3.21752E-11  1.07243E-06  1.12317E-07  5.60206E-12  5.86731E-13  2.23381E-09  4.22880E-07
  6.750E-04  3.46979E-11  1.07241E-06  1.12317E-07  5.81744E-12  6.09297E-13  2.23097E-09  4.22616E-07
  7.000E-04  3.73157E-11  1.07239E-06  1.12317E-07  6.03280E-12  6.31862E-13  2.22802E-09  4.22342E-07
