 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =  79,   projectile: electron
 #  Kinetic energy = 6.00000E+06 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)        ERRF         ERRG 
 #-----------------------------------------------------------------------------------------------------------------
  2.000E-03  3.04617E-10  1.27686E-06  2.03073E-07  2.05364E-11  3.26627E-12  2.80175E-09  8.95226E-08
  2.250E-03  3.85531E-10  1.27641E-06  2.03066E-07  2.30953E-11  3.67443E-12  2.70690E-09  8.80837E-08
  2.500E-03  4.75965E-10  1.27590E-06  2.03058E-07  2.56513E-11  4.08255E-12  2.60268E-09  8.64931E-08
  2.750E-03  5.75917E-10  1.27535E-06  2.03050E-07  2.82042E-11  4.49061E-12  2.48966E-09  8.47566E-08
  3.000E-03  6.85389E-10  1.27474E-06  2.03040E-07  3.07535E-11  4.89862E-12  2.36846E-09  8.28805E-08
  3.250E-03  8.04380E-10  1.27408E-06  2.03030E-07  3.32991E-11  5.30658E-12  2.23974E-09  8.08713E-08
  3.500E-03  9.32891E-10  1.27337E-06  2.03019E-07  3.58406E-11  5.71446E-12  2.10419E-09  7.87363E-08
  3.750E-03  1.07092E-09  1.27261E-06  2.03007E-07  3.83777E-11  6.12228E-12  1.96257E-09  7.64830E-08
  4.000E-03  1.21847E-09  1.27180E-06  2.02995E-07  4.09101E-11  6.53003E-12  1.81562E-09  7.41194E-08
  4.250E-03  1.37554E-09  1.27093E-06  2.02981E-07  4.34374E-11  6.93770E-12  1.66416E-09  7.16538E-08
  4.500E-03  1.54213E-09  1.27002E-06  2.02967E-07  4.59595E-11  7.34528E-12  1.50898E-09  6.90948E-08
  4.750E-03  1.71823E-09  1.26906E-06  2.02952E-07  4.84759E-11  7.75277E-12  1.35093E-09  6.64512E-08
  5.000E-03  1.90386E-09  1.26804E-06  2.02936E-07  5.09865E-11  8.16018E-12  1.19084E-09  6.37323E-08
  5.250E-03  2.09900E-09  1.26698E-06  2.02919E-07  5.34909E-11  8.56748E-12  1.02958E-09  6.09473E-08
  5.500E-03  2.30367E-09  1.26586E-06  2.02902E-07  5.59888E-11  8.97468E-12  8.67981E-10  5.81057E-08
  5.750E-03  2.51785E-09  1.26470E-06  2.02884E-07  5.84800E-11  9.38178E-12  7.06906E-10  5.52172E-08
  6.000E-03  2.74156E-09  1.26349E-06  2.02864E-07  6.09641E-11  9.78876E-12  5.47192E-10  5.22914E-08
  6.250E-03  2.97478E-09  1.26223E-06  2.02844E-07  6.34410E-11  1.01956E-11  3.89669E-10  4.93381E-08
  6.500E-03  3.21752E-09  1.26092E-06  2.02824E-07  6.59103E-11  1.06024E-11  2.35145E-10  4.63669E-08
  6.750E-03  3.46978E-09  1.25957E-06  2.02802E-07  6.83718E-11  1.10090E-11  8.44084E-11  4.33877E-08
  7.000E-03  3.73156E-09  1.25816E-06  2.02780E-07  7.08251E-11  1.14155E-11  6.17807E-11  4.04098E-08
  7.250E-03  4.00286E-09  1.25672E-06  2.02757E-07  7.32701E-11  1.18218E-11  2.02695E-10  3.74429E-08
  7.500E-03  4.28368E-09  1.25522E-06  2.02733E-07  7.57065E-11  1.22280E-11  3.37642E-10  3.44962E-08
  7.750E-03  4.57402E-09  1.25368E-06  2.02708E-07  7.81341E-11  1.26341E-11  4.65970E-10  3.15788E-08
  8.000E-03  4.87388E-09  1.25209E-06  2.02682E-07  8.05525E-11  1.30400E-11  5.87069E-10  2.86995E-08
  8.250E-03  5.18326E-09  1.25046E-06  2.02656E-07  8.29616E-11  1.34457E-11  7.00380E-10  2.58670E-08
  8.500E-03  5.50215E-09  1.24879E-06  2.02629E-07  8.53611E-11  1.38513E-11  8.05391E-10  2.30895E-08
  8.750E-03  5.83057E-09  1.24707E-06  2.02601E-07  8.77509E-11  1.42567E-11  9.01645E-10  2.03750E-08
