 #
 # Projectile: electron
 # Kinetic energy = 6.05000E+06 eV = 2.22333E+05 a.u.
 #
 # Element: Au,  Z =  79,  atomic weight = 1.96967E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #
 # Number of electrons = 79
 #
 # Electron density: Read from file z_079.den   
 #                   Number of data points =  777
 #                   Volume integral = 7.90000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 7.75124E-18 cm**2 = 2.76802E-01 a0**2
 # 1st transport cross section = 2.49404E-22 cm**2 = 8.90639E-06 a0**2
 # 2nd transport cross section = 6.73724E-22 cm**2 = 2.40591E-05 a0**2
 #
 #
 # Differential cross section:                    
 #
 #  THETA        MU          DCS          DCS     
 #  (deg)                 (cm**2/sr)   (a0**2/sr) 
 #------------------------------------------------
  0.000E+00  0.00000E+00  1.70179E-12  6.07722E+04
  1.000E-04  7.61557E-13  1.70178E-12  6.07718E+04
  1.250E-04  1.18994E-12  1.70178E-12  6.07716E+04
  1.500E-04  1.71346E-12  1.70177E-12  6.07713E+04
  1.750E-04  2.33225E-12  1.70176E-12  6.07710E+04
  2.000E-04  3.04617E-12  1.70175E-12  6.07706E+04
  2.250E-04  3.85530E-12  1.70174E-12  6.07702E+04
  2.500E-04  4.75964E-12  1.70172E-12  6.07697E+04
  2.750E-04  5.75917E-12  1.70171E-12  6.07692E+04
  3.000E-04  6.85391E-12  1.70169E-12  6.07686E+04
  3.250E-04  8.04379E-12  1.70168E-12  6.07680E+04
  3.500E-04  9.32893E-12  1.70166E-12  6.07673E+04
  3.750E-04  1.07092E-11  1.70164E-12  6.07665E+04
  4.000E-04  1.21847E-11  1.70161E-12  6.07658E+04
  4.250E-04  1.37554E-11  1.70159E-12  6.07649E+04
  4.500E-04  1.54213E-11  1.70157E-12  6.07641E+04
  4.750E-04  1.71823E-11  1.70154E-12  6.07631E+04
  5.000E-04  1.90386E-11  1.70151E-12  6.07622E+04
  5.250E-04  2.09900E-11  1.70148E-12  6.07611E+04
  5.500E-04  2.30367E-11  1.70145E-12  6.07601E+04
