 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =  47,   projectile: electron
 #  Kinetic energy = 2.95000E+06 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)        ERRF         ERRG 
 #-----------------------------------------------------------------------------------------------------------------
  0.000E+00  0.00000E+00  5.74438E-07  6.06383E-08  0.00000E+00  0.00000E+00  1.51055E-07  0.00000E+00
  1.000E-04  7.61557E-13  5.74438E-07  6.06383E-08  4.27271E-13  4.51103E-14  1.51043E-07  1.09463E-06
  1.250E-04  1.18994E-12  5.74437E-07  6.06383E-08  5.34088E-13  5.63879E-14  1.51036E-07  1.09460E-06
  1.500E-04  1.71346E-12  5.74437E-07  6.06383E-08  6.40905E-13  6.76654E-14  1.51027E-07  1.09457E-06
  1.750E-04  2.33225E-12  5.74436E-07  6.06383E-08  7.47722E-13  7.89430E-14  1.51017E-07  1.09454E-06
  2.000E-04  3.04617E-12  5.74435E-07  6.06383E-08  8.54539E-13  9.02205E-14  1.51006E-07  1.09450E-06
  2.250E-04  3.85530E-12  5.74435E-07  6.06382E-08  9.61355E-13  1.01498E-13  1.50992E-07  1.09445E-06
  2.500E-04  4.75964E-12  5.74434E-07  6.06382E-08  1.06817E-12  1.12776E-13  1.50978E-07  1.09440E-06
  2.750E-04  5.75917E-12  5.74433E-07  6.06382E-08  1.17499E-12  1.24053E-13  1.50961E-07  1.09434E-06
  3.000E-04  6.85391E-12  5.74432E-07  6.06382E-08  1.28180E-12  1.35331E-13  1.50943E-07  1.09427E-06
  3.250E-04  8.04379E-12  5.74431E-07  6.06382E-08  1.38861E-12  1.46608E-13  1.50924E-07  1.09420E-06
  3.500E-04  9.32893E-12  5.74429E-07  6.06382E-08  1.49543E-12  1.57886E-13  1.50903E-07  1.09413E-06
  3.750E-04  1.07092E-11  5.74428E-07  6.06382E-08  1.60224E-12  1.69163E-13  1.50880E-07  1.09405E-06
  4.000E-04  1.21847E-11  5.74427E-07  6.06382E-08  1.70905E-12  1.80441E-13  1.50856E-07  1.09396E-06
  4.250E-04  1.37554E-11  5.74425E-07  6.06382E-08  1.81586E-12  1.91718E-13  1.50830E-07  1.09387E-06
  4.500E-04  1.54213E-11  5.74424E-07  6.06381E-08  1.92267E-12  2.02996E-13  1.50803E-07  1.09377E-06
  4.750E-04  1.71823E-11  5.74422E-07  6.06381E-08  2.02948E-12  2.14273E-13  1.50774E-07  1.09367E-06
  5.000E-04  1.90386E-11  5.74420E-07  6.06381E-08  2.13629E-12  2.25551E-13  1.50744E-07  1.09356E-06
  5.250E-04  2.09900E-11  5.74418E-07  6.06381E-08  2.24310E-12  2.36828E-13  1.50712E-07  1.09345E-06
  5.500E-04  2.30367E-11  5.74416E-07  6.06381E-08  2.34990E-12  2.48106E-13  1.50679E-07  1.09333E-06
  5.750E-04  2.51785E-11  5.74414E-07  6.06381E-08  2.45671E-12  2.59383E-13  1.50644E-07  1.09320E-06
  6.000E-04  2.74156E-11  5.74412E-07  6.06380E-08  2.56351E-12  2.70661E-13  1.50607E-07  1.09307E-06
  6.250E-04  2.97478E-11  5.74410E-07  6.06380E-08  2.67032E-12  2.81938E-13  1.50569E-07  1.09294E-06
  6.500E-04  3.21752E-11  5.74408E-07  6.06380E-08  2.77712E-12  2.93216E-13  1.50529E-07  1.09279E-06
  6.750E-04  3.46979E-11  5.74405E-07  6.06380E-08  2.88392E-12  3.04493E-13  1.50488E-07  1.09265E-06
  7.000E-04  3.73157E-11  5.74403E-07  6.06380E-08  2.99072E-12  3.15770E-13  1.50445E-07  1.09249E-06
  7.250E-04  4.00286E-11  5.74400E-07  6.06379E-08  3.09751E-12  3.27048E-13  1.50401E-07  1.09234E-06
  7.500E-04  4.28368E-11  5.74398E-07  6.06379E-08  3.20431E-12  3.38325E-13  1.50355E-07  1.09217E-06
  7.750E-04  4.57402E-11  5.74395E-07  6.06379E-08  3.31110E-12  3.49603E-13  1.50308E-07  1.09200E-06
  8.000E-04  4.87388E-11  5.74392E-07  6.06379E-08  3.41790E-12  3.60880E-13  1.50259E-07  1.09183E-06
  8.250E-04  5.18325E-11  5.74389E-07  6.06378E-08  3.52469E-12  3.72157E-13  1.50208E-07  1.09165E-06
  8.500E-04  5.50215E-11  5.74386E-07  6.06378E-08  3.63148E-12  3.83435E-13  1.50156E-07  1.09146E-06
  8.750E-04  5.83057E-11  5.74383E-07  6.06378E-08  3.73826E-12  3.94712E-13  1.50102E-07  1.09127E-06
  9.000E-04  6.16850E-11  5.74380E-07  6.06378E-08  3.84505E-12  4.05989E-13  1.50047E-07  1.09107E-06
  9.250E-04  6.51595E-11  5.74376E-07  6.06377E-08  3.95183E-12  4.17266E-13  1.49991E-07  1.09087E-06
  9.500E-04  6.87293E-11  5.74373E-07  6.06377E-08  4.05862E-12  4.28544E-13  1.49932E-07  1.09066E-06
  9.750E-04  7.23943E-11  5.74369E-07  6.06377E-08  4.16540E-12  4.39821E-13  1.49873E-07  1.09045E-06
  1.000E-03  7.61544E-11  5.74366E-07  6.06376E-08  4.27218E-12  4.51098E-13  1.49811E-07  1.09023E-06
  1.250E-03  1.18991E-10  5.74325E-07  6.06373E-08  5.33984E-12  5.63869E-13  1.49114E-07  1.08774E-06
  1.500E-03  1.71347E-10  5.74275E-07  6.06368E-08  6.40725E-12  6.76638E-13  1.48263E-07  1.08469E-06
  1.750E-03  2.33223E-10  5.74216E-07  6.06363E-08  7.47436E-12  7.89404E-13  1.47261E-07  1.08110E-06
  2.000E-03  3.04617E-10  5.74148E-07  6.06357E-08  8.54111E-12  9.02167E-13  1.46109E-07  1.07697E-06
  2.250E-03  3.85531E-10  5.74071E-07  6.06350E-08  9.60747E-12  1.01493E-12  1.44808E-07  1.07230E-06
  2.500E-03  4.75965E-10  5.73985E-07  6.06342E-08  1.06734E-11  1.12768E-12  1.43361E-07  1.06710E-06
  2.750E-03  5.75917E-10  5.73890E-07  6.06334E-08  1.17388E-11  1.24043E-12  1.41770E-07  1.06136E-06
  3.000E-03  6.85389E-10  5.73786E-07  6.06324E-08  1.28036E-11  1.35318E-12  1.40037E-07  1.05511E-06
  3.250E-03  8.04380E-10  5.73673E-07  6.06314E-08  1.38678E-11  1.46592E-12  1.38164E-07  1.04833E-06
  3.500E-03  9.32891E-10  5.73551E-07  6.06303E-08  1.49314E-11  1.57865E-12  1.36155E-07  1.04105E-06
  3.750E-03  1.07092E-09  5.73420E-07  6.06291E-08  1.59943E-11  1.69138E-12  1.34012E-07  1.03326E-06
  4.000E-03  1.21847E-09  5.73280E-07  6.06279E-08  1.70564E-11  1.80410E-12  1.31739E-07  1.02497E-06
  4.250E-03  1.37554E-09  5.73131E-07  6.06265E-08  1.81177E-11  1.91682E-12  1.29340E-07  1.01620E-06
  4.500E-03  1.54213E-09  5.72973E-07  6.06251E-08  1.91782E-11  2.02952E-12  1.26816E-07  1.00695E-06
  4.750E-03  1.71823E-09  5.72806E-07  6.06236E-08  2.02378E-11  2.14222E-12  1.24174E-07  9.97227E-07
  5.000E-03  1.90386E-09  5.72631E-07  6.06220E-08  2.12964E-11  2.25491E-12  1.21415E-07  9.87044E-07
  5.250E-03  2.09900E-09  5.72446E-07  6.06204E-08  2.23540E-11  2.36759E-12  1.18545E-07  9.76409E-07
  5.500E-03  2.30367E-09  5.72253E-07  6.06186E-08  2.34106E-11  2.48026E-12  1.15568E-07  9.65334E-07
  5.750E-03  2.51785E-09  5.72051E-07  6.06168E-08  2.44661E-11  2.59292E-12  1.12488E-07  9.53829E-07
  6.000E-03  2.74156E-09  5.71841E-07  6.06149E-08  2.55205E-11  2.70557E-12  1.09310E-07  9.41905E-07
  6.250E-03  2.97478E-09  5.71621E-07  6.06129E-08  2.65736E-11  2.81821E-12  1.06038E-07  9.29574E-07
  6.500E-03  3.21752E-09  5.71393E-07  6.06108E-08  2.76256E-11  2.93084E-12  1.02677E-07  9.16846E-07
  6.750E-03  3.46978E-09  5.71157E-07  6.06087E-08  2.86762E-11  3.04346E-12  9.92327E-08  9.03736E-07
