 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =  79,   projectile: electron
 #  Kinetic energy = 6.10000E+06 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)        ERRF         ERRG 
 #-----------------------------------------------------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.29820E-06  2.06201E-07  0.00000E+00  0.00000E+00  9.78076E-10  0.00000E+00
  1.000E-04  7.61557E-13  1.29819E-06  2.06201E-07  1.04533E-12  1.66042E-13  9.77767E-10  2.58770E-07
  1.250E-04  1.18994E-12  1.29819E-06  2.06201E-07  1.30666E-12  2.07553E-13  9.77593E-10  2.58747E-07
  1.500E-04  1.71346E-12  1.29819E-06  2.06200E-07  1.56798E-12  2.49063E-13  9.77380E-10  2.58719E-07
  1.750E-04  2.33225E-12  1.29819E-06  2.06200E-07  1.82931E-12  2.90574E-13  9.77129E-10  2.58686E-07
  2.000E-04  3.04617E-12  1.29818E-06  2.06200E-07  2.09063E-12  3.32084E-13  9.76839E-10  2.58648E-07
  2.250E-04  3.85530E-12  1.29818E-06  2.06200E-07  2.35195E-12  3.73595E-13  9.76511E-10  2.58605E-07
  2.500E-04  4.75964E-12  1.29817E-06  2.06200E-07  2.61327E-12  4.15105E-13  9.76144E-10  2.58557E-07
  2.750E-04  5.75917E-12  1.29817E-06  2.06200E-07  2.87458E-12  4.56615E-13  9.75738E-10  2.58504E-07
  3.000E-04  6.85391E-12  1.29816E-06  2.06200E-07  3.13590E-12  4.98126E-13  9.75294E-10  2.58446E-07
  3.250E-04  8.04379E-12  1.29815E-06  2.06200E-07  3.39720E-12  5.39636E-13  9.74811E-10  2.58383E-07
  3.500E-04  9.32893E-12  1.29814E-06  2.06200E-07  3.65850E-12  5.81146E-13  9.74290E-10  2.58314E-07
  3.750E-04  1.07092E-11  1.29814E-06  2.06200E-07  3.91980E-12  6.22656E-13  9.73731E-10  2.58241E-07
  4.000E-04  1.21847E-11  1.29813E-06  2.06200E-07  4.18109E-12  6.64166E-13  9.73132E-10  2.58163E-07
  4.250E-04  1.37554E-11  1.29812E-06  2.06199E-07  4.44238E-12  7.05676E-13  9.72496E-10  2.58079E-07
  4.500E-04  1.54213E-11  1.29811E-06  2.06199E-07  4.70366E-12  7.47186E-13  9.71821E-10  2.57991E-07
  4.750E-04  1.71823E-11  1.29810E-06  2.06199E-07  4.96494E-12  7.88695E-13  9.71108E-10  2.57898E-07
  5.000E-04  1.90386E-11  1.29809E-06  2.06199E-07  5.22621E-12  8.30205E-13  9.70357E-10  2.57799E-07
  5.250E-04  2.09900E-11  1.29808E-06  2.06199E-07  5.48747E-12  8.71714E-13  9.69567E-10  2.57696E-07
