 #
 # Projectile: electron
 # Kinetic energy = 6.10000E+06 eV = 2.24171E+05 a.u.
 #
 # Element: Au,  Z =  79,  atomic weight = 1.96967E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #
 # Number of electrons = 79
 #
 # Electron density: Read from file z_079.den   
 #                   Number of data points =  777
 #                   Volume integral = 7.90000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 7.75060E-18 cm**2 = 2.76779E-01 a0**2
 # 1st transport cross section = 2.45842E-22 cm**2 = 8.77916E-06 a0**2
 # 2nd transport cross section = 6.64248E-22 cm**2 = 2.37207E-05 a0**2
 #
 #
 # Differential cross section:                    
 #
 #  THETA        MU          DCS          DCS     
 #  (deg)                 (cm**2/sr)   (a0**2/sr) 
 #------------------------------------------------
  0.000E+00  0.00000E+00  1.72784E-12  6.17023E+04
  1.000E-04  7.61557E-13  1.72783E-12  6.17019E+04
  1.250E-04  1.18994E-12  1.72782E-12  6.17016E+04
  1.500E-04  1.71346E-12  1.72781E-12  6.17013E+04
  1.750E-04  2.33225E-12  1.72780E-12  6.17010E+04
  2.000E-04  3.04617E-12  1.72779E-12  6.17006E+04
  2.250E-04  3.85530E-12  1.72778E-12  6.17002E+04
  2.500E-04  4.75964E-12  1.72777E-12  6.16997E+04
  2.750E-04  5.75917E-12  1.72775E-12  6.16991E+04
  3.000E-04  6.85391E-12  1.72774E-12  6.16985E+04
  3.250E-04  8.04379E-12  1.72772E-12  6.16979E+04
  3.500E-04  9.32893E-12  1.72770E-12  6.16972E+04
  3.750E-04  1.07092E-11  1.72768E-12  6.16965E+04
  4.000E-04  1.21847E-11  1.72765E-12  6.16957E+04
  4.250E-04  1.37554E-11  1.72763E-12  6.16948E+04
  4.500E-04  1.54213E-11  1.72761E-12  6.16939E+04
  4.750E-04  1.71823E-11  1.72758E-12  6.16929E+04
  5.000E-04  1.90386E-11  1.72755E-12  6.16919E+04
  5.250E-04  2.09900E-11  1.72752E-12  6.16909E+04
  5.500E-04  2.30367E-11  1.72749E-12  6.16898E+04
  5.750E-04  2.51785E-11  1.72746E-12  6.16886E+04
  6.000E-04  2.74156E-11  1.72742E-12  6.16874E+04
  6.250E-04  2.97478E-11  1.72739E-12  6.16861E+04
  6.500E-04  3.21752E-11  1.72735E-12  6.16848E+04
  6.750E-04  3.46979E-11  1.72731E-12  6.16834E+04
  7.000E-04  3.73157E-11  1.72727E-12  6.16820E+04
  7.250E-04  4.00286E-11  1.72723E-12  6.16805E+04
  7.500E-04  4.28368E-11  1.72719E-12  6.16790E+04
  7.750E-04  4.57402E-11  1.72714E-12  6.16774E+04
  8.000E-04  4.87388E-11  1.72710E-12  6.16758E+04
  8.250E-04  5.18325E-11  1.72705E-12  6.16741E+04
  8.500E-04  5.50215E-11  1.72700E-12  6.16724E+04
  8.750E-04  5.83057E-11  1.72695E-12  6.16706E+04
  9.000E-04  6.16850E-11  1.72690E-12  6.16688E+04
  9.250E-04  6.51595E-11  1.72685E-12  6.16669E+04
  9.500E-04  6.87293E-11  1.72679E-12  6.16650E+04
  9.750E-04  7.23943E-11  1.72674E-12  6.16630E+04
  1.000E-03  7.61544E-11  1.72668E-12  6.16609E+04
  1.250E-03  1.18991E-10  1.72603E-12  6.16377E+04
  1.500E-03  1.71347E-10  1.72524E-12  6.16093E+04
  1.750E-03  2.33223E-10  1.72430E-12  6.15758E+04
