 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =  47,   projectile: electron
 #  Kinetic energy = 3.05000E+06 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)        ERRF         ERRG 
 #-----------------------------------------------------------------------------------------------------------------
  0.000E+00  0.00000E+00  5.91051E-07  6.23530E-08  0.00000E+00  0.00000E+00  5.52260E-09  0.00000E+00
  1.000E-04  7.61557E-13  5.91050E-07  6.23530E-08  4.41779E-13  4.66112E-14  5.52190E-09  3.37338E-08
  1.250E-04  1.18994E-12  5.91049E-07  6.23530E-08  5.52223E-13  5.82640E-14  5.52150E-09  3.37326E-08
  1.500E-04  1.71346E-12  5.91049E-07  6.23530E-08  6.62667E-13  6.99168E-14  5.52102E-09  3.37312E-08
  1.750E-04  2.33225E-12  5.91048E-07  6.23530E-08  7.73110E-13  8.15696E-14  5.52045E-09  3.37294E-08
  2.000E-04  3.04617E-12  5.91047E-07  6.23530E-08  8.83554E-13  9.32224E-14  5.51979E-09  3.37274E-08
  2.250E-04  3.85530E-12  5.91047E-07  6.23530E-08  9.93996E-13  1.04875E-13  5.51904E-09  3.37252E-08
  2.500E-04  4.75964E-12  5.91046E-07  6.23530E-08  1.10444E-12  1.16528E-13  5.51821E-09  3.37227E-08
  2.750E-04  5.75917E-12  5.91045E-07  6.23530E-08  1.21488E-12  1.28181E-13  5.51729E-09  3.37199E-08
  3.000E-04  6.85391E-12  5.91043E-07  6.23530E-08  1.32532E-12  1.39833E-13  5.51628E-09  3.37168E-08
  3.250E-04  8.04379E-12  5.91042E-07  6.23530E-08  1.43576E-12  1.51486E-13  5.51519E-09  3.37135E-08
  3.500E-04  9.32893E-12  5.91041E-07  6.23530E-08  1.54620E-12  1.63139E-13  5.51400E-09  3.37099E-08
  3.750E-04  1.07092E-11  5.91039E-07  6.23529E-08  1.65664E-12  1.74792E-13  5.51273E-09  3.37061E-08
  4.000E-04  1.21847E-11  5.91038E-07  6.23529E-08  1.76708E-12  1.86444E-13  5.51137E-09  3.37020E-08
  4.250E-04  1.37554E-11  5.91036E-07  6.23529E-08  1.87752E-12  1.98097E-13  5.50992E-09  3.36976E-08
  4.500E-04  1.54213E-11  5.91034E-07  6.23529E-08  1.98795E-12  2.09750E-13  5.50839E-09  3.36930E-08
  4.750E-04  1.71823E-11  5.91033E-07  6.23529E-08  2.09839E-12  2.21403E-13  5.50677E-09  3.36881E-08
  5.000E-04  1.90386E-11  5.91031E-07  6.23529E-08  2.20882E-12  2.33055E-13  5.50506E-09  3.36829E-08
  5.250E-04  2.09900E-11  5.91029E-07  6.23529E-08  2.31925E-12  2.44708E-13  5.50326E-09  3.36775E-08
  5.500E-04  2.30367E-11  5.91027E-07  6.23528E-08  2.42969E-12  2.56361E-13  5.50138E-09  3.36718E-08
  5.750E-04  2.51785E-11  5.91024E-07  6.23528E-08  2.54012E-12  2.68013E-13  5.49941E-09  3.36658E-08
  6.000E-04  2.74156E-11  5.91022E-07  6.23528E-08  2.65055E-12  2.79666E-13  5.49735E-09  3.36596E-08
  6.250E-04  2.97478E-11  5.91020E-07  6.23528E-08  2.76098E-12  2.91319E-13  5.49520E-09  3.36531E-08
  6.500E-04  3.21752E-11  5.91017E-07  6.23527E-08  2.87140E-12  3.02971E-13  5.49297E-09  3.36463E-08
  6.750E-04  3.46979E-11  5.91014E-07  6.23527E-08  2.98183E-12  3.14624E-13  5.49065E-09  3.36393E-08
  7.000E-04  3.73157E-11  5.91012E-07  6.23527E-08  3.09225E-12  3.26277E-13  5.48825E-09  3.36320E-08
  7.250E-04  4.00286E-11  5.91009E-07  6.23527E-08  3.20267E-12  3.37929E-13  5.48575E-09  3.36245E-08
  7.500E-04  4.28368E-11  5.91006E-07  6.23526E-08  3.31309E-12  3.49582E-13  5.48317E-09  3.36167E-08
  7.750E-04  4.57402E-11  5.91003E-07  6.23526E-08  3.42351E-12  3.61234E-13  5.48050E-09  3.36086E-08
  8.000E-04  4.87388E-11  5.91000E-07  6.23526E-08  3.53393E-12  3.72887E-13  5.47775E-09  3.36003E-08
  8.250E-04  5.18325E-11  5.90997E-07  6.23526E-08  3.64435E-12  3.84539E-13  5.47491E-09  3.35917E-08
  8.500E-04  5.50215E-11  5.90993E-07  6.23525E-08  3.75476E-12  3.96192E-13  5.47198E-09  3.35828E-08
  8.750E-04  5.83057E-11  5.90990E-07  6.23525E-08  3.86517E-12  4.07844E-13  5.46897E-09  3.35737E-08
  9.000E-04  6.16850E-11  5.90986E-07  6.23525E-08  3.97558E-12  4.19497E-13  5.46587E-09  3.35643E-08
  9.250E-04  6.51595E-11  5.90983E-07  6.23524E-08  4.08599E-12  4.31149E-13  5.46268E-09  3.35547E-08
  9.500E-04  6.87293E-11  5.90979E-07  6.23524E-08  4.19639E-12  4.42802E-13  5.45941E-09  3.35448E-08
  9.750E-04  7.23943E-11  5.90975E-07  6.23524E-08  4.30680E-12  4.54454E-13  5.45605E-09  3.35346E-08
  1.000E-03  7.61544E-11  5.90971E-07  6.23523E-08  4.41720E-12  4.66107E-13  5.45260E-09  3.35241E-08
  1.250E-03  1.18991E-10  5.90927E-07  6.23519E-08  5.52108E-12  5.82630E-13  5.41342E-09  3.34054E-08
  1.500E-03  1.71347E-10  5.90872E-07  6.23515E-08  6.62469E-12  6.99150E-13  5.36571E-09  3.32606E-08
  1.750E-03  2.33223E-10  5.90808E-07  6.23509E-08  7.72796E-12  8.15668E-13  5.30960E-09  3.30901E-08
  2.000E-03  3.04617E-10  5.90734E-07  6.23502E-08  8.83085E-12  9.32182E-13  5.24521E-09  3.28940E-08
  2.250E-03  3.85531E-10  5.90650E-07  6.23495E-08  9.93329E-12  1.04869E-12  5.17269E-09  3.26726E-08
  2.500E-03  4.75965E-10  5.90556E-07  6.23486E-08  1.10352E-11  1.16520E-12  5.09221E-09  3.24264E-08
  2.750E-03  5.75917E-10  5.90452E-07  6.23477E-08  1.21366E-11  1.28170E-12  5.00395E-09  3.21557E-08
  3.000E-03  6.85389E-10  5.90339E-07  6.23467E-08  1.32374E-11  1.39819E-12  4.90813E-09  3.18608E-08
  3.250E-03  8.04380E-10  5.90215E-07  6.23456E-08  1.43375E-11  1.51468E-12  4.80496E-09  3.15423E-08
  3.500E-03  9.32891E-10  5.90082E-07  6.23444E-08  1.54369E-11  1.63116E-12  4.69468E-09  3.12006E-08
  3.750E-03  1.07092E-09  5.89939E-07  6.23431E-08  1.65356E-11  1.74764E-12  4.57756E-09  3.08363E-08
  4.000E-03  1.21847E-09  5.89787E-07  6.23417E-08  1.76334E-11  1.86411E-12  4.45385E-09  3.04499E-08
  4.250E-03  1.37554E-09  5.89624E-07  6.23403E-08  1.87303E-11  1.98057E-12  4.32386E-09  3.00419E-08
  4.500E-03  1.54213E-09  5.89452E-07  6.23387E-08  1.98263E-11  2.09702E-12  4.18787E-09  2.96131E-08
  4.750E-03  1.71823E-09  5.89271E-07  6.23371E-08  2.09213E-11  2.21346E-12  4.04620E-09  2.91640E-08
  5.000E-03  1.90386E-09  5.89079E-07  6.23353E-08  2.20153E-11  2.32990E-12  3.89917E-09  2.86954E-08
  5.250E-03  2.09900E-09  5.88878E-07  6.23335E-08  2.31082E-11  2.44632E-12  3.74714E-09  2.82079E-08
  5.500E-03  2.30367E-09  5.88668E-07  6.23316E-08  2.41999E-11  2.56274E-12  3.59043E-09  2.77023E-08
  5.750E-03  2.51785E-09  5.88448E-07  6.23296E-08  2.52904E-11  2.67914E-12  3.42943E-09  2.71792E-08
  6.000E-03  2.74156E-09  5.88218E-07  6.23276E-08  2.63797E-11  2.79553E-12  3.26448E-09  2.66396E-08
  6.250E-03  2.97478E-09  5.87979E-07  6.23254E-08  2.74677E-11  2.91191E-12  3.09598E-09  2.60842E-08
  6.500E-03  3.21752E-09  5.87730E-07  6.23231E-08  2.85543E-11  3.02827E-12  2.92429E-09  2.55138E-08
  6.750E-03  3.46978E-09  5.87472E-07  6.23208E-08  2.96396E-11  3.14463E-12  2.74983E-09  2.49293E-08
  7.000E-03  3.73156E-09  5.87205E-07  6.23184E-08  3.07234E-11  3.26097E-12  2.57297E-09  2.43315E-08
  7.250E-03  4.00286E-09  5.86928E-07  6.23158E-08  3.18056E-11  3.37730E-12  2.39412E-09  2.37213E-08
  7.500E-03  4.28368E-09  5.86642E-07  6.23132E-08  3.28863E-11  3.49361E-12  2.21369E-09  2.30997E-08
  7.750E-03  4.57402E-09  5.86347E-07  6.23105E-08  3.39654E-11  3.60991E-12  2.03207E-09  2.24674E-08
  8.000E-03  4.87388E-09  5.86043E-07  6.23078E-08  3.50429E-11  3.72619E-12  1.84969E-09  2.18254E-08
  8.250E-03  5.18326E-09  5.85729E-07  6.23049E-08  3.61186E-11  3.84245E-12  1.66693E-09  2.11747E-08
  8.500E-03  5.50215E-09  5.85406E-07  6.23019E-08  3.71926E-11  3.95870E-12  1.48422E-09  2.05161E-08
  8.750E-03  5.83057E-09  5.85074E-07  6.22989E-08  3.82648E-11  4.07494E-12  1.30196E-09  1.98507E-08
  9.000E-03  6.16850E-09  5.84733E-07  6.22957E-08  3.93352E-11  4.19115E-12  1.12055E-09  1.91793E-08
  9.250E-03  6.51596E-09  5.84383E-07  6.22925E-08  4.04037E-11  4.30735E-12  9.40379E-10  1.85030E-08
  9.500E-03  6.87293E-09  5.84025E-07  6.22892E-08  4.14702E-11  4.42353E-12  7.61856E-10  1.78226E-08
  9.750E-03  7.23942E-09  5.83657E-07  6.22858E-08  4.25347E-11  4.53969E-12  5.85363E-10  1.71391E-08
  1.000E-02  7.61544E-09  5.83280E-07  6.22823E-08  4.35972E-11  4.65583E-12  4.11282E-10  1.64534E-08
  1.250E-02  1.18991E-08  5.79041E-07  6.22427E-08  5.41004E-11  5.81609E-12  1.11944E-09  9.68183E-09
  1.500E-02  1.71347E-08  5.73982E-07  6.21944E-08  6.43533E-11  6.97389E-12  2.07142E-09  3.65792E-09
  1.750E-02  2.33223E-08  5.68170E-07  6.21374E-08  7.43187E-11  8.12876E-12  2.29197E-09  9.44929E-10
  2.000E-02  3.04617E-08  5.61679E-07  6.20720E-08  8.39652E-11  9.28022E-12  1.81554E-09  3.75641E-09
  2.250E-02  3.85531E-08  5.54584E-07  6.19981E-08  9.32677E-11  1.04278E-11  8.47882E-10  4.74982E-09
  2.500E-02  4.75965E-08  5.46964E-07  6.19159E-08  1.02207E-10  1.15711E-11  2.93643E-10  4.21383E-09
