 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =  79,   projectile: electron
 #  Kinetic energy = 8.05000E+06 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)        ERRF         ERRG 
 #-----------------------------------------------------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.68127E-06  2.66713E-07  0.00000E+00  0.00000E+00  9.39887E-09  0.00000E+00
  1.000E-04  7.61557E-13  1.68126E-06  2.66713E-07  1.37959E-12  2.18864E-13  9.39446E-09  1.01607E-07
  1.250E-04  1.18994E-12  1.68125E-06  2.66713E-07  1.72449E-12  2.73580E-13  9.39198E-09  1.01594E-07
  1.500E-04  1.71346E-12  1.68125E-06  2.66713E-07  2.06938E-12  3.28296E-13  9.38895E-09  1.01578E-07
  1.750E-04  2.33225E-12  1.68124E-06  2.66713E-07  2.41426E-12  3.83012E-13  9.38537E-09  1.01559E-07
  2.000E-04  3.04617E-12  1.68123E-06  2.66713E-07  2.75914E-12  4.37727E-13  9.38125E-09  1.01537E-07
  2.250E-04  3.85530E-12  1.68122E-06  2.66713E-07  3.10401E-12  4.92443E-13  9.37657E-09  1.01512E-07
  2.500E-04  4.75964E-12  1.68121E-06  2.66712E-07  3.44888E-12  5.47158E-13  9.37134E-09  1.01484E-07
  2.750E-04  5.75917E-12  1.68120E-06  2.66712E-07  3.79374E-12  6.01874E-13  9.36557E-09  1.01453E-07
  3.000E-04  6.85391E-12  1.68118E-06  2.66712E-07  4.13859E-12  6.56589E-13  9.35924E-09  1.01419E-07
  3.250E-04  8.04379E-12  1.68117E-06  2.66712E-07  4.48343E-12  7.11304E-13  9.35237E-09  1.01382E-07
  3.500E-04  9.32893E-12  1.68115E-06  2.66712E-07  4.82827E-12  7.66019E-13  9.34495E-09  1.01343E-07
  3.750E-04  1.07092E-11  1.68113E-06  2.66711E-07  5.17309E-12  8.20734E-13  9.33699E-09  1.01300E-07
  4.000E-04  1.21847E-11  1.68111E-06  2.66711E-07  5.51790E-12  8.75449E-13  9.32848E-09  1.01255E-07
  4.250E-04  1.37554E-11  1.68109E-06  2.66711E-07  5.86270E-12  9.30163E-13  9.31942E-09  1.01206E-07
  4.500E-04  1.54213E-11  1.68107E-06  2.66710E-07  6.20749E-12  9.84878E-13  9.30982E-09  1.01155E-07
  4.750E-04  1.71823E-11  1.68105E-06  2.66710E-07  6.55226E-12  1.03959E-12  9.29968E-09  1.01100E-07
  5.000E-04  1.90386E-11  1.68103E-06  2.66710E-07  6.89702E-12  1.09431E-12  9.28899E-09  1.01043E-07
  5.250E-04  2.09900E-11  1.68100E-06  2.66709E-07  7.24176E-12  1.14902E-12  9.27777E-09  1.00983E-07
  5.500E-04  2.30367E-11  1.68098E-06  2.66709E-07  7.58649E-12  1.20373E-12  9.26600E-09  1.00920E-07
  5.750E-04  2.51785E-11  1.68095E-06  2.66708E-07  7.93120E-12  1.25845E-12  9.25370E-09  1.00854E-07
  6.000E-04  2.74156E-11  1.68092E-06  2.66708E-07  8.27590E-12  1.31316E-12  9.24085E-09  1.00785E-07
  6.250E-04  2.97478E-11  1.68089E-06  2.66708E-07  8.62057E-12  1.36787E-12  9.22747E-09  1.00714E-07
  6.500E-04  3.21752E-11  1.68086E-06  2.66707E-07  8.96523E-12  1.42258E-12  9.21355E-09  1.00639E-07
  6.750E-04  3.46979E-11  1.68083E-06  2.66707E-07  9.30987E-12  1.47730E-12  9.19910E-09  1.00562E-07
  7.000E-04  3.73157E-11  1.68079E-06  2.66706E-07  9.65449E-12  1.53201E-12  9.18411E-09  1.00481E-07
  7.250E-04  4.00286E-11  1.68076E-06  2.66706E-07  9.99909E-12  1.58672E-12  9.16859E-09  1.00398E-07
  7.500E-04  4.28368E-11  1.68072E-06  2.66705E-07  1.03437E-11  1.64143E-12  9.15254E-09  1.00312E-07
  7.750E-04  4.57402E-11  1.68069E-06  2.66704E-07  1.06882E-11  1.69614E-12  9.13596E-09  1.00223E-07
  8.000E-04  4.87388E-11  1.68065E-06  2.66704E-07  1.10328E-11  1.75085E-12  9.11885E-09  1.00131E-07
  8.250E-04  5.18325E-11  1.68061E-06  2.66703E-07  1.13773E-11  1.80556E-12  9.10121E-09  1.00037E-07
  8.500E-04  5.50215E-11  1.68057E-06  2.66703E-07  1.17217E-11  1.86027E-12  9.08305E-09  9.99390E-08
  8.750E-04  5.83057E-11  1.68053E-06  2.66702E-07  1.20662E-11  1.91498E-12  9.06436E-09  9.98386E-08
  9.000E-04  6.16850E-11  1.68048E-06  2.66701E-07  1.24106E-11  1.96969E-12  9.04515E-09  9.97353E-08
  9.250E-04  6.51595E-11  1.68044E-06  2.66701E-07  1.27550E-11  2.02440E-12  9.02543E-09  9.96292E-08
  9.500E-04  6.87293E-11  1.68040E-06  2.66700E-07  1.30994E-11  2.07910E-12  9.00518E-09  9.95203E-08
  9.750E-04  7.23943E-11  1.68035E-06  2.66699E-07  1.34438E-11  2.13381E-12  8.98441E-09  9.94086E-08
  1.000E-03  7.61544E-11  1.68030E-06  2.66698E-07  1.37881E-11  2.18852E-12  8.96313E-09  9.92941E-08
  1.250E-03  1.18991E-10  1.67976E-06  2.66690E-07  1.72295E-11  2.73556E-12  8.72241E-09  9.79951E-08
  1.500E-03  1.71347E-10  1.67909E-06  2.66680E-07  2.06673E-11  3.28255E-12  8.43241E-09  9.64224E-08
  1.750E-03  2.33223E-10  1.67831E-06  2.66668E-07  2.41005E-11  3.82947E-12  8.09563E-09  9.45848E-08
  2.000E-03  3.04617E-10  1.67741E-06  2.66654E-07  2.75287E-11  4.37631E-12  7.71493E-09  9.24926E-08
  2.250E-03  3.85531E-10  1.67638E-06  2.66638E-07  3.09509E-11  4.92305E-12  7.29355E-09  9.01574E-08
  2.500E-03  4.75965E-10  1.67524E-06  2.66620E-07  3.43665E-11  5.46970E-12  6.83507E-09  8.75922E-08
  2.750E-03  5.75917E-10  1.67398E-06  2.66601E-07  3.77747E-11  6.01623E-12  6.34338E-09  8.48112E-08
  3.000E-03  6.85389E-10  1.67261E-06  2.66580E-07  4.11749E-11  6.56263E-12  5.82263E-09  8.18298E-08
  3.250E-03  8.04380E-10  1.67112E-06  2.66556E-07  4.45664E-11  7.10890E-12  5.27721E-09  7.86641E-08
  3.500E-03  9.32891E-10  1.66951E-06  2.66531E-07  4.79485E-11  7.65502E-12  4.71169E-09  7.53315E-08
  3.750E-03  1.07092E-09  1.66779E-06  2.66505E-07  5.13204E-11  8.20098E-12  4.13080E-09  7.18501E-08
  4.000E-03  1.21847E-09  1.66596E-06  2.66476E-07  5.46816E-11  8.74677E-12  3.53939E-09  6.82386E-08
  4.250E-03  1.37554E-09  1.66401E-06  2.66445E-07  5.80313E-11  9.29237E-12  2.94232E-09  6.45162E-08
  4.500E-03  1.54213E-09  1.66195E-06  2.66413E-07  6.13689E-11  9.83779E-12  2.34453E-09  6.07026E-08
  4.750E-03  1.71823E-09  1.65978E-06  2.66379E-07  6.46937E-11  1.03830E-11  1.75089E-09  5.68179E-08
  5.000E-03  1.90386E-09  1.65750E-06  2.66342E-07  6.80052E-11  1.09280E-11  1.16620E-09  5.28821E-08
  5.250E-03  2.09900E-09  1.65512E-06  2.66305E-07  7.13028E-11  1.14728E-11  5.95155E-10  4.89155E-08
  5.500E-03  2.30367E-09  1.65263E-06  2.66265E-07  7.45857E-11  1.20173E-11  4.22868E-11  4.49381E-08
  5.750E-03  2.51785E-09  1.65003E-06  2.66223E-07  7.78534E-11  1.25616E-11  4.88079E-10  4.09698E-08
  6.000E-03  2.74156E-09  1.64733E-06  2.66180E-07  8.11054E-11  1.31056E-11  9.91856E-10  3.70300E-08
  6.250E-03  2.97478E-09  1.64452E-06  2.66135E-07  8.43410E-11  1.36493E-11  1.46523E-09  3.31377E-08
  6.500E-03  3.21752E-09  1.64162E-06  2.66088E-07  8.75597E-11  1.41928E-11  1.90471E-09  2.93113E-08
  6.750E-03  3.46978E-09  1.63862E-06  2.66039E-07  9.07611E-11  1.47360E-11  2.30714E-09  2.55684E-08
  7.000E-03  3.73156E-09  1.63551E-06  2.65988E-07  9.39444E-11  1.52788E-11  2.66972E-09  2.19260E-08
  7.250E-03  4.00286E-09  1.63232E-06  2.65936E-07  9.71093E-11  1.58214E-11  2.99008E-09  1.83998E-08
  7.500E-03  4.28368E-09  1.62902E-06  2.65881E-07  1.00255E-10  1.63636E-11  3.26624E-09  1.50047E-08
  7.750E-03  4.57402E-09  1.62564E-06  2.65825E-07  1.03382E-10  1.69055E-11  3.49664E-09  1.17545E-08
  8.000E-03  4.87388E-09  1.62216E-06  2.65767E-07  1.06488E-10  1.74470E-11  3.68019E-09  8.66178E-09
  8.250E-03  5.18326E-09  1.61859E-06  2.65708E-07  1.09575E-10  1.79882E-11  3.81624E-09  5.73780E-09
  8.500E-03  5.50215E-09  1.61494E-06  2.65646E-07  1.12640E-10  1.85290E-11  3.90460E-09  2.99254E-09
  8.750E-03  5.83057E-09  1.61120E-06  2.65583E-07  1.15685E-10  1.90695E-11  3.94552E-09  4.34627E-10
  9.000E-03  6.16850E-09  1.60737E-06  2.65518E-07  1.18707E-10  1.96095E-11  3.93970E-09  1.92874E-09
  9.250E-03  6.51596E-09  1.60346E-06  2.65451E-07  1.21708E-10  2.01491E-11  3.88830E-09  4.09178E-09
  9.500E-03  6.87293E-09  1.59947E-06  2.65383E-07  1.24687E-10  2.06884E-11  3.79288E-09  6.05016E-09
  9.750E-03  7.23942E-09  1.59540E-06  2.65312E-07  1.27643E-10  2.12272E-11  3.65543E-09  7.80103E-09
  1.000E-02  7.61544E-09  1.59126E-06  2.65240E-07  1.30575E-10  2.17655E-11  3.47829E-09  9.34295E-09
  1.250E-02  1.18991E-08  1.54597E-06  2.64424E-07  1.58574E-10  2.71232E-11  2.58008E-10  1.39321E-08
  1.500E-02  1.71347E-08  1.49501E-06  2.63438E-07  1.84016E-10  3.24264E-11  2.79684E-09  5.01240E-09
  1.750E-02  2.33223E-08  1.44015E-06  2.62288E-07  2.06807E-10  3.76658E-11  2.70632E-09  5.11039E-09
  2.000E-02  3.04617E-08  1.38298E-06  2.60983E-07  2.26968E-10  4.28323E-11  1.84889E-10  7.59193E-09
  2.250E-02  3.85531E-08  1.32481E-06  2.59529E-07  2.44600E-10  4.79180E-11  2.75626E-09  2.40733E-09
  2.500E-02  4.75965E-08  1.26671E-06  2.57936E-07  2.59859E-10  5.29155E-11  2.34271E-09  3.90778E-09
  2.750E-02  5.75917E-08  1.20947E-06  2.56213E-07  2.72928E-10  5.78182E-11  5.63793E-10  5.24691E-09
  3.000E-02  6.85389E-08  1.15366E-06  2.54368E-07  2.84002E-10  6.26202E-11  2.86263E-09  1.23570E-09
  3.250E-02  8.04380E-08  1.09969E-06  2.52412E-07  2.93273E-10  6.73168E-11  2.09527E-09  3.40652E-09
  3.500E-02  9.32891E-08  1.04778E-06  2.50352E-07  3.00926E-10  7.19034E-11  9.50150E-10  4.04381E-09
  3.750E-02  1.07092E-07  9.98100E-07  2.48199E-07  3.07132E-10  7.63768E-11  3.02955E-09  5.34726E-10
  4.000E-02  1.21847E-07  9.50697E-07  2.45961E-07  3.12049E-10  8.07341E-11  1.86811E-09  3.15837E-09
  4.250E-02  1.37554E-07  9.05581E-07  2.43647E-07  3.15818E-10  8.49730E-11  1.36463E-09  3.29043E-09
  4.500E-02  1.54213E-07  8.62720E-07  2.41266E-07  3.18568E-10  8.90921E-11  3.21579E-09  3.38691E-11
  4.750E-02  1.71823E-07  8.22054E-07  2.38825E-07  3.20416E-10  9.30903E-11  1.61802E-09  3.02024E-09
  5.000E-02  1.90386E-07  7.83507E-07  2.36333E-07  3.21465E-10  9.69673E-11  1.81232E-09  2.74631E-09
  5.250E-02  2.09900E-07  7.46994E-07  2.33796E-07  3.21808E-10  1.00723E-10  3.39524E-09  3.66437E-10
  5.500E-02  2.30367E-07  7.12421E-07  2.31222E-07  3.21529E-10  1.04357E-10  1.32150E-09  2.93213E-09
  5.750E-02  2.51785E-07  6.79696E-07  2.28617E-07  3.20703E-10  1.07872E-10  2.29120E-09  2.30853E-09
  6.000E-02  2.74156E-07  6.48724E-07  2.25987E-07  3.19397E-10  1.11267E-10  3.54754E-09  7.08879E-10
  6.250E-02  2.97478E-07  6.19412E-07  2.23338E-07  3.17673E-10  1.14544E-10  9.64474E-10  2.86370E-09
  6.500E-02  3.21752E-07  5.91670E-07  2.20674E-07  3.15583E-10  1.17706E-10  2.79464E-09  1.92676E-09
  6.750E-02  3.46978E-07  5.65413E-07  2.18002E-07  3.13177E-10  1.20753E-10  3.65480E-09  1.01308E-09
  7.000E-02  3.73156E-07  5.40556E-07  2.15325E-07  3.10499E-10  1.23687E-10  5.38670E-10  2.79731E-09
  7.250E-02  4.00286E-07  5.17021E-07  2.12648E-07  3.07586E-10  1.26512E-10  3.31244E-09  1.57431E-09
  7.500E-02  4.28368E-07  4.94732E-07  2.09974E-07  3.04476E-10  1.29229E-10  3.70065E-09  1.28788E-09
  7.750E-02  4.57402E-07  4.73619E-07  2.07307E-07  3.01198E-10  1.31840E-10  4.04274E-11  2.72175E-09
  8.000E-02  4.87388E-07  4.53612E-07  2.04649E-07  2.97780E-10  1.34349E-10  3.83146E-09  1.23664E-09
  8.250E-02  5.18325E-07  4.34649E-07  2.02005E-07  2.94248E-10  1.36757E-10  3.67023E-09  1.53658E-09
