 #
 # Projectile: electron
 # Kinetic energy = 4.90000E+06 eV = 1.80072E+05 a.u.
 #
 # Element: Au,  Z =  79,  atomic weight = 1.96967E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #
 # Number of electrons = 79
 #
 # Electron density: Read from file z_079.den   
 #                   Number of data points =  777
 #                   Volume integral = 7.90000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 7.77134E-18 cm**2 = 2.77520E-01 a0**2
 # 1st transport cross section = 3.59327E-22 cm**2 = 1.28318E-05 a0**2
 # 2nd transport cross section = 9.65279E-22 cm**2 = 3.44708E-05 a0**2
 #
 #
 # Differential cross section:                    
 #
 #  THETA        MU          DCS          DCS     
 #  (deg)                 (cm**2/sr)   (a0**2/sr) 
 #------------------------------------------------
  0.000E+00  0.00000E+00  1.15733E-12  4.13289E+04
  1.000E-04  7.61557E-13  1.15732E-12  4.13287E+04
  1.250E-04  1.18994E-12  1.15732E-12  4.13286E+04
  1.500E-04  1.71346E-12  1.15732E-12  4.13285E+04
  1.750E-04  2.33225E-12  1.15731E-12  4.13284E+04
  2.000E-04  3.04617E-12  1.15731E-12  4.13282E+04
  2.250E-04  3.85530E-12  1.15730E-12  4.13280E+04
  2.500E-04  4.75964E-12  1.15730E-12  4.13278E+04
  2.750E-04  5.75917E-12  1.15729E-12  4.13275E+04
  3.000E-04  6.85391E-12  1.15728E-12  4.13273E+04
  3.250E-04  8.04379E-12  1.15727E-12  4.13270E+04
  3.500E-04  9.32893E-12  1.15726E-12  4.13267E+04
  3.750E-04  1.07092E-11  1.15726E-12  4.13263E+04
  4.000E-04  1.21847E-11  1.15725E-12  4.13260E+04
  4.250E-04  1.37554E-11  1.15723E-12  4.13256E+04
  4.500E-04  1.54213E-11  1.15722E-12  4.13252E+04
  4.750E-04  1.71823E-11  1.15721E-12  4.13248E+04
  5.000E-04  1.90386E-11  1.15720E-12  4.13243E+04
  5.250E-04  2.09900E-11  1.15719E-12  4.13238E+04
  5.500E-04  2.30367E-11  1.15717E-12  4.13233E+04
  5.750E-04  2.51785E-11  1.15716E-12  4.13228E+04
  6.000E-04  2.74156E-11  1.15714E-12  4.13223E+04
  6.250E-04  2.97478E-11  1.15713E-12  4.13217E+04
  6.500E-04  3.21752E-11  1.15711E-12  4.13211E+04
  6.750E-04  3.46979E-11  1.15709E-12  4.13205E+04
  7.000E-04  3.73157E-11  1.15707E-12  4.13199E+04
  7.250E-04  4.00286E-11  1.15706E-12  4.13192E+04
  7.500E-04  4.28368E-11  1.15704E-12  4.13185E+04
  7.750E-04  4.57402E-11  1.15702E-12  4.13178E+04
  8.000E-04  4.87388E-11  1.15700E-12  4.13171E+04
  8.250E-04  5.18325E-11  1.15698E-12  4.13163E+04
  8.500E-04  5.50215E-11  1.15695E-12  4.13156E+04
  8.750E-04  5.83057E-11  1.15693E-12  4.13148E+04
  9.000E-04  6.16850E-11  1.15691E-12  4.13139E+04
  9.250E-04  6.51595E-11  1.15688E-12  4.13131E+04
  9.500E-04  6.87293E-11  1.15686E-12  4.13122E+04
  9.750E-04  7.23943E-11  1.15684E-12  4.13113E+04
  1.000E-03  7.61544E-11  1.15681E-12  4.13104E+04
  1.250E-03  1.18991E-10  1.15652E-12  4.13000E+04
  1.500E-03  1.71347E-10  1.15616E-12  4.12873E+04
  1.750E-03  2.33223E-10  1.15574E-12  4.12723E+04
  2.000E-03  3.04617E-10  1.15526E-12  4.12550E+04
  2.250E-03  3.85531E-10  1.15471E-12  4.12354E+04
  2.500E-03  4.75965E-10  1.15410E-12  4.12135E+04
  2.750E-03  5.75917E-10  1.15342E-12  4.11894E+04
  3.000E-03  6.85389E-10  1.15268E-12  4.11630E+04
  3.250E-03  8.04380E-10  1.15188E-12  4.11343E+04
  3.500E-03  9.32891E-10  1.15101E-12  4.11033E+04
  3.750E-03  1.07092E-09  1.15008E-12  4.10702E+04
  4.000E-03  1.21847E-09  1.14909E-12  4.10347E+04
  4.250E-03  1.37554E-09  1.14804E-12  4.09971E+04
  4.500E-03  1.54213E-09  1.14692E-12  4.09572E+04
  4.750E-03  1.71823E-09  1.14574E-12  4.09152E+04
  5.000E-03  1.90386E-09  1.14450E-12  4.08710E+04
  5.250E-03  2.09900E-09  1.14320E-12  4.08246E+04
  5.500E-03  2.30367E-09  1.14184E-12  4.07760E+04
  5.750E-03  2.51785E-09  1.14042E-12  4.07253E+04
  6.000E-03  2.74156E-09  1.13895E-12  4.06725E+04
  6.250E-03  2.97478E-09  1.13741E-12  4.06175E+04
  6.500E-03  3.21752E-09  1.13581E-12  4.05605E+04
  6.750E-03  3.46978E-09  1.13415E-12  4.05014E+04
  7.000E-03  3.73156E-09  1.13244E-12  4.04402E+04
