 #
 # Projectile: electron
 # Kinetic energy = 5.90000E+06 eV = 2.16821E+05 a.u.
 #
 # Element: Au,  Z =  79,  atomic weight = 1.96967E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #
 # Number of electrons = 79
 #
 # Electron density: Read from file z_079.den   
 #                   Number of data points =  777
 #                   Volume integral = 7.90000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 7.75327E-18 cm**2 = 2.76874E-01 a0**2
 # 1st transport cross section = 2.60578E-22 cm**2 = 9.30539E-06 a0**2
 # 2nd transport cross section = 7.03431E-22 cm**2 = 2.51200E-05 a0**2
 #
 #
 # Differential cross section:                    
 #
 #  THETA        MU          DCS          DCS     
 #  (deg)                 (cm**2/sr)   (a0**2/sr) 
 #------------------------------------------------
  0.000E+00  0.00000E+00  1.62485E-12  5.80243E+04
  1.000E-04  7.61557E-13  1.62484E-12  5.80239E+04
  1.250E-04  1.18994E-12  1.62483E-12  5.80237E+04
  1.500E-04  1.71346E-12  1.62482E-12  5.80235E+04
  1.750E-04  2.33225E-12  1.62481E-12  5.80232E+04
  2.000E-04  3.04617E-12  1.62481E-12  5.80228E+04
  2.250E-04  3.85530E-12  1.62479E-12  5.80225E+04
  2.500E-04  4.75964E-12  1.62478E-12  5.80220E+04
  2.750E-04  5.75917E-12  1.62477E-12  5.80215E+04
  3.000E-04  6.85391E-12  1.62475E-12  5.80210E+04
  3.250E-04  8.04379E-12  1.62474E-12  5.80204E+04
  3.500E-04  9.32893E-12  1.62472E-12  5.80198E+04
  3.750E-04  1.07092E-11  1.62470E-12  5.80192E+04
  4.000E-04  1.21847E-11  1.62468E-12  5.80185E+04
  4.250E-04  1.37554E-11  1.62466E-12  5.80177E+04
  4.500E-04  1.54213E-11  1.62464E-12  5.80169E+04
  4.750E-04  1.71823E-11  1.62461E-12  5.80161E+04
  5.000E-04  1.90386E-11  1.62459E-12  5.80152E+04
  5.250E-04  2.09900E-11  1.62456E-12  5.80142E+04
  5.500E-04  2.30367E-11  1.62454E-12  5.80132E+04
  5.750E-04  2.51785E-11  1.62451E-12  5.80122E+04
  6.000E-04  2.74156E-11  1.62448E-12  5.80111E+04
  6.250E-04  2.97478E-11  1.62445E-12  5.80100E+04
  6.500E-04  3.21752E-11  1.62441E-12  5.80089E+04
  6.750E-04  3.46979E-11  1.62438E-12  5.80076E+04
  7.000E-04  3.73157E-11  1.62434E-12  5.80064E+04
  7.250E-04  4.00286E-11  1.62431E-12  5.80051E+04
  7.500E-04  4.28368E-11  1.62427E-12  5.80037E+04
  7.750E-04  4.57402E-11  1.62423E-12  5.80023E+04
  8.000E-04  4.87388E-11  1.62419E-12  5.80009E+04
  8.250E-04  5.18325E-11  1.62415E-12  5.79994E+04
  8.500E-04  5.50215E-11  1.62411E-12  5.79979E+04
  8.750E-04  5.83057E-11  1.62406E-12  5.79963E+04
  9.000E-04  6.16850E-11  1.62402E-12  5.79947E+04
  9.250E-04  6.51595E-11  1.62397E-12  5.79930E+04
  9.500E-04  6.87293E-11  1.62392E-12  5.79913E+04
  9.750E-04  7.23943E-11  1.62387E-12  5.79896E+04
  1.000E-03  7.61544E-11  1.62382E-12  5.79878E+04
  1.250E-03  1.18991E-10  1.62325E-12  5.79672E+04
  1.500E-03  1.71347E-10  1.62254E-12  5.79421E+04
  1.750E-03  2.33223E-10  1.62172E-12  5.79125E+04
  2.000E-03  3.04617E-10  1.62076E-12  5.78784E+04
  2.250E-03  3.85531E-10  1.61968E-12  5.78397E+04
