 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =  79,   projectile: electron
 #  Kinetic energy = 5.90000E+06 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)        ERRF         ERRG 
 #-----------------------------------------------------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.25891E-06  1.99998E-07  0.00000E+00  0.00000E+00  2.21333E-09  0.00000E+00
  1.000E-04  7.61557E-13  1.25890E-06  1.99998E-07  1.01104E-12  1.60627E-13  2.21268E-09  1.82470E-07
  1.250E-04  1.18994E-12  1.25890E-06  1.99998E-07  1.26379E-12  2.00784E-13  2.21231E-09  1.82455E-07
  1.500E-04  1.71346E-12  1.25890E-06  1.99998E-07  1.51655E-12  2.40941E-13  2.21187E-09  1.82437E-07
  1.750E-04  2.33225E-12  1.25889E-06  1.99998E-07  1.76930E-12  2.81097E-13  2.21134E-09  1.82415E-07
  2.000E-04  3.04617E-12  1.25889E-06  1.99998E-07  2.02206E-12  3.21254E-13  2.21073E-09  1.82390E-07
  2.250E-04  3.85530E-12  1.25889E-06  1.99998E-07  2.27481E-12  3.61411E-13  2.21004E-09  1.82362E-07
  2.500E-04  4.75964E-12  1.25888E-06  1.99998E-07  2.52755E-12  4.01567E-13  2.20927E-09  1.82331E-07
  2.750E-04  5.75917E-12  1.25888E-06  1.99997E-07  2.78029E-12  4.41724E-13  2.20842E-09  1.82296E-07
  3.000E-04  6.85391E-12  1.25887E-06  1.99997E-07  3.03303E-12  4.81880E-13  2.20748E-09  1.82258E-07
  3.250E-04  8.04379E-12  1.25886E-06  1.99997E-07  3.28577E-12  5.22037E-13  2.20647E-09  1.82217E-07
  3.500E-04  9.32893E-12  1.25886E-06  1.99997E-07  3.53850E-12  5.62193E-13  2.20537E-09  1.82172E-07
  3.750E-04  1.07092E-11  1.25885E-06  1.99997E-07  3.79123E-12  6.02350E-13  2.20420E-09  1.82124E-07
  4.000E-04  1.21847E-11  1.25884E-06  1.99997E-07  4.04396E-12  6.42506E-13  2.20294E-09  1.82073E-07
  4.250E-04  1.37554E-11  1.25883E-06  1.99997E-07  4.29667E-12  6.82662E-13  2.20161E-09  1.82018E-07
  4.500E-04  1.54213E-11  1.25882E-06  1.99997E-07  4.54939E-12  7.22818E-13  2.20019E-09  1.81960E-07
  4.750E-04  1.71823E-11  1.25882E-06  1.99997E-07  4.80210E-12  7.62974E-13  2.19869E-09  1.81899E-07
  5.000E-04  1.90386E-11  1.25881E-06  1.99996E-07  5.05480E-12  8.03130E-13  2.19711E-09  1.81835E-07
  5.250E-04  2.09900E-11  1.25880E-06  1.99996E-07  5.30749E-12  8.43286E-13  2.19545E-09  1.81767E-07
  5.500E-04  2.30367E-11  1.25878E-06  1.99996E-07  5.56018E-12  8.83441E-13  2.19372E-09  1.81696E-07
  5.750E-04  2.51785E-11  1.25877E-06  1.99996E-07  5.81287E-12  9.23597E-13  2.19190E-09  1.81622E-07
  6.000E-04  2.74156E-11  1.25876E-06  1.99996E-07  6.06554E-12  9.63753E-13  2.19000E-09  1.81544E-07
  6.250E-04  2.97478E-11  1.25875E-06  1.99995E-07  6.31821E-12  1.00391E-12  2.18802E-09  1.81463E-07
  6.500E-04  3.21752E-11  1.25874E-06  1.99995E-07  6.57087E-12  1.04406E-12  2.18596E-09  1.81379E-07
  6.750E-04  3.46979E-11  1.25872E-06  1.99995E-07  6.82352E-12  1.08422E-12  2.18382E-09  1.81292E-07
  7.000E-04  3.73157E-11  1.25871E-06  1.99995E-07  7.07617E-12  1.12437E-12  2.18160E-09  1.81201E-07
  7.250E-04  4.00286E-11  1.25869E-06  1.99995E-07  7.32881E-12  1.16453E-12  2.17930E-09  1.81107E-07
  7.500E-04  4.28368E-11  1.25868E-06  1.99994E-07  7.58143E-12  1.20468E-12  2.17693E-09  1.81010E-07
  7.750E-04  4.57402E-11  1.25866E-06  1.99994E-07  7.83405E-12  1.24484E-12  2.17447E-09  1.80909E-07
  8.000E-04  4.87388E-11  1.25865E-06  1.99994E-07  8.08666E-12  1.28499E-12  2.17194E-09  1.80806E-07
  8.250E-04  5.18325E-11  1.25863E-06  1.99994E-07  8.33926E-12  1.32515E-12  2.16932E-09  1.80699E-07
  8.500E-04  5.50215E-11  1.25861E-06  1.99993E-07  8.59185E-12  1.36530E-12  2.16663E-09  1.80588E-07
  8.750E-04  5.83057E-11  1.25860E-06  1.99993E-07  8.84443E-12  1.40545E-12  2.16386E-09  1.80475E-07
  9.000E-04  6.16850E-11  1.25858E-06  1.99993E-07  9.09699E-12  1.44561E-12  2.16100E-09  1.80358E-07
