 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =  47,   projectile: electron
 #  Kinetic energy = 5.05000E+06 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)        ERRF         ERRG 
 #-----------------------------------------------------------------------------------------------------------------
  3.500E-03  9.32891E-10  9.19467E-07  9.67488E-08  2.55030E-11  2.68362E-12  2.40445E-09  9.46837E-08
  3.750E-03  1.07092E-09  9.18920E-07  9.67439E-08  2.73084E-11  2.87517E-12  2.25258E-09  9.21189E-08
  4.000E-03  1.21847E-09  9.18337E-07  9.67387E-08  2.91105E-11  3.06668E-12  2.09474E-09  8.94258E-08
  4.250E-03  1.37554E-09  9.17717E-07  9.67331E-08  3.09090E-11  3.25816E-12  1.93175E-09  8.66133E-08
  4.500E-03  1.54213E-09  9.17061E-07  9.67271E-08  3.27038E-11  3.44960E-12  1.76445E-09  8.36908E-08
  4.750E-03  1.71823E-09  9.16369E-07  9.67209E-08  3.44946E-11  3.64101E-12  1.59368E-09  8.06680E-08
  5.000E-03  1.90386E-09  9.15641E-07  9.67143E-08  3.62813E-11  3.83238E-12  1.42031E-09  7.75547E-08
  5.250E-03  2.09900E-09  9.14878E-07  9.67073E-08  3.80636E-11  4.02371E-12  1.24522E-09  7.43612E-08
  5.500E-03  2.30367E-09  9.14080E-07  9.67001E-08  3.98414E-11  4.21500E-12  1.06930E-09  7.10979E-08
  5.750E-03  2.51785E-09  9.13247E-07  9.66924E-08  4.16144E-11  4.40624E-12  8.93415E-10  6.77751E-08
  6.000E-03  2.74156E-09  9.12379E-07  9.66845E-08  4.33824E-11  4.59744E-12  7.18449E-10  6.44037E-08
  6.250E-03  2.97478E-09  9.11477E-07  9.66762E-08  4.51454E-11  4.78859E-12  5.45267E-10  6.09941E-08
  6.500E-03  3.21752E-09  9.10541E-07  9.66676E-08  4.69030E-11  4.97969E-12  3.74720E-10  5.75573E-08
  6.750E-03  3.46978E-09  9.09571E-07  9.66586E-08  4.86550E-11  5.17074E-12  2.07638E-10  5.41038E-08
  7.000E-03  3.73156E-09  9.08567E-07  9.66494E-08  5.04014E-11  5.36173E-12  4.48257E-11  5.06444E-08
  7.250E-03  4.00286E-09  9.07531E-07  9.66397E-08  5.21420E-11  5.55267E-12  1.12935E-10  4.71895E-08
  7.500E-03  4.28368E-09  9.06462E-07  9.66298E-08  5.38764E-11  5.74355E-12  2.64904E-10  4.37495E-08
  7.750E-03  4.57402E-09  9.05361E-07  9.66195E-08  5.56047E-11  5.93437E-12  4.10372E-10  4.03347E-08
  8.000E-03  4.87388E-09  9.04228E-07  9.66089E-08  5.73265E-11  6.12513E-12  5.48672E-10  3.69550E-08
  8.250E-03  5.18326E-09  9.03063E-07  9.65979E-08  5.90418E-11  6.31582E-12  6.79186E-10  3.36202E-08
  8.500E-03  5.50215E-09  9.01867E-07  9.65866E-08  6.07504E-11  6.50645E-12  8.01338E-10  3.03396E-08
  8.750E-03  5.83057E-09  9.00641E-07  9.65750E-08  6.24522E-11  6.69701E-12  9.14608E-10  2.71223E-08
  9.000E-03  6.16850E-09  8.99384E-07  9.65631E-08  6.41469E-11  6.88750E-12  1.01853E-09  2.39771E-08
  9.250E-03  6.51596E-09  8.98097E-07  9.65508E-08  6.58344E-11  7.07792E-12  1.11268E-09  2.09122E-08
  9.500E-03  6.87293E-09  8.96780E-07  9.65382E-08  6.75146E-11  7.26826E-12  1.19672E-09  1.79355E-08
  9.750E-03  7.23942E-09  8.95434E-07  9.65252E-08  6.91873E-11  7.45853E-12  1.27036E-09  1.50545E-08
  1.000E-02  7.61544E-09  8.94060E-07  9.65120E-08  7.08524E-11  7.64873E-12  1.33335E-09  1.22761E-08
  1.250E-02  1.18991E-08  8.78835E-07  9.63612E-08  8.70574E-11  9.54598E-12  1.37255E-09  8.72944E-09
  1.500E-02  1.71347E-08  8.61243E-07  9.61782E-08  1.02378E-10  1.14334E-11  5.45195E-10  1.60318E-08
  1.750E-02  2.33223E-08  8.41757E-07  9.59636E-08  1.16738E-10  1.33092E-11  5.32863E-10  1.19105E-08
  2.000E-02  3.04617E-08  8.20847E-07  9.57180E-08  1.30101E-10  1.51716E-11  1.16723E-09  2.40716E-09
  2.250E-02  3.85531E-08  7.98947E-07  9.54425E-08  1.42459E-10  1.70189E-11  9.92639E-10  5.84295E-09
  2.500E-02  4.75965E-08  7.76446E-07  9.51379E-08  1.53829E-10  1.88496E-11  1.72419E-10  8.63076E-09
  2.750E-02  5.75917E-08  7.53673E-07  9.48053E-08  1.64250E-10  2.06621E-11  7.28157E-10  5.63575E-09
  3.000E-02  6.85389E-08  7.30902E-07  9.44456E-08  1.73768E-10  2.24549E-11  1.11391E-09  2.13553E-10
  3.250E-02  8.04380E-08  7.08345E-07  9.40601E-08  1.82439E-10  2.42269E-11  7.42650E-10  4.92101E-09
  3.500E-02  9.32891E-08  6.86165E-07  9.36497E-08  1.90321E-10  2.59767E-11  1.24169E-10  5.83198E-09
  3.750E-02  1.07092E-07  6.64480E-07  9.32158E-08  1.97470E-10  2.77032E-11  8.99516E-10  2.95145E-09
  4.000E-02  1.21847E-07  6.43367E-07  9.27593E-08  2.03943E-10  2.94054E-11  1.06163E-09  1.42813E-09
  4.250E-02  1.37554E-07  6.22877E-07  9.22816E-08  2.09788E-10  3.10823E-11  5.01546E-10  4.38612E-09
  4.500E-02  1.54213E-07  6.03037E-07  9.17837E-08  2.15053E-10  3.27331E-11  4.03121E-10  4.21731E-09
  4.750E-02  1.71823E-07  5.83856E-07  9.12668E-08  2.19780E-10  3.43570E-11  1.03963E-09  1.34921E-09
  5.000E-02  1.90386E-07  5.65331E-07  9.07320E-08  2.24007E-10  3.59534E-11  9.71866E-10  2.13231E-09
  5.250E-02  2.09900E-07  5.47450E-07  9.01806E-08  2.27769E-10  3.75216E-11  2.37631E-10  3.93854E-09
  5.500E-02  2.30367E-07  5.30198E-07  8.96134E-08  2.31095E-10  3.90612E-11  6.70732E-10  3.03831E-09
  5.750E-02  2.51785E-07  5.13554E-07  8.90318E-08  2.34015E-10  4.05716E-11  1.13435E-09  2.15382E-10
  6.000E-02  2.74156E-07  4.97497E-07  8.84365E-08  2.36555E-10  4.20526E-11  8.27511E-10  2.56230E-09
  6.250E-02  2.97478E-07  4.82004E-07  8.78288E-08  2.38737E-10  4.35038E-11  5.44763E-11  3.48470E-09
  6.500E-02  3.21752E-07  4.67052E-07  8.72095E-08  2.40585E-10  4.49249E-11  9.18197E-10  2.05727E-09
  6.750E-02  3.46978E-07  4.52620E-07  8.65797E-08  2.42119E-10  4.63159E-11  1.16972E-09  6.54272E-10
  7.000E-02  3.73156E-07  4.38688E-07  8.59402E-08  2.43357E-10  4.76765E-11  6.21599E-10  2.79975E-09
  7.250E-02  4.00286E-07  4.25235E-07  8.52919E-08  2.44319E-10  4.90068E-11  3.68764E-10  2.99014E-09
  7.500E-02  4.28368E-07  4.12242E-07  8.46357E-08  2.45021E-10  5.03067E-11  1.13080E-09  1.18509E-09
  7.750E-02  4.57402E-07  3.99692E-07  8.39723E-08  2.45481E-10  5.15762E-11  1.13338E-09  1.33821E-09
  8.000E-02  4.87388E-07  3.87568E-07  8.33027E-08  2.45713E-10  5.28154E-11  3.53839E-10  2.87743E-09
  8.250E-02  5.18325E-07  3.75854E-07  8.26276E-08  2.45733E-10  5.40244E-11  6.92318E-10  2.44327E-09
  8.500E-02  5.50215E-07  3.64535E-07  8.19476E-08  2.45555E-10  5.52035E-11  1.29098E-09  3.88922E-10
  8.750E-02  5.83057E-07  3.53597E-07  8.12634E-08  2.45193E-10  5.63527E-11  1.01565E-09  1.86637E-09
  9.000E-02  6.16850E-07  3.43026E-07  8.05759E-08  2.44659E-10  5.74724E-11  3.00275E-11  2.81020E-09
  9.250E-02  6.51596E-07  3.32810E-07  7.98855E-08  2.43966E-10  5.85628E-11  1.00690E-09  1.84484E-09
  9.500E-02  6.87293E-07  3.22936E-07  7.91929E-08  2.43126E-10  5.96241E-11  1.38023E-09  3.37782E-10
  9.750E-02  7.23942E-07  3.13393E-07  7.84987E-08  2.42150E-10  6.06568E-11  8.10921E-10  2.24731E-09
  1.000E-01  7.61543E-07  3.04169E-07  7.78034E-08  2.41050E-10  6.16611E-11  3.37674E-10  2.60729E-09
  1.250E-01  1.18991E-06  2.27316E-07  7.08958E-08  2.25182E-10  7.02338E-11  1.06628E-09  1.98965E-09
  1.500E-01  1.71347E-06  1.72655E-07  6.43163E-08  2.05241E-10  7.64593E-11  1.99266E-09  5.72690E-11
  1.750E-01  2.33223E-06  1.33698E-07  5.82765E-08  1.85421E-10  8.08262E-11  1.34899E-09  2.02932E-09
  2.000E-01  3.04617E-06  1.05730E-07  5.28575E-08  1.67581E-10  8.37838E-11  8.05876E-10  2.41727E-09
  2.250E-01  3.85531E-06  8.53778E-08  4.80590E-08  1.52240E-10  8.57006E-11  2.87979E-09  8.81494E-10
