 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =  79,   projectile: electron
 #  Kinetic energy = 5.05000E+06 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)        ERRF         ERRG 
 #-----------------------------------------------------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.09191E-06  1.73648E-07  0.00000E+00  0.00000E+00  2.73494E-09  0.00000E+00
  1.000E-04  7.61557E-13  1.09190E-06  1.73648E-07  8.65310E-13  1.37621E-13  2.73431E-09  7.95653E-09
  1.250E-04  1.18994E-12  1.09190E-06  1.73648E-07  1.08164E-12  1.72026E-13  2.73396E-09  7.95602E-09
  1.500E-04  1.71346E-12  1.09190E-06  1.73648E-07  1.29796E-12  2.06431E-13  2.73352E-09  7.95540E-09
  1.750E-04  2.33225E-12  1.09190E-06  1.73648E-07  1.51429E-12  2.40836E-13  2.73301E-09  7.95466E-09
  2.000E-04  3.04617E-12  1.09190E-06  1.73648E-07  1.73061E-12  2.75241E-13  2.73242E-09  7.95381E-09
  2.250E-04  3.85530E-12  1.09189E-06  1.73648E-07  1.94693E-12  3.09646E-13  2.73175E-09  7.95284E-09
  2.500E-04  4.75964E-12  1.09189E-06  1.73648E-07  2.16325E-12  3.44051E-13  2.73100E-09  7.95177E-09
  2.750E-04  5.75917E-12  1.09189E-06  1.73648E-07  2.37957E-12  3.78456E-13  2.73018E-09  7.95058E-09
  3.000E-04  6.85391E-12  1.09188E-06  1.73648E-07  2.59588E-12  4.12861E-13  2.72927E-09  7.94927E-09
  3.250E-04  8.04379E-12  1.09188E-06  1.73648E-07  2.81219E-12  4.47266E-13  2.72829E-09  7.94785E-09
  3.500E-04  9.32893E-12  1.09187E-06  1.73648E-07  3.02850E-12  4.81671E-13  2.72722E-09  7.94632E-09
  3.750E-04  1.07092E-11  1.09187E-06  1.73648E-07  3.24481E-12  5.16076E-13  2.72608E-09  7.94468E-09
  4.000E-04  1.21847E-11  1.09186E-06  1.73648E-07  3.46112E-12  5.50481E-13  2.72486E-09  7.94292E-09
  4.250E-04  1.37554E-11  1.09186E-06  1.73648E-07  3.67742E-12  5.84885E-13  2.72356E-09  7.94105E-09
  4.500E-04  1.54213E-11  1.09185E-06  1.73648E-07  3.89371E-12  6.19290E-13  2.72219E-09  7.93907E-09
  4.750E-04  1.71823E-11  1.09185E-06  1.73648E-07  4.11001E-12  6.53695E-13  2.72073E-09  7.93697E-09
  5.000E-04  1.90386E-11  1.09184E-06  1.73647E-07  4.32630E-12  6.88099E-13  2.71920E-09  7.93476E-09
  5.250E-04  2.09900E-11  1.09183E-06  1.73647E-07  4.54259E-12  7.22504E-13  2.71759E-09  7.93244E-09
  5.500E-04  2.30367E-11  1.09183E-06  1.73647E-07  4.75887E-12  7.56908E-13  2.71590E-09  7.93001E-09
  5.750E-04  2.51785E-11  1.09182E-06  1.73647E-07  4.97515E-12  7.91313E-13  2.71413E-09  7.92746E-09
  6.000E-04  2.74156E-11  1.09181E-06  1.73647E-07  5.19142E-12  8.25717E-13  2.71229E-09  7.92480E-09
