 #
 # Projectile: electron
 # Kinetic energy = 5.05000E+06 eV = 1.85584E+05 a.u.
 #
 # Element: Au,  Z =  79,  atomic weight = 1.96967E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #
 # Number of electrons = 79
 #
 # Electron density: Read from file z_079.den   
 #                   Number of data points =  777
 #                   Volume integral = 7.90000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 7.76799E-18 cm**2 = 2.77400E-01 a0**2
 # 1st transport cross section = 3.41179E-22 cm**2 = 1.21837E-05 a0**2
 # 2nd transport cross section = 9.17244E-22 cm**2 = 3.27554E-05 a0**2
 #
 #
 # Differential cross section:                    
 #
 #  THETA        MU          DCS          DCS     
 #  (deg)                 (cm**2/sr)   (a0**2/sr) 
 #------------------------------------------------
  0.000E+00  0.00000E+00  1.22241E-12  4.36532E+04
  1.000E-04  7.61557E-13  1.22241E-12  4.36530E+04
  1.250E-04  1.18994E-12  1.22241E-12  4.36529E+04
  1.500E-04  1.71346E-12  1.22240E-12  4.36527E+04
  1.750E-04  2.33225E-12  1.22240E-12  4.36526E+04
  2.000E-04  3.04617E-12  1.22239E-12  4.36524E+04
  2.250E-04  3.85530E-12  1.22238E-12  4.36522E+04
  2.500E-04  4.75964E-12  1.22238E-12  4.36519E+04
  2.750E-04  5.75917E-12  1.22237E-12  4.36516E+04
  3.000E-04  6.85391E-12  1.22236E-12  4.36513E+04
  3.250E-04  8.04379E-12  1.22235E-12  4.36510E+04
  3.500E-04  9.32893E-12  1.22234E-12  4.36507E+04
  3.750E-04  1.07092E-11  1.22233E-12  4.36503E+04
  4.000E-04  1.21847E-11  1.22232E-12  4.36499E+04
  4.250E-04  1.37554E-11  1.22231E-12  4.36495E+04
  4.500E-04  1.54213E-11  1.22230E-12  4.36490E+04
  4.750E-04  1.71823E-11  1.22228E-12  4.36485E+04
  5.000E-04  1.90386E-11  1.22227E-12  4.36480E+04
  5.250E-04  2.09900E-11  1.22225E-12  4.36475E+04
  5.500E-04  2.30367E-11  1.22224E-12  4.36470E+04
  5.750E-04  2.51785E-11  1.22222E-12  4.36464E+04
  6.000E-04  2.74156E-11  1.22221E-12  4.36458E+04
  6.250E-04  2.97478E-11  1.22219E-12  4.36451E+04
  6.500E-04  3.21752E-11  1.22217E-12  4.36445E+04
  6.750E-04  3.46979E-11  1.22215E-12  4.36438E+04
  7.000E-04  3.73157E-11  1.22213E-12  4.36431E+04
  7.250E-04  4.00286E-11  1.22211E-12  4.36423E+04
  7.500E-04  4.28368E-11  1.22209E-12  4.36416E+04
  7.750E-04  4.57402E-11  1.22207E-12  4.36408E+04
  8.000E-04  4.87388E-11  1.22204E-12  4.36400E+04
  8.250E-04  5.18325E-11  1.22202E-12  4.36391E+04
  8.500E-04  5.50215E-11  1.22200E-12  4.36383E+04
  8.750E-04  5.83057E-11  1.22197E-12  4.36374E+04
  9.000E-04  6.16850E-11  1.22195E-12  4.36365E+04
  9.250E-04  6.51595E-11  1.22192E-12  4.36355E+04
  9.500E-04  6.87293E-11  1.22189E-12  4.36346E+04
  9.750E-04  7.23943E-11  1.22186E-12  4.36336E+04
  1.000E-03  7.61544E-11  1.22184E-12  4.36326E+04
  1.250E-03  1.18991E-10  1.22151E-12  4.36209E+04
  1.500E-03  1.71347E-10  1.22111E-12  4.36068E+04
  1.750E-03  2.33223E-10  1.22064E-12  4.35900E+04
  2.000E-03  3.04617E-10  1.22010E-12  4.35707E+04
  2.250E-03  3.85531E-10  1.21949E-12  4.35488E+04
  2.500E-03  4.75965E-10  1.21881E-12  4.35244E+04
  2.750E-03  5.75917E-10  1.21805E-12  4.34975E+04
  3.000E-03  6.85389E-10  1.21723E-12  4.34680E+04
  3.250E-03  8.04380E-10  1.21633E-12  4.34360E+04
  3.500E-03  9.32891E-10  1.21537E-12  4.34015E+04
  3.750E-03  1.07092E-09  1.21433E-12  4.33645E+04
  4.000E-03  1.21847E-09  1.21322E-12  4.33250E+04
  4.250E-03  1.37554E-09  1.21205E-12  4.32830E+04
  4.500E-03  1.54213E-09  1.21080E-12  4.32386E+04
  4.750E-03  1.71823E-09  1.20949E-12  4.31917E+04
  5.000E-03  1.90386E-09  1.20811E-12  4.31424E+04
  5.250E-03  2.09900E-09  1.20666E-12  4.30906E+04
