 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =  47,   projectile: electron
 #  Kinetic energy = 6.00000E+06 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)        ERRF         ERRG 
 #-----------------------------------------------------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.08093E-06  1.13182E-07  0.00000E+00  0.00000E+00  5.05841E-09  0.00000E+00
  1.000E-04  7.61557E-13  1.08093E-06  1.13182E-07  8.69253E-13  9.10217E-14  5.05649E-09  1.19575E-07
  1.250E-04  1.18994E-12  1.08092E-06  1.13182E-07  1.08656E-12  1.13777E-13  5.05541E-09  1.19563E-07
  1.500E-04  1.71346E-12  1.08092E-06  1.13182E-07  1.30387E-12  1.36532E-13  5.05408E-09  1.19547E-07
  1.750E-04  2.33225E-12  1.08092E-06  1.13182E-07  1.52118E-12  1.59288E-13  5.05252E-09  1.19529E-07
  2.000E-04  3.04617E-12  1.08091E-06  1.13182E-07  1.73848E-12  1.82043E-13  5.05071E-09  1.19508E-07
  2.250E-04  3.85530E-12  1.08091E-06  1.13182E-07  1.95578E-12  2.04798E-13  5.04867E-09  1.19484E-07
  2.500E-04  4.75964E-12  1.08090E-06  1.13182E-07  2.17308E-12  2.27554E-13  5.04639E-09  1.19457E-07
  2.750E-04  5.75917E-12  1.08089E-06  1.13182E-07  2.39037E-12  2.50309E-13  5.04386E-09  1.19428E-07
  3.000E-04  6.85391E-12  1.08089E-06  1.13182E-07  2.60766E-12  2.73064E-13  5.04110E-09  1.19396E-07
  3.250E-04  8.04379E-12  1.08088E-06  1.13182E-07  2.82495E-12  2.95819E-13  5.03810E-09  1.19360E-07
  3.500E-04  9.32893E-12  1.08087E-06  1.13182E-07  3.04223E-12  3.18574E-13  5.03485E-09  1.19323E-07
  3.750E-04  1.07092E-11  1.08086E-06  1.13182E-07  3.25951E-12  3.41330E-13  5.03137E-09  1.19282E-07
  4.000E-04  1.21847E-11  1.08085E-06  1.13182E-07  3.47678E-12  3.64085E-13  5.02765E-09  1.19238E-07
  4.250E-04  1.37554E-11  1.08084E-06  1.13181E-07  3.69404E-12  3.86840E-13  5.02369E-09  1.19192E-07
  4.500E-04  1.54213E-11  1.08083E-06  1.13181E-07  3.91130E-12  4.09595E-13  5.01950E-09  1.19143E-07
  4.750E-04  1.71823E-11  1.08082E-06  1.13181E-07  4.12855E-12  4.32349E-13  5.01506E-09  1.19091E-07
  5.000E-04  1.90386E-11  1.08081E-06  1.13181E-07  4.34579E-12  4.55104E-13  5.01039E-09  1.19036E-07
  5.250E-04  2.09900E-11  1.08080E-06  1.13181E-07  4.56303E-12  4.77859E-13  5.00548E-09  1.18979E-07
  5.500E-04  2.30367E-11  1.08078E-06  1.13181E-07  4.78026E-12  5.00614E-13  5.00033E-09  1.18919E-07
  5.750E-04  2.51785E-11  1.08077E-06  1.13181E-07  4.99748E-12  5.23368E-13  4.99495E-09  1.18856E-07
  6.000E-04  2.74156E-11  1.08075E-06  1.13181E-07  5.21469E-12  5.46123E-13  4.98933E-09  1.18790E-07
  6.250E-04  2.97478E-11  1.08074E-06  1.13181E-07  5.43189E-12  5.68877E-13  4.98348E-09  1.18721E-07
  6.500E-04  3.21752E-11  1.08072E-06  1.13180E-07  5.64909E-12  5.91632E-13  4.97738E-09  1.18650E-07
  6.750E-04  3.46979E-11  1.08071E-06  1.13180E-07  5.86627E-12  6.14386E-13  4.97106E-09  1.18576E-07
  7.000E-04  3.73157E-11  1.08069E-06  1.13180E-07  6.08344E-12  6.37140E-13  4.96450E-09  1.18499E-07
  7.250E-04  4.00286E-11  1.08067E-06  1.13180E-07  6.30061E-12  6.59894E-13  4.95770E-09  1.18419E-07
  7.500E-04  4.28368E-11  1.08065E-06  1.13180E-07  6.51776E-12  6.82648E-13  4.95067E-09  1.18337E-07
  7.750E-04  4.57402E-11  1.08064E-06  1.13180E-07  6.73490E-12  7.05402E-13  4.94341E-09  1.18252E-07
  8.000E-04  4.87388E-11  1.08062E-06  1.13179E-07  6.95203E-12  7.28156E-13  4.93592E-09  1.18164E-07
  8.250E-04  5.18325E-11  1.08060E-06  1.13179E-07  7.16915E-12  7.50909E-13  4.92819E-09  1.18073E-07
  8.500E-04  5.50215E-11  1.08058E-06  1.13179E-07  7.38626E-12  7.73663E-13  4.92023E-09  1.17980E-07
  8.750E-04  5.83057E-11  1.08056E-06  1.13179E-07  7.60335E-12  7.96416E-13  4.91204E-09  1.17884E-07
  9.000E-04  6.16850E-11  1.08053E-06  1.13179E-07  7.82043E-12  8.19170E-13  4.90362E-09  1.17785E-07
  9.250E-04  6.51595E-11  1.08051E-06  1.13178E-07  8.03750E-12  8.41923E-13  4.89498E-09  1.17683E-07
  9.500E-04  6.87293E-11  1.08049E-06  1.13178E-07  8.25456E-12  8.64676E-13  4.88610E-09  1.17579E-07
  9.750E-04  7.23943E-11  1.08046E-06  1.13178E-07  8.47160E-12  8.87429E-13  4.87699E-09  1.17472E-07
  1.000E-03  7.61544E-11  1.08044E-06  1.13178E-07  8.68862E-12  9.10182E-13  4.86765E-09  1.17362E-07
  1.250E-03  1.18991E-10  1.08016E-06  1.13175E-07  1.08580E-11  1.13770E-12  4.76191E-09  1.16117E-07
  1.500E-03  1.71347E-10  1.07983E-06  1.13172E-07  1.30255E-11  1.36521E-12  4.63417E-09  1.14606E-07
  1.750E-03  2.33223E-10  1.07943E-06  1.13169E-07  1.51909E-11  1.59269E-12  4.48532E-09  1.12837E-07
  2.000E-03  3.04617E-10  1.07897E-06  1.13165E-07  1.73536E-11  1.82015E-12  4.31640E-09  1.10818E-07
  2.250E-03  3.85531E-10  1.07845E-06  1.13160E-07  1.95134E-11  2.04759E-12  4.12857E-09  1.08558E-07
  2.500E-03  4.75965E-10  1.07787E-06  1.13155E-07  2.16699E-11  2.27499E-12  3.92314E-09  1.06067E-07
  2.750E-03  5.75917E-10  1.07723E-06  1.13149E-07  2.38228E-11  2.50237E-12  3.70152E-09  1.03356E-07
  3.000E-03  6.85389E-10  1.07653E-06  1.13143E-07  2.59717E-11  2.72970E-12  3.46523E-09  1.00438E-07
  3.250E-03  8.04380E-10  1.07578E-06  1.13136E-07  2.81162E-11  2.95700E-12  3.21589E-09  9.73257E-08
  3.500E-03  9.32891E-10  1.07496E-06  1.13129E-07  3.02560E-11  3.18426E-12  2.95522E-09  9.40327E-08
  3.750E-03  1.07092E-09  1.07408E-06  1.13121E-07  3.23907E-11  3.41147E-12  2.68499E-09  9.05739E-08
  4.000E-03  1.21847E-09  1.07315E-06  1.13112E-07  3.45201E-11  3.63863E-12  2.40705E-09  8.69644E-08
  4.250E-03  1.37554E-09  1.07216E-06  1.13104E-07  3.66437E-11  3.86573E-12  2.12326E-09  8.32201E-08
  4.500E-03  1.54213E-09  1.07111E-06  1.13094E-07  3.87613E-11  4.09278E-12  1.83555E-09  7.93573E-08
  4.750E-03  1.71823E-09  1.07001E-06  1.13084E-07  4.08725E-11  4.31978E-12  1.54585E-09  7.53928E-08
  5.000E-03  1.90386E-09  1.06885E-06  1.13073E-07  4.29771E-11  4.54671E-12  1.25609E-09  7.13434E-08
  5.250E-03  2.09900E-09  1.06763E-06  1.13062E-07  4.50746E-11  4.77357E-12  9.68185E-10  6.72265E-08
