 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =  79,   projectile: electron
 #  Kinetic energy = 5.95000E+06 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)        ERRF         ERRG 
 #-----------------------------------------------------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.26873E-06  2.01549E-07  0.00000E+00  0.00000E+00  1.50919E-09  0.00000E+00
  1.000E-04  7.61557E-13  1.26873E-06  2.01548E-07  1.01961E-12  1.61981E-13  1.50873E-09  2.20465E-07
  1.250E-04  1.18994E-12  1.26872E-06  2.01548E-07  1.27451E-12  2.02476E-13  1.50848E-09  2.20446E-07
  1.500E-04  1.71346E-12  1.26872E-06  2.01548E-07  1.52941E-12  2.42971E-13  1.50816E-09  2.20424E-07
  1.750E-04  2.33225E-12  1.26872E-06  2.01548E-07  1.78431E-12  2.83466E-13  1.50780E-09  2.20397E-07
  2.000E-04  3.04617E-12  1.26871E-06  2.01548E-07  2.03920E-12  3.23962E-13  1.50737E-09  2.20366E-07
  2.250E-04  3.85530E-12  1.26871E-06  2.01548E-07  2.29409E-12  3.64457E-13  1.50689E-09  2.20331E-07
  2.500E-04  4.75964E-12  1.26870E-06  2.01548E-07  2.54898E-12  4.04952E-13  1.50635E-09  2.20292E-07
  2.750E-04  5.75917E-12  1.26870E-06  2.01548E-07  2.80387E-12  4.45447E-13  1.50575E-09  2.20249E-07
  3.000E-04  6.85391E-12  1.26869E-06  2.01548E-07  3.05875E-12  4.85942E-13  1.50510E-09  2.20202E-07
  3.250E-04  8.04379E-12  1.26869E-06  2.01548E-07  3.31363E-12  5.26436E-13  1.50439E-09  2.20151E-07
  3.500E-04  9.32893E-12  1.26868E-06  2.01548E-07  3.56850E-12  5.66931E-13  1.50363E-09  2.20096E-07
  3.750E-04  1.07092E-11  1.26867E-06  2.01548E-07  3.82337E-12  6.07426E-13  1.50280E-09  2.20036E-07
  4.000E-04  1.21847E-11  1.26866E-06  2.01547E-07  4.07824E-12  6.47921E-13  1.50193E-09  2.19973E-07
  4.250E-04  1.37554E-11  1.26866E-06  2.01547E-07  4.33310E-12  6.88415E-13  1.50099E-09  2.19905E-07
  4.500E-04  1.54213E-11  1.26865E-06  2.01547E-07  4.58796E-12  7.28910E-13  1.50000E-09  2.19833E-07
  4.750E-04  1.71823E-11  1.26864E-06  2.01547E-07  4.84281E-12  7.69404E-13  1.49895E-09  2.19757E-07
  5.000E-04  1.90386E-11  1.26863E-06  2.01547E-07  5.09765E-12  8.09898E-13  1.49785E-09  2.19678E-07
  5.250E-04  2.09900E-11  1.26862E-06  2.01547E-07  5.35249E-12  8.50393E-13  1.49669E-09  2.19594E-07
  5.500E-04  2.30367E-11  1.26860E-06  2.01547E-07  5.60732E-12  8.90887E-13  1.49547E-09  2.19506E-07
  5.750E-04  2.51785E-11  1.26859E-06  2.01546E-07  5.86214E-12  9.31381E-13  1.49420E-09  2.19414E-07
  6.000E-04  2.74156E-11  1.26858E-06  2.01546E-07  6.11696E-12  9.71875E-13  1.49287E-09  2.19317E-07
  6.250E-04  2.97478E-11  1.26857E-06  2.01546E-07  6.37177E-12  1.01237E-12  1.49149E-09  2.19217E-07
