 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =  47,   projectile: electron
 #  Kinetic energy = 5.10000E+06 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)        ERRF         ERRG 
 #-----------------------------------------------------------------------------------------------------------------
  0.000E+00  0.00000E+00  9.31489E-07  9.76448E-08  0.00000E+00  0.00000E+00  2.80719E-09  0.00000E+00
  1.000E-04  7.61557E-13  9.31486E-07  9.76447E-08  7.38850E-13  7.74547E-14  2.80636E-09  2.51312E-07
  1.250E-04  1.18994E-12  9.31485E-07  9.76447E-08  9.23561E-13  9.68184E-14  2.80590E-09  2.51292E-07
  1.500E-04  1.71346E-12  9.31482E-07  9.76447E-08  1.10827E-12  1.16182E-13  2.80534E-09  2.51267E-07
  1.750E-04  2.33225E-12  9.31480E-07  9.76447E-08  1.29298E-12  1.35546E-13  2.80467E-09  2.51237E-07
  2.000E-04  3.04617E-12  9.31477E-07  9.76446E-08  1.47769E-12  1.54909E-13  2.80390E-09  2.51203E-07
  2.250E-04  3.85530E-12  9.31474E-07  9.76446E-08  1.66239E-12  1.74273E-13  2.80302E-09  2.51164E-07
  2.500E-04  4.75964E-12  9.31470E-07  9.76446E-08  1.84709E-12  1.93636E-13  2.80204E-09  2.51121E-07
  2.750E-04  5.75917E-12  9.31466E-07  9.76445E-08  2.03179E-12  2.13000E-13  2.80096E-09  2.51073E-07
  3.000E-04  6.85391E-12  9.31461E-07  9.76445E-08  2.21649E-12  2.32364E-13  2.79978E-09  2.51021E-07
  3.250E-04  8.04379E-12  9.31456E-07  9.76445E-08  2.40119E-12  2.51727E-13  2.79850E-09  2.50964E-07
  3.500E-04  9.32893E-12  9.31451E-07  9.76444E-08  2.58588E-12  2.71091E-13  2.79711E-09  2.50902E-07
  3.750E-04  1.07092E-11  9.31445E-07  9.76444E-08  2.77057E-12  2.90454E-13  2.79562E-09  2.50836E-07
  4.000E-04  1.21847E-11  9.31439E-07  9.76443E-08  2.95525E-12  3.09817E-13  2.79403E-09  2.50766E-07
  4.250E-04  1.37554E-11  9.31433E-07  9.76443E-08  3.13993E-12  3.29181E-13  2.79233E-09  2.50691E-07
  4.500E-04  1.54213E-11  9.31426E-07  9.76442E-08  3.32461E-12  3.48544E-13  2.79054E-09  2.50611E-07
  4.750E-04  1.71823E-11  9.31419E-07  9.76441E-08  3.50928E-12  3.67908E-13  2.78864E-09  2.50527E-07
  5.000E-04  1.90386E-11  9.31411E-07  9.76441E-08  3.69395E-12  3.87271E-13  2.78664E-09  2.50439E-07
  5.250E-04  2.09900E-11  9.31403E-07  9.76440E-08  3.87862E-12  4.06634E-13  2.78453E-09  2.50345E-07
  5.500E-04  2.30367E-11  9.31395E-07  9.76439E-08  4.06328E-12  4.25997E-13  2.78233E-09  2.50248E-07
  5.750E-04  2.51785E-11  9.31386E-07  9.76438E-08  4.24793E-12  4.45360E-13  2.78002E-09  2.50145E-07
  6.000E-04  2.74156E-11  9.31377E-07  9.76438E-08  4.43258E-12  4.64724E-13  2.77762E-09  2.50039E-07
  6.250E-04  2.97478E-11  9.31367E-07  9.76437E-08  4.61722E-12  4.84087E-13  2.77511E-09  2.49928E-07
  6.500E-04  3.21752E-11  9.31357E-07  9.76436E-08  4.80186E-12  5.03450E-13  2.77250E-09  2.49812E-07
  6.750E-04  3.46979E-11  9.31347E-07  9.76435E-08  4.98649E-12  5.22813E-13  2.76979E-09  2.49692E-07
  7.000E-04  3.73157E-11  9.31336E-07  9.76434E-08  5.17112E-12  5.42176E-13  2.76698E-09  2.49567E-07
  7.250E-04  4.00286E-11  9.31325E-07  9.76433E-08  5.35574E-12  5.61538E-13  2.76406E-09  2.49438E-07
  7.500E-04  4.28368E-11  9.31313E-07  9.76432E-08  5.54035E-12  5.80901E-13  2.76105E-09  2.49304E-07
  7.750E-04  4.57402E-11  9.31301E-07  9.76431E-08  5.72495E-12  6.00264E-13  2.75794E-09  2.49166E-07
  8.000E-04  4.87388E-11  9.31289E-07  9.76430E-08  5.90955E-12  6.19627E-13  2.75472E-09  2.49023E-07
  8.250E-04  5.18325E-11  9.31276E-07  9.76429E-08  6.09414E-12  6.38989E-13  2.75141E-09  2.48876E-07
  8.500E-04  5.50215E-11  9.31263E-07  9.76427E-08  6.27872E-12  6.58352E-13  2.74800E-09  2.48724E-07
  8.750E-04  5.83057E-11  9.31249E-07  9.76426E-08  6.46330E-12  6.77714E-13  2.74448E-09  2.48568E-07
  9.000E-04  6.16850E-11  9.31235E-07  9.76425E-08  6.64786E-12  6.97076E-13  2.74087E-09  2.48408E-07
  9.250E-04  6.51595E-11  9.31221E-07  9.76424E-08  6.83242E-12  7.16439E-13  2.73716E-09  2.48243E-07
