 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =  47,   projectile: electron
 #  Kinetic energy = 8.00000E+06 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)        ERRF         ERRG 
 #-----------------------------------------------------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.41300E-06  1.47749E-07  0.00000E+00  0.00000E+00  1.03014E-07  0.00000E+00
  1.000E-04  7.61557E-13  1.41299E-06  1.47749E-07  1.15897E-12  1.21196E-13  1.02965E-07  7.49061E-07
  1.250E-04  1.18994E-12  1.41298E-06  1.47749E-07  1.44871E-12  1.51495E-13  1.02938E-07  7.48964E-07
  1.500E-04  1.71346E-12  1.41297E-06  1.47749E-07  1.73844E-12  1.81794E-13  1.02905E-07  7.48846E-07
  1.750E-04  2.33225E-12  1.41296E-06  1.47749E-07  2.02817E-12  2.12093E-13  1.02866E-07  7.48707E-07
  2.000E-04  3.04617E-12  1.41295E-06  1.47748E-07  2.31789E-12  2.42392E-13  1.02821E-07  7.48545E-07
  2.250E-04  3.85530E-12  1.41294E-06  1.47748E-07  2.60761E-12  2.72691E-13  1.02770E-07  7.48363E-07
  2.500E-04  4.75964E-12  1.41293E-06  1.47748E-07  2.89732E-12  3.02990E-13  1.02713E-07  7.48159E-07
  2.750E-04  5.75917E-12  1.41291E-06  1.47748E-07  3.18702E-12  3.33289E-13  1.02650E-07  7.47933E-07
  3.000E-04  6.85391E-12  1.41290E-06  1.47748E-07  3.47671E-12  3.63587E-13  1.02581E-07  7.47686E-07
  3.250E-04  8.04379E-12  1.41288E-06  1.47748E-07  3.76639E-12  3.93886E-13  1.02506E-07  7.47418E-07
  3.500E-04  9.32893E-12  1.41286E-06  1.47748E-07  4.05606E-12  4.24184E-13  1.02425E-07  7.47128E-07
  3.750E-04  1.07092E-11  1.41284E-06  1.47747E-07  4.34571E-12  4.54482E-13  1.02338E-07  7.46817E-07
  4.000E-04  1.21847E-11  1.41282E-06  1.47747E-07  4.63536E-12  4.84781E-13  1.02245E-07  7.46484E-07
  4.250E-04  1.37554E-11  1.41280E-06  1.47747E-07  4.92499E-12  5.15079E-13  1.02147E-07  7.46130E-07
  4.500E-04  1.54213E-11  1.41278E-06  1.47747E-07  5.21460E-12  5.45377E-13  1.02042E-07  7.45755E-07
  4.750E-04  1.71823E-11  1.41275E-06  1.47747E-07  5.50421E-12  5.75675E-13  1.01931E-07  7.45359E-07
  5.000E-04  1.90386E-11  1.41272E-06  1.47746E-07  5.79379E-12  6.05972E-13  1.01815E-07  7.44941E-07
  5.250E-04  2.09900E-11  1.41269E-06  1.47746E-07  6.08336E-12  6.36270E-13  1.01692E-07  7.44502E-07
  5.500E-04  2.30367E-11  1.41267E-06  1.47746E-07  6.37291E-12  6.66567E-13  1.01564E-07  7.44041E-07
  5.750E-04  2.51785E-11  1.41263E-06  1.47746E-07  6.66244E-12  6.96864E-13  1.01429E-07  7.43560E-07
  6.000E-04  2.74156E-11  1.41260E-06  1.47745E-07  6.95196E-12  7.27161E-13  1.01289E-07  7.43057E-07
  6.250E-04  2.97478E-11  1.41257E-06  1.47745E-07  7.24145E-12  7.57458E-13  1.01143E-07  7.42533E-07
  6.500E-04  3.21752E-11  1.41253E-06  1.47745E-07  7.53092E-12  7.87755E-13  1.00991E-07  7.41988E-07
  6.750E-04  3.46979E-11  1.41250E-06  1.47744E-07  7.82037E-12  8.18051E-13  1.00834E-07  7.41422E-07
  7.000E-04  3.73157E-11  1.41246E-06  1.47744E-07  8.10980E-12  8.48348E-13  1.00670E-07  7.40835E-07
  7.250E-04  4.00286E-11  1.41242E-06  1.47744E-07  8.39920E-12  8.78644E-13  1.00501E-07  7.40227E-07
  7.500E-04  4.28368E-11  1.41238E-06  1.47743E-07  8.68858E-12  9.08940E-13  1.00325E-07  7.39597E-07
  7.750E-04  4.57402E-11  1.41234E-06  1.47743E-07  8.97793E-12  9.39235E-13  1.00144E-07  7.38947E-07
  8.000E-04  4.87388E-11  1.41229E-06  1.47743E-07  9.26726E-12  9.69531E-13  9.99577E-08  7.38276E-07
  8.250E-04  5.18325E-11  1.41225E-06  1.47742E-07  9.55656E-12  9.99826E-13  9.97652E-08  7.37584E-07
  8.500E-04  5.50215E-11  1.41220E-06  1.47742E-07  9.84583E-12  1.03012E-12  9.95670E-08  7.36871E-07
