 #
 # Projectile: electron
 # Kinetic energy = 8.00000E+06 eV = 2.93995E+05 a.u.
 #
 # Element: Ag,  Z =  47,  atomic weight = 1.07868E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #
 # Number of electrons = 47
 #
 # Electron density: Read from file z_047.den   
 #                   Number of data points =  813
 #                   Volume integral = 4.70000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 4.30944E-18 cm**2 = 1.53893E-01 a0**2
 # 1st transport cross section = 5.18788E-23 cm**2 = 1.85263E-06 a0**2
 # 2nd transport cross section = 1.45990E-22 cm**2 = 5.21339E-06 a0**2
 #
 #
 # Differential cross section:                    
 #
 #  THETA        MU          DCS          DCS     
 #  (deg)                 (cm**2/sr)   (a0**2/sr) 
 #------------------------------------------------
  0.000E+00  0.00000E+00  2.01839E-12  7.20781E+04
  1.000E-04  7.61557E-13  2.01836E-12  7.20770E+04
  1.250E-04  1.18994E-12  2.01834E-12  7.20764E+04
  1.500E-04  1.71346E-12  2.01832E-12  7.20756E+04
  1.750E-04  2.33225E-12  2.01830E-12  7.20747E+04
  2.000E-04  3.04617E-12  2.01827E-12  7.20737E+04
  2.250E-04  3.85530E-12  2.01824E-12  7.20725E+04
  2.500E-04  4.75964E-12  2.01820E-12  7.20712E+04
  2.750E-04  5.75917E-12  2.01816E-12  7.20697E+04
  3.000E-04  6.85391E-12  2.01811E-12  7.20681E+04
  3.250E-04  8.04379E-12  2.01806E-12  7.20664E+04
  3.500E-04  9.32893E-12  2.01801E-12  7.20645E+04
  3.750E-04  1.07092E-11  2.01796E-12  7.20625E+04
  4.000E-04  1.21847E-11  2.01790E-12  7.20604E+04
  4.250E-04  1.37554E-11  2.01783E-12  7.20581E+04
  4.500E-04  1.54213E-11  2.01776E-12  7.20556E+04
  4.750E-04  1.71823E-11  2.01769E-12  7.20531E+04
  5.000E-04  1.90386E-11  2.01762E-12  7.20504E+04
  5.250E-04  2.09900E-11  2.01754E-12  7.20475E+04
  5.500E-04  2.30367E-11  2.01745E-12  7.20445E+04
  5.750E-04  2.51785E-11  2.01737E-12  7.20414E+04
  6.000E-04  2.74156E-11  2.01727E-12  7.20382E+04
  6.250E-04  2.97478E-11  2.01718E-12  7.20348E+04
  6.500E-04  3.21752E-11  2.01708E-12  7.20312E+04
  6.750E-04  3.46979E-11  2.01698E-12  7.20275E+04
  7.000E-04  3.73157E-11  2.01687E-12  7.20237E+04
  7.250E-04  4.00286E-11  2.01676E-12  7.20198E+04
  7.500E-04  4.28368E-11  2.01664E-12  7.20157E+04
  7.750E-04  4.57402E-11  2.01653E-12  7.20115E+04
  8.000E-04  4.87388E-11  2.01640E-12  7.20071E+04
  8.250E-04  5.18325E-11  2.01628E-12  7.20026E+04
  8.500E-04  5.50215E-11  2.01615E-12  7.19979E+04
