 #
 # Projectile: electron
 # Kinetic energy = 8.00000E+06 eV = 2.93995E+05 a.u.
 #
 # Element: Au,  Z =  79,  atomic weight = 1.96967E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.22560E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 79
 #
 # Electron density: Read from file z_079.den   
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 7.73337E-18 cm**2 = 2.76164E-01 a0**2
 # 1st transport cross section = 1.52218E-22 cm**2 = 5.43582E-06 a0**2
 # 2nd transport cross section = 4.14448E-22 cm**2 = 1.48002E-05 a0**2
 #
 #
 # Differential cross section:                    
 #
 #  THETA        MU          DCS          DCS     
 #  (deg)                 (cm**2/sr)   (a0**2/sr) 
 #------------------------------------------------
  4.500E-02  1.54213E-07  8.00820E-13  2.85978E+04
  4.750E-02  1.71823E-07  7.31609E-13  2.61262E+04
  5.000E-02  1.90386E-07  6.68925E-13  2.38877E+04
  5.250E-02  2.09900E-07  6.12167E-13  2.18609E+04
  5.500E-02  2.30367E-07  5.60773E-13  2.00256E+04
  5.750E-02  2.51785E-07  5.14227E-13  1.83634E+04
  6.000E-02  2.74156E-07  4.72054E-13  1.68574E+04
  6.250E-02  2.97478E-07  4.33826E-13  1.54922E+04
  6.500E-02  3.21752E-07  3.99150E-13  1.42539E+04
  6.750E-02  3.46978E-07  3.67675E-13  1.31299E+04
  7.000E-02  3.73156E-07  3.39085E-13  1.21089E+04
  7.250E-02  4.00286E-07  3.13092E-13  1.11807E+04
  7.500E-02  4.28368E-07  2.89442E-13  1.03362E+04
  7.750E-02  4.57402E-07  2.67902E-13  9.56697E+03
  8.000E-02  4.87388E-07  2.48267E-13  8.86578E+03
  8.250E-02  5.18325E-07  2.30350E-13  8.22596E+03
  8.500E-02  5.50215E-07  2.13985E-13  7.64155E+03
  8.750E-02  5.83057E-07  1.99022E-13  7.10722E+03
  9.000E-02  6.16850E-07  1.85327E-13  6.61815E+03
  9.250E-02  6.51596E-07  1.72779E-13  6.17005E+03
  9.500E-02  6.87293E-07  1.61269E-13  5.75904E+03
