 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =  79,   projectile: electron
 #  Kinetic energy = 8.00000E+06 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)        ERRF         ERRG 
 #-----------------------------------------------------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.67145E-06  2.65161E-07  0.00000E+00  0.00000E+00  7.93665E-09  0.00000E+00
  1.000E-04  7.61557E-13  1.67144E-06  2.65161E-07  1.37103E-12  2.17509E-13  7.93293E-09  9.19899E-08
  1.250E-04  1.18994E-12  1.67143E-06  2.65161E-07  1.71378E-12  2.71886E-13  7.93083E-09  9.19779E-08
  1.500E-04  1.71346E-12  1.67143E-06  2.65161E-07  2.05652E-12  3.26264E-13  7.92828E-09  9.19632E-08
  1.750E-04  2.33225E-12  1.67142E-06  2.65161E-07  2.39927E-12  3.80641E-13  7.92525E-09  9.19459E-08
  2.000E-04  3.04617E-12  1.67141E-06  2.65161E-07  2.74200E-12  4.35018E-13  7.92177E-09  9.19259E-08
  2.250E-04  3.85530E-12  1.67140E-06  2.65160E-07  3.08474E-12  4.89395E-13  7.91782E-09  9.19033E-08
  2.500E-04  4.75964E-12  1.67139E-06  2.65160E-07  3.42746E-12  5.43771E-13  7.91340E-09  9.18780E-08
  2.750E-04  5.75917E-12  1.67138E-06  2.65160E-07  3.77018E-12  5.98148E-13  7.90852E-09  9.18501E-08
  3.000E-04  6.85391E-12  1.67136E-06  2.65160E-07  4.11289E-12  6.52525E-13  7.90318E-09  9.18194E-08
  3.250E-04  8.04379E-12  1.67135E-06  2.65160E-07  4.45559E-12  7.06901E-13  7.89738E-09  9.17862E-08
  3.500E-04  9.32893E-12  1.67133E-06  2.65159E-07  4.79828E-12  7.61277E-13  7.89111E-09  9.17503E-08
  3.750E-04  1.07092E-11  1.67131E-06  2.65159E-07  5.14096E-12  8.15654E-13  7.88439E-09  9.17117E-08
  4.000E-04  1.21847E-11  1.67130E-06  2.65159E-07  5.48363E-12  8.70030E-13  7.87720E-09  9.16705E-08
  4.250E-04  1.37554E-11  1.67128E-06  2.65159E-07  5.82629E-12  9.24405E-13  7.86955E-09  9.16266E-08
  4.500E-04  1.54213E-11  1.67125E-06  2.65158E-07  6.16894E-12  9.78781E-13  7.86145E-09  9.15801E-08
  4.750E-04  1.71823E-11  1.67123E-06  2.65158E-07  6.51157E-12  1.03316E-12  7.85288E-09  9.15310E-08
  5.000E-04  1.90386E-11  1.67121E-06  2.65157E-07  6.85419E-12  1.08753E-12  7.84386E-09  9.14792E-08
  5.250E-04  2.09900E-11  1.67119E-06  2.65157E-07  7.19679E-12  1.14191E-12  7.83438E-09  9.14248E-08
  5.500E-04  2.30367E-11  1.67116E-06  2.65157E-07  7.53938E-12  1.19628E-12  7.82444E-09  9.13677E-08
  5.750E-04  2.51785E-11  1.67113E-06  2.65156E-07  7.88196E-12  1.25066E-12  7.81404E-09  9.13080E-08
  6.000E-04  2.74156E-11  1.67110E-06  2.65156E-07  8.22451E-12  1.30503E-12  7.80320E-09  9.12457E-08
  6.250E-04  2.97478E-11  1.67108E-06  2.65155E-07  8.56705E-12  1.35940E-12  7.79189E-09  9.11808E-08
  6.500E-04  3.21752E-11  1.67105E-06  2.65155E-07  8.90957E-12  1.41378E-12  7.78014E-09  9.11133E-08
  6.750E-04  3.46979E-11  1.67101E-06  2.65154E-07  9.25207E-12  1.46815E-12  7.76793E-09  9.10431E-08
  7.000E-04  3.73157E-11  1.67098E-06  2.65154E-07  9.59455E-12  1.52252E-12  7.75528E-09  9.09703E-08
  7.250E-04  4.00286E-11  1.67095E-06  2.65153E-07  9.93702E-12  1.57690E-12  7.74217E-09  9.08950E-08
  7.500E-04  4.28368E-11  1.67091E-06  2.65153E-07  1.02795E-11  1.63127E-12  7.72861E-09  9.08170E-08
  7.750E-04  4.57402E-11  1.67088E-06  2.65152E-07  1.06219E-11  1.68564E-12  7.71461E-09  9.07364E-08
  8.000E-04  4.87388E-11  1.67084E-06  2.65152E-07  1.09643E-11  1.74001E-12  7.70016E-09  9.06532E-08
  8.250E-04  5.18325E-11  1.67080E-06  2.65151E-07  1.13066E-11  1.79438E-12  7.68526E-09  9.05675E-08
  8.500E-04  5.50215E-11  1.67076E-06  2.65151E-07  1.16490E-11  1.84876E-12  7.66993E-09  9.04791E-08
  8.750E-04  5.83057E-11  1.67072E-06  2.65150E-07  1.19913E-11  1.90313E-12  7.65415E-09  9.03882E-08
  9.000E-04  6.16850E-11  1.67068E-06  2.65149E-07  1.23336E-11  1.95750E-12  7.63792E-09  9.02947E-08
  9.250E-04  6.51595E-11  1.67063E-06  2.65149E-07  1.26759E-11  2.01187E-12  7.62126E-09  9.01987E-08
  9.500E-04  6.87293E-11  1.67059E-06  2.65148E-07  1.30181E-11  2.06624E-12  7.60416E-09  9.01000E-08
  9.750E-04  7.23943E-11  1.67054E-06  2.65147E-07  1.33603E-11  2.12060E-12  7.58663E-09  8.99989E-08
  1.000E-03  7.61544E-11  1.67050E-06  2.65147E-07  1.37025E-11  2.17497E-12  7.56865E-09  8.98951E-08
