 #
 # Projectile: electron
 # Kinetic energy = 4.95000E+06 eV = 1.81909E+05 a.u.
 #
 # Element: Au,  Z =  79,  atomic weight = 1.96967E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #
 # Number of electrons = 79
 #
 # Electron density: Read from file z_079.den   
 #                   Number of data points =  777
 #                   Volume integral = 7.90000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 7.77019E-18 cm**2 = 2.77479E-01 a0**2
 # 1st transport cross section = 3.53117E-22 cm**2 = 1.26100E-05 a0**2
 # 2nd transport cross section = 9.48845E-22 cm**2 = 3.38839E-05 a0**2
 #
 #
 # Differential cross section:                    
 #
 #  THETA        MU          DCS          DCS     
 #  (deg)                 (cm**2/sr)   (a0**2/sr) 
 #------------------------------------------------
  0.000E+00  0.00000E+00  1.17883E-12  4.20966E+04
  1.000E-04  7.61557E-13  1.17882E-12  4.20964E+04
  1.250E-04  1.18994E-12  1.17882E-12  4.20963E+04
  1.500E-04  1.71346E-12  1.17881E-12  4.20962E+04
  1.750E-04  2.33225E-12  1.17881E-12  4.20960E+04
  2.000E-04  3.04617E-12  1.17880E-12  4.20959E+04
  2.250E-04  3.85530E-12  1.17880E-12  4.20957E+04
  2.500E-04  4.75964E-12  1.17879E-12  4.20954E+04
  2.750E-04  5.75917E-12  1.17879E-12  4.20952E+04
  3.000E-04  6.85391E-12  1.17878E-12  4.20949E+04
  3.250E-04  8.04379E-12  1.17877E-12  4.20946E+04
  3.500E-04  9.32893E-12  1.17876E-12  4.20943E+04
  3.750E-04  1.07092E-11  1.17875E-12  4.20939E+04
  4.000E-04  1.21847E-11  1.17874E-12  4.20936E+04
  4.250E-04  1.37554E-11  1.17873E-12  4.20932E+04
  4.500E-04  1.54213E-11  1.17872E-12  4.20927E+04
  4.750E-04  1.71823E-11  1.17870E-12  4.20923E+04
  5.000E-04  1.90386E-11  1.17869E-12  4.20918E+04
  5.250E-04  2.09900E-11  1.17868E-12  4.20913E+04
  5.500E-04  2.30367E-11  1.17866E-12  4.20908E+04
  5.750E-04  2.51785E-11  1.17865E-12  4.20903E+04
  6.000E-04  2.74156E-11  1.17863E-12  4.20897E+04
  6.250E-04  2.97478E-11  1.17862E-12  4.20891E+04
  6.500E-04  3.21752E-11  1.17860E-12  4.20885E+04
  6.750E-04  3.46979E-11  1.17858E-12  4.20879E+04
  7.000E-04  3.73157E-11  1.17856E-12  4.20872E+04
  7.250E-04  4.00286E-11  1.17854E-12  4.20865E+04
  7.500E-04  4.28368E-11  1.17852E-12  4.20858E+04
  7.750E-04  4.57402E-11  1.17850E-12  4.20851E+04
  8.000E-04  4.87388E-11  1.17848E-12  4.20843E+04
  8.250E-04  5.18325E-11  1.17846E-12  4.20836E+04
  8.500E-04  5.50215E-11  1.17844E-12  4.20828E+04
  8.750E-04  5.83057E-11  1.17841E-12  4.20819E+04
  9.000E-04  6.16850E-11  1.17839E-12  4.20811E+04
  9.250E-04  6.51595E-11  1.17837E-12  4.20802E+04
  9.500E-04  6.87293E-11  1.17834E-12  4.20793E+04
  9.750E-04  7.23943E-11  1.17831E-12  4.20784E+04
  1.000E-03  7.61544E-11  1.17829E-12  4.20774E+04
  1.250E-03  1.18991E-10  1.17799E-12  4.20666E+04
  1.500E-03  1.71347E-10  1.17762E-12  4.20535E+04
  1.750E-03  2.33223E-10  1.17718E-12  4.20379E+04
  2.000E-03  3.04617E-10  1.17668E-12  4.20199E+04
  2.250E-03  3.85531E-10  1.17611E-12  4.19996E+04
  2.500E-03  4.75965E-10  1.17547E-12  4.19769E+04
  2.750E-03  5.75917E-10  1.17477E-12  4.19518E+04
  3.000E-03  6.85389E-10  1.17400E-12  4.19244E+04
  3.250E-03  8.04380E-10  1.17317E-12  4.18947E+04
  3.500E-03  9.32891E-10  1.17227E-12  4.18626E+04
  3.750E-03  1.07092E-09  1.17131E-12  4.18281E+04
  4.000E-03  1.21847E-09  1.17028E-12  4.17914E+04
  4.250E-03  1.37554E-09  1.16918E-12  4.17523E+04
  4.500E-03  1.54213E-09  1.16803E-12  4.17110E+04
  4.750E-03  1.71823E-09  1.16681E-12  4.16674E+04
  5.000E-03  1.90386E-09  1.16552E-12  4.16215E+04
  5.250E-03  2.09900E-09  1.16417E-12  4.15734E+04
  5.500E-03  2.30367E-09  1.16276E-12  4.15230E+04
  5.750E-03  2.51785E-09  1.16129E-12  4.14704E+04
  6.000E-03  2.74156E-09  1.15976E-12  4.14156E+04
  6.250E-03  2.97478E-09  1.15816E-12  4.13587E+04
  6.500E-03  3.21752E-09  1.15650E-12  4.12995E+04
  6.750E-03  3.46978E-09  1.15479E-12  4.12382E+04
  7.000E-03  3.73156E-09  1.15301E-12  4.11748E+04
  7.250E-03  4.00286E-09  1.15118E-12  4.11092E+04
  7.500E-03  4.28368E-09  1.14928E-12  4.10416E+04
  7.750E-03  4.57402E-09  1.14733E-12  4.09719E+04
  8.000E-03  4.87388E-09  1.14532E-12  4.09001E+04
  8.250E-03  5.18326E-09  1.14325E-12  4.08263E+04
  8.500E-03  5.50215E-09  1.14113E-12  4.07505E+04
  8.750E-03  5.83057E-09  1.13895E-12  4.06727E+04
  9.000E-03  6.16850E-09  1.13672E-12  4.05929E+04
  9.250E-03  6.51596E-09  1.13443E-12  4.05112E+04
  9.500E-03  6.87293E-09  1.13209E-12  4.04276E+04
  9.750E-03  7.23942E-09  1.12969E-12  4.03421E+04
  1.000E-02  7.61544E-09  1.12725E-12  4.02547E+04
  1.250E-02  1.18991E-08  1.10005E-12  3.92836E+04
  1.500E-02  1.71347E-08  1.06845E-12  3.81549E+04
  1.750E-02  2.33223E-08  1.03322E-12  3.68969E+04
  2.000E-02  3.04617E-08  9.95180E-13  3.55385E+04
  2.250E-02  3.85531E-08  9.55121E-13  3.41080E+04
