 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =  47,   projectile: electron
 #  Kinetic energy = 8.05000E+06 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)        ERRF         ERRG 
 #-----------------------------------------------------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.42130E-06  1.48613E-07  0.00000E+00  0.00000E+00  1.10778E-07  0.00000E+00
  1.000E-04  7.61557E-13  1.42129E-06  1.48613E-07  1.16621E-12  1.21951E-13  1.10727E-07  8.04103E-07
  1.250E-04  1.18994E-12  1.42128E-06  1.48613E-07  1.45776E-12  1.52439E-13  1.10698E-07  8.03999E-07
  1.500E-04  1.71346E-12  1.42127E-06  1.48613E-07  1.74930E-12  1.82926E-13  1.10662E-07  8.03872E-07
  1.750E-04  2.33225E-12  1.42126E-06  1.48613E-07  2.04084E-12  2.13414E-13  1.10620E-07  8.03722E-07
  2.000E-04  3.04617E-12  1.42125E-06  1.48613E-07  2.33237E-12  2.43902E-13  1.10572E-07  8.03549E-07
  2.250E-04  3.85530E-12  1.42124E-06  1.48613E-07  2.62389E-12  2.74389E-13  1.10517E-07  8.03353E-07
  2.500E-04  4.75964E-12  1.42123E-06  1.48613E-07  2.91541E-12  3.04877E-13  1.10456E-07  8.03134E-07
  2.750E-04  5.75917E-12  1.42121E-06  1.48613E-07  3.20692E-12  3.35364E-13  1.10388E-07  8.02892E-07
  3.000E-04  6.85391E-12  1.42120E-06  1.48613E-07  3.49842E-12  3.65851E-13  1.10314E-07  8.02627E-07
  3.250E-04  8.04379E-12  1.42118E-06  1.48612E-07  3.78990E-12  3.96338E-13  1.10233E-07  8.02339E-07
  3.500E-04  9.32893E-12  1.42116E-06  1.48612E-07  4.08138E-12  4.26825E-13  1.10146E-07  8.02028E-07
  3.750E-04  1.07092E-11  1.42114E-06  1.48612E-07  4.37285E-12  4.57312E-13  1.10052E-07  8.01694E-07
  4.000E-04  1.21847E-11  1.42112E-06  1.48612E-07  4.66430E-12  4.87799E-13  1.09953E-07  8.01337E-07
  4.250E-04  1.37554E-11  1.42110E-06  1.48612E-07  4.95574E-12  5.18286E-13  1.09846E-07  8.00958E-07
  4.500E-04  1.54213E-11  1.42107E-06  1.48611E-07  5.24716E-12  5.48773E-13  1.09734E-07  8.00555E-07
  4.750E-04  1.71823E-11  1.42105E-06  1.48611E-07  5.53857E-12  5.79259E-13  1.09615E-07  8.00130E-07
  5.000E-04  1.90386E-11  1.42102E-06  1.48611E-07  5.82996E-12  6.09745E-13  1.09489E-07  7.99681E-07
  5.250E-04  2.09900E-11  1.42099E-06  1.48611E-07  6.12134E-12  6.40232E-13  1.09358E-07  7.99210E-07
  5.500E-04  2.30367E-11  1.42096E-06  1.48610E-07  6.41269E-12  6.70718E-13  1.09220E-07  7.98716E-07
  5.750E-04  2.51785E-11  1.42093E-06  1.48610E-07  6.70403E-12  7.01203E-13  1.09075E-07  7.98199E-07
  6.000E-04  2.74156E-11  1.42090E-06  1.48610E-07  6.99535E-12  7.31689E-13  1.08925E-07  7.97660E-07
  6.250E-04  2.97478E-11  1.42086E-06  1.48610E-07  7.28665E-12  7.62175E-13  1.08767E-07  7.97098E-07
  6.500E-04  3.21752E-11  1.42083E-06  1.48609E-07  7.57792E-12  7.92660E-13  1.08604E-07  7.96513E-07
  6.750E-04  3.46979E-11  1.42079E-06  1.48609E-07  7.86918E-12  8.23145E-13  1.08435E-07  7.95905E-07
  7.000E-04  3.73157E-11  1.42075E-06  1.48609E-07  8.16041E-12  8.53630E-13  1.08259E-07  7.95275E-07
  7.250E-04  4.00286E-11  1.42071E-06  1.48608E-07  8.45161E-12  8.84115E-13  1.08077E-07  7.94623E-07
