 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =  79,   projectile: electron
 #  Kinetic energy = 3.10000E+06 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)        ERRF         ERRG 
 #-----------------------------------------------------------------------------------------------------------------
  0.000E+00  0.00000E+00  7.08686E-07  1.13336E-07  0.00000E+00  0.00000E+00  3.16533E-08  0.00000E+00
  1.000E-04  7.61557E-13  7.08685E-07  1.13336E-07  5.30930E-13  8.49211E-14  3.16507E-08  2.60708E-07
  1.250E-04  1.18994E-12  7.08685E-07  1.13336E-07  6.63662E-13  1.06151E-13  3.16492E-08  2.60702E-07
  1.500E-04  1.71346E-12  7.08684E-07  1.13336E-07  7.96394E-13  1.27382E-13  3.16474E-08  2.60695E-07
  1.750E-04  2.33225E-12  7.08684E-07  1.13336E-07  9.29126E-13  1.48612E-13  3.16453E-08  2.60686E-07
  2.000E-04  3.04617E-12  7.08683E-07  1.13336E-07  1.06186E-12  1.69842E-13  3.16428E-08  2.60676E-07
  2.250E-04  3.85530E-12  7.08682E-07  1.13336E-07  1.19459E-12  1.91072E-13  3.16400E-08  2.60665E-07
  2.500E-04  4.75964E-12  7.08681E-07  1.13336E-07  1.32732E-12  2.12303E-13  3.16369E-08  2.60652E-07
  2.750E-04  5.75917E-12  7.08681E-07  1.13336E-07  1.46005E-12  2.33533E-13  3.16335E-08  2.60638E-07
  3.000E-04  6.85391E-12  7.08679E-07  1.13336E-07  1.59278E-12  2.54763E-13  3.16297E-08  2.60623E-07
  3.250E-04  8.04379E-12  7.08678E-07  1.13336E-07  1.72551E-12  2.75993E-13  3.16256E-08  2.60606E-07
  3.500E-04  9.32893E-12  7.08677E-07  1.13336E-07  1.85823E-12  2.97224E-13  3.16212E-08  2.60588E-07
  3.750E-04  1.07092E-11  7.08676E-07  1.13336E-07  1.99096E-12  3.18454E-13  3.16165E-08  2.60569E-07
  4.000E-04  1.21847E-11  7.08674E-07  1.13336E-07  2.12369E-12  3.39684E-13  3.16114E-08  2.60548E-07
  4.250E-04  1.37554E-11  7.08673E-07  1.13336E-07  2.25641E-12  3.60914E-13  3.16060E-08  2.60526E-07
  4.500E-04  1.54213E-11  7.08671E-07  1.13336E-07  2.38914E-12  3.82144E-13  3.16003E-08  2.60503E-07
  4.750E-04  1.71823E-11  7.08670E-07  1.13336E-07  2.52186E-12  4.03374E-13  3.15942E-08  2.60478E-07
  5.000E-04  1.90386E-11  7.08668E-07  1.13336E-07  2.65459E-12  4.24604E-13  3.15878E-08  2.60452E-07
  5.250E-04  2.09900E-11  7.08666E-07  1.13336E-07  2.78731E-12  4.45835E-13  3.15811E-08  2.60425E-07
  5.500E-04  2.30367E-11  7.08664E-07  1.13336E-07  2.92003E-12  4.67065E-13  3.15741E-08  2.60396E-07
  5.750E-04  2.51785E-11  7.08662E-07  1.13336E-07  3.05275E-12  4.88295E-13  3.15667E-08  2.60366E-07
  6.000E-04  2.74156E-11  7.08660E-07  1.13335E-07  3.18547E-12  5.09525E-13  3.15590E-08  2.60335E-07
  6.250E-04  2.97478E-11  7.08658E-07  1.13335E-07  3.31819E-12  5.30755E-13  3.15510E-08  2.60302E-07
  6.500E-04  3.21752E-11  7.08656E-07  1.13335E-07  3.45090E-12  5.51985E-13  3.15427E-08  2.60268E-07
  6.750E-04  3.46979E-11  7.08653E-07  1.13335E-07  3.58362E-12  5.73215E-13  3.15340E-08  2.60233E-07
  7.000E-04  3.73157E-11  7.08651E-07  1.13335E-07  3.71633E-12  5.94445E-13  3.15250E-08  2.60197E-07
  7.250E-04  4.00286E-11  7.08648E-07  1.13335E-07  3.84904E-12  6.15675E-13  3.15157E-08  2.60159E-07
  7.500E-04  4.28368E-11  7.08646E-07  1.13335E-07  3.98175E-12  6.36905E-13  3.15061E-08  2.60119E-07
  7.750E-04  4.57402E-11  7.08643E-07  1.13335E-07  4.11446E-12  6.58135E-13  3.14961E-08  2.60079E-07
  8.000E-04  4.87388E-11  7.08640E-07  1.13335E-07  4.24717E-12  6.79365E-13  3.14858E-08  2.60037E-07
  8.250E-04  5.18325E-11  7.08637E-07  1.13335E-07  4.37988E-12  7.00594E-13  3.14752E-08  2.59994E-07
  8.500E-04  5.50215E-11  7.08634E-07  1.13335E-07  4.51258E-12  7.21824E-13  3.14643E-08  2.59949E-07
  8.750E-04  5.83057E-11  7.08631E-07  1.13335E-07  4.64528E-12  7.43054E-13  3.14530E-08  2.59903E-07
  9.000E-04  6.16850E-11  7.08628E-07  1.13335E-07  4.77798E-12  7.64284E-13  3.14414E-08  2.59856E-07
  9.250E-04  6.51595E-11  7.08625E-07  1.13335E-07  4.91068E-12  7.85514E-13  3.14295E-08  2.59807E-07
  9.500E-04  6.87293E-11  7.08621E-07  1.13335E-07  5.04338E-12  8.06743E-13  3.14172E-08  2.59758E-07
  9.750E-04  7.23943E-11  7.08618E-07  1.13335E-07  5.17608E-12  8.27973E-13  3.14047E-08  2.59706E-07
  1.000E-03  7.61544E-11  7.08614E-07  1.13335E-07  5.30877E-12  8.49203E-13  3.13918E-08  2.59654E-07
  1.250E-03  1.18991E-10  7.08574E-07  1.13334E-07  6.63559E-12  1.06150E-12  3.12451E-08  2.59056E-07
  1.500E-03  1.71347E-10  7.08525E-07  1.13333E-07  7.96215E-12  1.27379E-12  3.10664E-08  2.58327E-07
  1.750E-03  2.33223E-10  7.08467E-07  1.13332E-07  9.28842E-12  1.48607E-12  3.08557E-08  2.57466E-07
  2.000E-03  3.04617E-10  7.08400E-07  1.13331E-07  1.06143E-11  1.69836E-12  3.06135E-08  2.56476E-07
  2.250E-03  3.85531E-10  7.08324E-07  1.13330E-07  1.19398E-11  1.91063E-12  3.03402E-08  2.55356E-07
  2.500E-03  4.75965E-10  7.08239E-07  1.13329E-07  1.32649E-11  2.12290E-12  3.00360E-08  2.54109E-07
  2.750E-03  5.75917E-10  7.08146E-07  1.13328E-07  1.45895E-11  2.33516E-12  2.97016E-08  2.52735E-07
  3.000E-03  6.85389E-10  7.08043E-07  1.13326E-07  1.59135E-11  2.54741E-12  2.93373E-08  2.51235E-07
  3.250E-03  8.04380E-10  7.07932E-07  1.13324E-07  1.72369E-11  2.75965E-12  2.89439E-08  2.49612E-07
  3.500E-03  9.32891E-10  7.07811E-07  1.13322E-07  1.85596E-11  2.97188E-12  2.85217E-08  2.47866E-07
  3.750E-03  1.07092E-09  7.07682E-07  1.13320E-07  1.98817E-11  3.18410E-12  2.80715E-08  2.46000E-07
  4.000E-03  1.21847E-09  7.07544E-07  1.13318E-07  2.12030E-11  3.39631E-12  2.75940E-08  2.44016E-07
  4.250E-03  1.37554E-09  7.07397E-07  1.13316E-07  2.25235E-11  3.60851E-12  2.70899E-08  2.41914E-07
  4.500E-03  1.54213E-09  7.07242E-07  1.13313E-07  2.38432E-11  3.82069E-12  2.65599E-08  2.39698E-07
  4.750E-03  1.71823E-09  7.07077E-07  1.13311E-07  2.51620E-11  4.03286E-12  2.60048E-08  2.37369E-07
  5.000E-03  1.90386E-09  7.06904E-07  1.13308E-07  2.64798E-11  4.24502E-12  2.54255E-08  2.34930E-07
  5.250E-03  2.09900E-09  7.06722E-07  1.13305E-07  2.77966E-11  4.45716E-12  2.48229E-08  2.32384E-07
