 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =  47,   projectile: electron
 #  Kinetic energy = 6.05000E+06 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)        ERRF         ERRG 
 #-----------------------------------------------------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.08923E-06  1.14046E-07  0.00000E+00  0.00000E+00  3.74316E-09  0.00000E+00
  1.000E-04  7.61557E-13  1.08923E-06  1.14046E-07  8.76502E-13  9.17757E-14  3.74171E-09  1.88270E-07
  1.250E-04  1.18994E-12  1.08923E-06  1.14046E-07  1.09562E-12  1.14720E-13  3.74089E-09  1.88250E-07
  1.500E-04  1.71346E-12  1.08922E-06  1.14046E-07  1.31474E-12  1.37663E-13  3.73989E-09  1.88225E-07
  1.750E-04  2.33225E-12  1.08922E-06  1.14046E-07  1.53386E-12  1.60607E-13  3.73870E-09  1.88196E-07
  2.000E-04  3.04617E-12  1.08921E-06  1.14046E-07  1.75298E-12  1.83551E-13  3.73734E-09  1.88162E-07
  2.250E-04  3.85530E-12  1.08921E-06  1.14046E-07  1.97209E-12  2.06495E-13  3.73579E-09  1.88123E-07
  2.500E-04  4.75964E-12  1.08920E-06  1.14046E-07  2.19120E-12  2.29439E-13  3.73406E-09  1.88080E-07
  2.750E-04  5.75917E-12  1.08920E-06  1.14045E-07  2.41031E-12  2.52382E-13  3.73216E-09  1.88033E-07
  3.000E-04  6.85391E-12  1.08919E-06  1.14045E-07  2.62941E-12  2.75326E-13  3.73006E-09  1.87981E-07
  3.250E-04  8.04379E-12  1.08918E-06  1.14045E-07  2.84850E-12  2.98270E-13  3.72779E-09  1.87924E-07
  3.500E-04  9.32893E-12  1.08917E-06  1.14045E-07  3.06760E-12  3.21213E-13  3.72534E-09  1.87863E-07
  3.750E-04  1.07092E-11  1.08916E-06  1.14045E-07  3.28668E-12  3.44157E-13  3.72271E-09  1.87798E-07
  4.000E-04  1.21847E-11  1.08915E-06  1.14045E-07  3.50576E-12  3.67101E-13  3.71989E-09  1.87728E-07
  4.250E-04  1.37554E-11  1.08914E-06  1.14045E-07  3.72484E-12  3.90044E-13  3.71690E-09  1.87653E-07
  4.500E-04  1.54213E-11  1.08913E-06  1.14045E-07  3.94391E-12  4.12987E-13  3.71372E-09  1.87574E-07
  4.750E-04  1.71823E-11  1.08912E-06  1.14045E-07  4.16297E-12  4.35931E-13  3.71037E-09  1.87491E-07
  5.000E-04  1.90386E-11  1.08911E-06  1.14045E-07  4.38202E-12  4.58874E-13  3.70683E-09  1.87403E-07
  5.250E-04  2.09900E-11  1.08909E-06  1.14045E-07  4.60107E-12  4.81817E-13  3.70312E-09  1.87310E-07
  5.500E-04  2.30367E-11  1.08908E-06  1.14044E-07  4.82011E-12  5.04760E-13  3.69922E-09  1.87213E-07
  5.750E-04  2.51785E-11  1.08907E-06  1.14044E-07  5.03914E-12  5.27703E-13  3.69515E-09  1.87112E-07
  6.000E-04  2.74156E-11  1.08905E-06  1.14044E-07  5.25816E-12  5.50646E-13  3.69090E-09  1.87006E-07
  6.250E-04  2.97478E-11  1.08904E-06  1.14044E-07  5.47717E-12  5.73589E-13  3.68647E-09  1.86896E-07
  6.500E-04  3.21752E-11  1.08902E-06  1.14044E-07  5.69618E-12  5.96532E-13  3.68186E-09  1.86781E-07
  6.750E-04  3.46979E-11  1.08900E-06  1.14044E-07  5.91517E-12  6.19475E-13  3.67708E-09  1.86661E-07
  7.000E-04  3.73157E-11  1.08899E-06  1.14044E-07  6.13415E-12  6.42418E-13  3.67212E-09  1.86538E-07
